,4,4,8,8,2,2,9,9,5,5,7,7,1,1,3,3,6,6
,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf
0,grad,0.367,object,0.274,image,0.314,graph,0.421,filter,0.543,face,0.386,tracking,0.572,object,0.323,image,0.249
1,cam,0.31,shape,0.221,sift,0.251,energy,0.381,orientation,0.376,image,0.3,target,0.211,image,0.259,invariant,0.212
2,learning,0.237,motion,0.212,network,0.193,cut,0.327,steerable,0.288,recognition,0.266,activity,0.205,challenge,0.192,retrieval,0.21
3,explanation,0.229,point,0.205,scene,0.193,algorithm,0.257,adaptive,0.216,object,0.234,motion,0.171,network,0.179,shape,0.207
4,network,0.208,method,0.18,convolutional,0.191,minimization,0.184,design,0.188,pose,0.184,site,0.164,segmentation,0.179,detector,0.19
5,model,0.194,image,0.149,neighbor,0.189,markov,0.14,steer,0.171,subspace,0.183,system,0.149,annotation,0.152,rotation,0.177
6,captioning,0.184,based,0.135,object,0.174,image,0.125,phase,0.144,dimensional,0.164,object,0.135,cnn,0.151,descriptor,0.169
7,visualization,0.184,model,0.135,flow,0.164,function,0.102,control,0.111,sparse,0.162,pfinder,0.123,dataset,0.14,local,0.163
8,deep,0.169,tracking,0.13,histogram,0.145,problem,0.102,one,0.108,linear,0.156,model,0.122,detection,0.136,point,0.158
9,representation,0.156,set,0.129,nearest,0.145,segmentation,0.097,edge,0.099,illumination,0.141,appearance,0.119,objectness,0.124,method,0.142
10,help,0.135,latent,0.124,semantic,0.137,vision,0.095,useful,0.089,model,0.141,camera,0.104,segnet,0.11,recognition,0.128
11,cnns,0.116,algorithm,0.12,search,0.126,chain,0.093,adelson,0.085,algorithm,0.12,change,0.104,relationship,0.105,feret,0.124
12,question,0.116,temporal,0.12,fully,0.121,lrr,0.093,analytically,0.085,method,0.106,representation,0.104,search,0.105,action,0.123
13,image,0.106,descriptor,0.117,large,0.11,stereo,0.079,angularly,0.085,space,0.104,time,0.096,state,0.104,binary,0.123
14,design,0.101,estimate,0.115,dense,0.109,ddmcmc,0.078,calculate,0.085,lambertian,0.1,based,0.087,convolutional,0.101,category,0.121
15,prediction,0.101,matrix,0.106,color,0.108,interface,0.078,crossing,0.085,lighting,0.099,method,0.087,boundary,0.098,database,0.109
16,visual,0.097,spatio,0.106,database,0.097,message,0.078,derivative,0.085,using,0.094,masking,0.082,mask,0.097,face,0.109
17,decision,0.092,correlation,0.105,segmentation,0.097,paradigm,0.078,directional,0.085,set,0.087,reliably,0.082,recognition,0.097,region,0.109
18,neuron,0.092,optical,0.105,set,0.097,passing,0.078,filtering,0.085,based,0.085,background,0.08,art,0.096,texture,0.109
19,vqa,0.092,recognition,0.1,model,0.095,reweighted,0.078,haralick,0.085,representation,0.085,range,0.08,algorithm,0.093,performance,0.108
20,localization,0.089,local,0.092,indexing,0.094,method,0.073,mallat,0.085,data,0.083,real,0.077,voc,0.093,based,0.106
21,gradient,0.08,matching,0.092,introduces,0.094,subspace,0.072,quadrature,0.085,proposed,0.078,using,0.077,pascal,0.091,feature,0.106
22,answering,0.078,video,0.092,product,0.094,tree,0.071,rotated,0.085,appearance,0.077,algorithm,0.069,task,0.091,model,0.106
23,based,0.078,flow,0.091,quantization,0.094,data,0.066,shading,0.085,point,0.077,clutter,0.069,feature,0.088,object,0.098
24,cnn,0.078,result,0.091,vector,0.086,global,0.066,wavelet,0.085,transformation,0.073,employ,0.069,performance,0.084,correspondence,0.092
25,concept,0.078,surface,0.091,approach,0.079,label,0.066,wish,0.085,manifold,0.07,identity,0.069,rpn,0.083,pattern,0.087
26,manifold,0.078,event,0.09,information,0.077,move,0.066,analysis,0.08,problem,0.07,incremental,0.069,wise,0.083,scale,0.085
27,used,0.078,geometric,0.088,billion,0.074,well,0.066,present,0.08,projection,0.07,learns,0.069,cue,0.082,test,0.085
28,convolutional,0.067,svm,0.088,define,0.074,kolmogorov,0.062,task,0.08,system,0.069,lighting,0.069,datasets,0.082,affine,0.084
29,discriminative,0.067,trajectory,0.088,robot,0.074,min,0.062,adaptively,0.072,cone,0.067,outdoor,0.069,proposal,0.082,hausdorff,0.084
30,layer,0.067,kernel,0.078,synthesis,0.074,minimized,0.062,angle,0.072,expression,0.067,update,0.069,location,0.08,template,0.084
31,review,0.067,camera,0.075,transfer,0.074,restoration,0.062,concept,0.072,fighting,0.067,visual,0.069,method,0.076,problem,0.079
32,user,0.067,data,0.075,efficiently,0.072,result,0.058,designed,0.072,generative,0.067,information,0.064,architecture,0.072,evaluation,0.077
33,class,0.065,efficient,0.075,data,0.071,approach,0.053,digital,0.072,reflectance,0.067,pattern,0.064,model,0.07,schmid,0.077
34,classification,0.065,learning,0.075,show,0.071,bound,0.053,multiresolution,0.072,lie,0.065,sequence,0.064,decoder,0.069,similarity,0.077
35,appropriate,0.06,registration,0.075,result,0.07,construction,0.053,oriented,0.072,training,0.065,environment,0.06,encoder,0.069,transformation,0.077
36,even,0.06,representation,0.075,task,0.07,criterion,0.053,processing,0.072,condition,0.061,joint,0.06,selective,0.069,type,0.077
37,important,0.06,stream,0.075,two,0.07,labeling,0.053,pyramid,0.072,handle,0.061,kernel,0.06,class,0.065,mikolajczyk,0.071
