,6,6,1,1,11,11,7,7,10,10,2,2,5,5,9,9,4,4,8,8,3,3
,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf
0,religiosity,0.419,transnational,0.388,white,0.271,remittance,0.743,race,0.38,diversity,0.353,migration,0.414,migration,0.615,generation,0.314,immigrant,0.389,generation,0.296
1,religious,0.402,migration,0.22,racism,0.261,political,0.328,racial,0.312,super,0.316,racialization,0.374,transnational,0.168,second,0.239,capital,0.253,assimilation,0.279
2,gender,0.326,london,0.2,polish,0.237,practice,0.12,identity,0.3,migration,0.292,immigrant,0.344,aspiration,0.164,integration,0.228,employment,0.229,integration,0.217
3,symbolic,0.233,citizenship,0.199,race,0.224,social,0.115,white,0.292,integration,0.262,race,0.336,theory,0.142,religious,0.209,model,0.206,second,0.208
4,equality,0.163,transnationalism,0.188,violence,0.222,affect,0.11,latino,0.248,city,0.213,racism,0.168,internal,0.14,city,0.174,job,0.172,minority,0.182
5,german,0.14,integration,0.184,racial,0.214,capacity,0.109,dimension,0.186,migrant,0.2,study,0.157,migrant,0.112,context,0.167,low,0.172,boundary,0.171
6,among,0.137,migrant,0.184,migrant,0.21,collective,0.109,categorization,0.177,diversification,0.106,continues,0.125,dynamic,0.11,predicts,0.155,formation,0.154,immigrant,0.151
7,ethnic,0.127,network,0.157,color,0.146,communicate,0.109,racism,0.166,methodological,0.099,nexi,0.125,international,0.11,secularization,0.155,incorporation,0.154,requirement,0.15
8,group,0.126,family,0.156,racist,0.142,influencing,0.109,racist,0.121,transnational,0.099,focus,0.114,social,0.107,vitality,0.155,pattern,0.154,young,0.144
9,attitude,0.11,immigrant,0.155,whiteness,0.142,conceptualisation,0.093,framework,0.117,study,0.095,immigration,0.114,ability,0.104,europe,0.133,human,0.139,category,0.137
10,ethnicity,0.11,social,0.155,microaggressions,0.111,organisational,0.093,comprehensive,0.106,ethnic,0.093,call,0.107,diaspora,0.104,participation,0.133,financial,0.131,class,0.127
11,behavioural,0.109,highly,0.142,safety,0.111,scale,0.093,latinas,0.106,theory,0.093,major,0.107,theoretical,0.098,religiosity,0.133,society,0.126,ethnic,0.124
12,egalitarian,0.109,skilled,0.114,people,0.107,individual,0.09,social,0.105,social,0.09,nexus,0.107,mobility,0.09,strongly,0.133,economy,0.115,mobility,0.123
13,explaining,0.109,socio,0.113,dialogue,0.095,article,0.078,article,0.101,challenge,0.089,contemporary,0.103,agency,0.089,theory,0.13,neighbourhood,0.115,immigration,0.114
14,acculturation,0.099,term,0.113,discourse,0.084,narrative,0.073,process,0.098,incorporation,0.089,neglect,0.094,examine,0.089,belonging,0.126,trajectory,0.115,segmented,0.114
15,behaviour,0.093,cultural,0.106,wave,0.084,belonging,0.066,used,0.095,pattern,0.089,provides,0.094,global,0.089,hypothesis,0.126,group,0.106,civic,0.113
16,commitment,0.093,attachment,0.1,anti,0.083,economic,0.066,ideology,0.091,assimilation,0.087,european,0.087,article,0.085,turkish,0.117,host,0.103,france,0.112
17,hold,0.093,elite,0.1,brexit,0.083,space,0.066,theory,0.089,group,0.085,understanding,0.087,approach,0.082,assimilation,0.114,network,0.103,acculturation,0.102
