,11,11,12,12,14,14,13,13,15,15,6,6,5,5,4,4,7,7,1,1,8,8,3,3,9,9,10,10,2,2
,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf
0,expression,0.425,mac,0.543,stage,0.298,ontology,0.275,mutation,0.288,skat,0.366,crohn,0.214,cdkn,0.368,ibd,0.246,linkage,0.384,mixed,0.328,locus,0.231,pedigree,0.369,haplotype,0.387,heritability,0.204
1,tissue,0.277,seq,0.377,variant,0.224,biological,0.254,seq,0.254,rare,0.294,locus,0.206,disease,0.253,trans,0.246,map,0.237,association,0.326,van,0.191,tree,0.34,imputation,0.367,gwas,0.2
2,trans,0.242,chip,0.337,association,0.208,david,0.237,rna,0.242,test,0.271,disease,0.163,snp,0.231,locus,0.177,recombination,0.237,method,0.271,fasting,0.173,sparse,0.255,method,0.276,trait,0.179
3,variation,0.236,model,0.167,gene,0.207,protein,0.204,novo,0.234,association,0.251,wide,0.163,cad,0.184,disease,0.155,pedigree,0.201,model,0.232,glucose,0.173,map,0.202,genotype,0.192,association,0.172
4,gene,0.235,liu,0.153,study,0.195,gene,0.175,sequencing,0.182,variant,0.234,gene,0.153,credible,0.184,associated,0.152,multipoint,0.195,sample,0.213,diabetes,0.139,dense,0.198,association,0.184,snp,0.147
5,regulatory,0.154,analyzer,0.109,common,0.194,knowledge,0.167,count,0.175,covariates,0.183,genome,0.143,graf,0.184,risk,0.146,marker,0.185,structure,0.176,lipid,0.129,rapid,0.198,study,0.173,genome,0.14
6,least,0.138,analyzes,0.109,disease,0.184,shared,0.167,tophat,0.175,kernel,0.183,taylor,0.138,posterior,0.184,franke,0.131,human,0.14,relatedness,0.164,homa,0.123,analysis,0.188,reference,0.165,data,0.133
7,variant,0.122,compare,0.109,human,0.176,accessible,0.158,variant,0.16,study,0.168,association,0.127,probability,0.16,individual,0.126,analysis,0.132,cohort,0.146,insulin,0.123,marker,0.187,panel,0.163,gene,0.133
8,dermitzakis,0.119,eeckhoute,0.109,marker,0.154,organism,0.158,read,0.135,whole,0.163,control,0.109,set,0.141,effect,0.124,genetic,0.132,efficient,0.145,associated,0.11,flow,0.17,genome,0.146,disease,0.129
9,effect,0.109,effectively,0.109,genome,0.14,datasets,0.137,method,0.13,sequence,0.151,expression,0.109,region,0.132,bowel,0.113,crossover,0.126,wide,0.119,elliott,0.107,haplotyping,0.17,phasing,0.141,wide,0.125
10,genetic,0.083,empirically,0.109,method,0.128,eukaryote,0.137,alignment,0.117,sequencing,0.151,case,0.101,causal,0.118,downstream,0.113,hot,0.126,exact,0.117,palmer,0.107,merlin,0.17,data,0.138,enrichment,0.124
11,human,0.081,favorably,0.109,data,0.126,web,0.137,differential,0.117,easily,0.142,ahmad,0.092,susceptibility,0.094,eqtls,0.113,spot,0.126,power,0.116,level,0.095,solution,0.17,inference,0.102,summary,0.124
12,gtex,0.08,nussbaum,0.109,collapsing,0.125,annotation,0.123,presence,0.117,data,0.135,brant,0.092,auton,0.092,ikzf,0.113,pair,0.114,bolt,0.113,signal,0.088,likelihood,0.148,phase,0.094,variant,0.124
13,ingle,0.08,poisson,0.109,snp,0.117,interpretation,0.111,syndrome,0.117,genome,0.126,created,0.092,burton,0.092,immunochip,0.113,haplotype,0.11,emma,0.113,type,0.088,calculation,0.132,wide,0.092,explained,0.121
14,koller,0.08,sequencer,0.109,population,0.104,role,0.111,gene,0.108,wide,0.108,duerr,0.092,compston,0.092,inflammatory,0.113,resolution,0.11,lmm,0.113,association,0.087,multipoint,0.132,set,0.084,study,0.121
15,mapped,0.08,shift,0.109,rare,0.1,genomic,0.102,exome,0.106,power,0.094,franchimont,0.092,craddock,0.092,juyal,0.113,relative,0.098,approach,0.112,morris,0.087,using,0.107,gwas,0.082,complex,0.119
