,4,4,5,5,6,6,3,3,1,1,2,2,8,8,7,7
,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf
0,recognition,0.409,cell,0.494,cell,0.672,molecular,0.308,monocyte,0.51,macrophage,0.61,cell,0.573,cell,0.625
1,receptor,0.392,ilc,0.319,tfh,0.366,immune,0.243,macrophage,0.376,cell,0.24,foxp,0.445,memory,0.293
2,prrs,0.293,ilcs,0.254,cxcr,0.149,tlrs,0.204,tissue,0.223,neutrophil,0.228,reg,0.277,exhaustion,0.234
3,like,0.274,lymphoid,0.239,helper,0.146,signalling,0.176,cell,0.203,activation,0.217,regulatory,0.222,infection,0.166
4,toll,0.212,lung,0.161,gamma,0.141,toll,0.176,steady,0.162,function,0.165,ctla,0.193,metabolic,0.16
5,crosstalk,0.195,airway,0.159,beta,0.136,mechanism,0.163,resident,0.117,myeloid,0.13,mouse,0.181,effector,0.155
6,kawai,0.195,innate,0.156,differentiation,0.115,specific,0.163,population,0.114,immune,0.108,treg,0.172,inhibitory,0.149
7,innate,0.174,allergen,0.127,follicular,0.115,pattern,0.154,blood,0.103,response,0.108,self,0.101,pathway,0.101
8,akira,0.164,papain,0.127,producing,0.113,different,0.136,state,0.103,tissue,0.107,function,0.09,receptor,0.095
9,tlrs,0.164,receptor,0.127,delta,0.105,gene,0.136,dendritic,0.102,different,0.098,factor,0.086,expression,0.086
10,role,0.156,influenza,0.12,tgf,0.096,like,0.136,ginhoux,0.101,monocyte,0.098,transcription,0.075,covid,0.085
11,tlr,0.141,gamma,0.116,expression,0.089,recently,0.136,mouse,0.101,population,0.098,deficient,0.074,exhausted,0.085
12,pattern,0.124,helper,0.111,bcl,0.084,answer,0.121,ontogeny,0.101,plasticity,0.097,selection,0.071,response,0.077
13,immunity,0.117,lnh,0.111,effector,0.082,binding,0.121,subset,0.101,discus,0.086,thymocytes,0.071,intraepithelial,0.075
14,pathogen,0.117,nkp,0.111,naive,0.079,epigenetics,0.121,adhesion,0.085,system,0.086,autoimmune,0.07,chronic,0.074
15,response,0.117,induced,0.101,stat,0.079,invasion,0.121,murine,0.085,alternative,0.081,expression,0.07,patient,0.072
16,accepted,0.098,type,0.099,bci,0.073,microorganism,0.121,csf,0.081,set,0.081,homeostasis,0.069,ilc,0.071
17,discovery,0.098,intestinal,0.095,ror,0.07,production,0.121,ctl,0.081,gordon,0.078,disease,0.066,virus,0.071
18,germline,0.098,ror,0.093,tumor,0.068,recognize,0.121,irf,0.081,transcriptional,0.074,diabetes,0.06,ifn,0.069
19,lectin,0.098,natural,0.092,whereas,0.068,remaining,0.121,jung,0.081,heterogeneity,0.07,forkhead,0.06,viral,0.069
20,played,0.098,family,0.08,interleukin,0.065,saraiva,0.121,homeostasis,0.077,inflammatory,0.069,rudensky,0.06,long,0.068
21,respect,0.098,mouse,0.079,dnmt,0.063,sens,0.121,adult,0.073,human,0.068,tolerance,0.06,activation,0.067
22,rig,0.098,protease,0.079,subset,0.063,takeda,0.121,potential,0.073,recruitment,0.065,mechanism,0.054,type,0.067
23,sophisticated,0.098,tissue,0.079,ccr,0.061,transduction,0.121,vivo,0.071,disease,0.058,suppression,0.052,factor,0.062
24,update,0.098,cytokine,0.078,factor,0.061,understanding,0.121,origin,0.068,inflammation,0.058,development,0.048,transcription,0.062
25,wide,0.098,inflammation,0.071,generation,0.06,activation,0.108,recruitment,0.068,mantovani,0.058,exfoxp,0.048,acid,0.054
26,widely,0.098,gata,0.069,memory,0.06,expression,0.108,self,0.068,myelomonocytic,0.058,fontenot,0.048,control,0.054
27,infection,0.087,mucosal,0.069,immune,0.058,innate,0.108,system,0.064,subset,0.058,maintaining,0.048,lived,0.054
28,mounting,0.082,producing,0.069,human,0.057,receptor,0.108,embryonic,0.061,transcript,0.058,rasmussen,0.048,molecular,0.054
29,nod,0.082,virus,0.066,lineage,0.057,acquired,0.102,guilliams,0.061,cancer,0.056,reactive,0.048,provide,0.054
30,subsequent,0.082,infection,0.064,transcription,0.056,akira,0.102,human,0.061,various,0.056,role,0.048,wherry,0.054
31,immune,0.078,interleukin,0.064,autoimmune,0.053,design,0.102,mapping,0.061,effector,0.054,scurfin,0.048,concentration,0.053
32,aspect,0.071,crth,0.063,cancer,0.053,event,0.102,progenitor,0.061,gene,0.054,vivo,0.048,count,0.053
