,17,17,13,13,11,11,22,22,12,12,19,19,6,6,3,3,18,18,21,21,7,7,10,10,2,2,9,9,4,4,14,14,5,5,1,1,15,15,8,8,20,20,16,16
,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf
0,culture,0.495,fdi,0.391,cost,0.311,expansion,0.328,flexibility,0.407,practice,0.546,globalisation,0.44,distance,0.419,deal,0.484,born,0.28,asset,0.336,firm,0.306,internationalization,0.448,institutional,0.232,mode,0.507,culture,0.379,investment,0.303,assignment,0.519,distance,0.389,diversity,0.525,knowledge,0.283,subsidiary,0.637
1,practice,0.385,infrastructure,0.328,transaction,0.291,service,0.197,agenda,0.325,affiliate,0.303,geography,0.264,cultural,0.38,acquisition,0.305,firm,0.259,mne,0.314,country,0.26,lack,0.275,emerging,0.225,entry,0.393,cultural,0.354,facility,0.253,expatriate,0.376,spatial,0.26,interfirm,0.357,transfer,0.277,mnc,0.277
2,national,0.228,legal,0.289,management,0.256,multinationality,0.193,research,0.278,local,0.258,economic,0.198,performance,0.217,completed,0.274,international,0.234,mnes,0.295,mnes,0.231,knowledge,0.246,chinese,0.198,choice,0.357,future,0.223,entry,0.227,career,0.294,location,0.249,alliance,0.315,subsidiary,0.257,power,0.249
3,compensation,0.214,governance,0.261,capability,0.207,reliability,0.193,flexible,0.203,mncs,0.219,ownership,0.18,mode,0.185,completion,0.274,case,0.207,bundling,0.247,emerging,0.181,psychically,0.187,knowledge,0.197,cost,0.254,research,0.191,distinction,0.224,international,0.181,border,0.229,longevity,0.238,socialisation,0.251,headquarters,0.153
4,management,0.204,receive,0.246,mne,0.194,sector,0.193,sought,0.203,human,0.168,becoming,0.176,entry,0.173,border,0.252,internationalization,0.206,local,0.232,advantage,0.179,process,0.18,firm,0.188,transaction,0.237,advance,0.19,distribution,0.202,function,0.156,crossing,0.156,organizational,0.213,mncs,0.24,network,0.145
5,unit,0.165,country,0.214,theory,0.189,performance,0.185,end,0.179,among,0.156,strategy,0.169,hofstede,0.16,cross,0.252,research,0.187,market,0.225,economy,0.179,cost,0.17,institution,0.157,ownership,0.137,examine,0.166,choice,0.186,development,0.151,heterogeneity,0.156,partner,0.19,mechanism,0.225,federative,0.139
6,congruence,0.162,amount,0.164,multinational,0.181,degree,0.184,business,0.154,corporation,0.146,closely,0.141,national,0.153,likelihood,0.206,study,0.187,complementary,0.218,international,0.166,close,0.165,research,0.153,factor,0.128,review,0.157,internalization,0.172,corporate,0.129,subnational,0.156,dimension,0.151,expatriate,0.201,mandate,0.139
7,hofstede,0.143,estimated,0.164,perspective,0.161,international,0.175,product,0.149,difference,0.137,increasingly,0.141,choice,0.133,institutional,0.174,global,0.172,entry,0.197,disadvantage,0.155,psychic,0.165,outward,0.151,venture,0.128,art,0.139,joint,0.172,gtm,0.118,effect,0.149,learning,0.142,impact,0.201,knowledge,0.137
