,4,4,9,9,5,5,1,1,2,2,7,7,8,8,6,6,3,3
,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf
0,involvement,0.408,acquisition,0.324,test,0.455,language,0.366,explicit,0.317,task,0.444,unit,0.701,word,0.397,vanpatten,0.31
1,construct,0.313,language,0.251,taker,0.351,bilingual,0.265,feedback,0.305,difficulty,0.324,caf,0.206,cue,0.298,review,0.301
2,vocabulary,0.29,learning,0.22,elicited,0.263,switching,0.23,form,0.231,version,0.27,data,0.187,noun,0.248,research,0.29
3,task,0.224,order,0.195,knowledge,0.228,learner,0.193,instruction,0.197,complexity,0.249,analysis,0.161,boundary,0.176,processing,0.269
4,evaluation,0.193,chaos,0.192,imitation,0.222,age,0.179,learner,0.185,production,0.222,complexity,0.161,choice,0.176,instruction,0.261
5,induced,0.193,science,0.192,implicit,0.171,nativelike,0.177,knowledge,0.184,significantly,0.216,definition,0.139,determiner,0.176,cadierno,0.155
6,literature,0.193,contingency,0.154,measure,0.171,proficiency,0.164,recasts,0.173,sequencing,0.192,spoken,0.124,distributional,0.176,close,0.155
7,motivational,0.193,natural,0.154,sentence,0.171,acquisition,0.149,effect,0.165,affect,0.188,case,0.105,probability,0.176,contain,0.155
8,search,0.193,phenomenon,0.154,language,0.168,period,0.149,analysis,0.158,interaction,0.162,example,0.105,language,0.158,contradictory,0.155
9,need,0.188,rational,0.154,focus,0.148,critical,0.143,implicit,0.152,simple,0.162,identify,0.105,learning,0.153,counterevidence,0.155
10,word,0.163,salience,0.154,presented,0.148,aptitude,0.134,language,0.136,complex,0.148,different,0.091,segmentation,0.149,date,0.155
11,learning,0.151,complexity,0.15,utterance,0.148,high,0.134,study,0.133,native,0.148,measurement,0.091,animacy,0.117,drawback,0.155
12,cognitive,0.125,cue,0.13,meaning,0.114,native,0.133,test,0.125,non,0.141,approach,0.083,connection,0.117,follow,0.155
13,empirical,0.125,second,0.126,baseline,0.088,korean,0.124,classroom,0.122,speaker,0.133,challenge,0.083,correlation,0.117,introduced,0.155
14,broadening,0.097,analysis,0.125,explicitly,0.088,second,0.124,output,0.12,conversation,0.128,instructed,0.083,prosodic,0.117,study,0.145
15,conditional,0.097,determinant,0.115,incorrect,0.088,level,0.117,effectiveness,0.112,syllabus,0.128,must,0.083,told,0.117,argue,0.131
16,currently,0.097,intake,0.115,indication,0.088,attainment,0.106,focused,0.103,cognitive,0.124,organic,0.083,transitional,0.117,considered,0.131
