,6,6,2,2,8,8,9,9,4,4,5,5,3,3,1,1,7,7
,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf
0,fiber,0.338,model,0.263,cytoarchitectonic,0.256,conjunction,0.458,cluster,0.315,surface,0.329,visual,0.274,response,0.258,shell,0.313
1,fibre,0.338,connectivity,0.261,data,0.256,cognitive,0.319,inference,0.244,registration,0.242,task,0.259,fmri,0.23,clinical,0.307
2,orientation,0.234,network,0.229,toolbox,0.205,activation,0.234,threshold,0.194,brain,0.194,decrease,0.244,bold,0.16,dispersion,0.261
3,data,0.233,functional,0.196,atlas,0.197,emotion,0.217,age,0.178,image,0.178,attention,0.213,time,0.16,neurite,0.209
4,diffusion,0.222,motion,0.19,map,0.189,memory,0.217,diffusion,0.178,cortical,0.16,location,0.2,hemodynamic,0.15,noddi,0.209
5,tractography,0.171,data,0.177,tool,0.189,task,0.169,image,0.168,semantic,0.139,network,0.187,analysis,0.14,orientation,0.203
6,component,0.132,interaction,0.175,mask,0.182,region,0.132,matter,0.168,algorithm,0.138,cortex,0.185,region,0.138,index,0.176
7,noise,0.116,brain,0.173,priori,0.182,emotional,0.128,voxel,0.168,based,0.13,inferior,0.177,subject,0.138,segmentation,0.169
8,weighted,0.116,head,0.146,area,0.18,analysis,0.12,data,0.144,method,0.125,parietal,0.167,signal,0.135,snap,0.157
9,deconvolution,0.114,subject,0.143,functional,0.18,subject,0.112,level,0.144,task,0.123,stimulus,0.167,linear,0.13,protocol,0.135
10,ica,0.114,response,0.139,testing,0.157,reward,0.109,imaging,0.124,fischl,0.118,passive,0.158,temporal,0.129,optimized,0.132
11,fix,0.113,fmri,0.129,analysis,0.154,study,0.108,based,0.123,atlas,0.115,active,0.154,across,0.123,density,0.121
12,mri,0.106,bayes,0.11,based,0.154,prefrontal,0.096,gray,0.119,cortex,0.111,activity,0.137,task,0.123,two,0.111
13,hcp,0.099,coupling,0.11,fmri,0.154,effect,0.092,analysis,0.117,data,0.111,frontal,0.136,data,0.122,feasibility,0.104
14,fmri,0.096,change,0.108,hypothesis,0.142,fixed,0.092,thresholding,0.113,labeling,0.11,attentional,0.135,autocorrelation,0.118,hardi,0.104
15,spherical,0.095,state,0.099,correlating,0.121,fmri,0.092,template,0.109,analysis,0.095,target,0.135,eeg,0.115,min,0.104
16,classifier,0.09,input,0.098,lobar,0.121,object,0.092,method,0.103,dale,0.094,flow,0.133,rate,0.113,neurites,0.104
17,dti,0.09,fcmri,0.097,spm,0.118,retrieval,0.092,pediatric,0.097,lipc,0.094,nonlanguage,0.131,network,0.107,brain,0.1
18,fod,0.09,correlation,0.095,software,0.114,inference,0.088,research,0.095,automated,0.092,blood,0.116,resting,0.107,imaging,0.1
19,project,0.088,bayesian,0.093,probabilistic,0.105,test,0.088,fsl,0.083,human,0.09,language,0.111,amplitude,0.106,diffusion,0.091
20,imaging,0.086,among,0.089,generate,0.102,episodic,0.087,permutation,0.082,mri,0.088,left,0.106,level,0.105,contour,0.088
21,technique,0.085,dynamic,0.087,brain,0.093,imagery,0.087,tract,0.082,label,0.087,reorienting,0.105,model,0.105,method,0.088
22,human,0.078,individual,0.085,imaging,0.093,punishment,0.087,brain,0.081,functional,0.085,shulman,0.105,related,0.105,reliability,0.088
23,number,0.078,method,0.083,brodmann,0.089,subtraction,0.087,using,0.081,optimization,0.083,control,0.096,state,0.103,tracing,0.088
24,automatic,0.076,bold,0.082,generated,0.089,pet,0.085,vbm,0.081,hemisphere,0.077,process,0.091,correlated,0.1,user,0.088
25,connectome,0.073,group,0.078,region,0.085,brain,0.083,set,0.076,left,0.075,area,0.089,variance,0.1,scanner,0.081
26,datasets,0.073,measure,0.078,anatomy,0.079,functional,0.083,spatial,0.076,using,0.072,experiment,0.086,event,0.096,active,0.077
27,matter,0.073,approach,0.077,automated,0.079,price,0.08,subject,0.076,ant,0.071,related,0.086,noise,0.095,alternative,0.077
28,white,0.073,using,0.075,focus,0.079,friston,0.07,test,0.075,gyral,0.071,absence,0.079,hrf,0.094,angular,0.077
29,scanner,0.07,causal,0.073,package,0.079,induction,0.065,development,0.071,pal,0.071,attended,0.079,artifact,0.092,factor,0.077
30,brain,0.069,graph,0.073,probability,0.079,logical,0.065,wise,0.071,performance,0.071,involving,0.079,frequency,0.09,manual,0.077
31,bundle,0.068,factor,0.072,method,0.077,monetary,0.065,inc,0.069,architecture,0.07,precuneous,0.079,using,0.086,practical,0.077
32,odf,0.068,hemodynamic,0.072,combining,0.07,neuroanatomy,0.065,echo,0.068,inferior,0.07,stimulation,0.079,correlation,0.084,slice,0.077
33,university,0.068,node,0.072,available,0.063,orbitofrontal,0.065,model,0.068,phonological,0.07,unattended,0.079,functional,0.08,validation,0.077
34,inc,0.067,experimental,0.071,space,0.063,spoken,0.065,study,0.068,result,0.07,voluntary,0.079,method,0.08,vivo,0.077
35,reserved,0.067,signal,0.07,amunts,0.061,verbal,0.065,statistical,0.067,retrieval,0.07,condition,0.077,design,0.077,result,0.066
36,multi,0.066,effect,0.063,anatomic,0.061,medial,0.064,special,0.065,used,0.07,corbetta,0.077,variation,0.077,application,0.06
37,tensor,0.066,parameter,0.063,assignment,0.061,across,0.063,susceptibility,0.065,linear,0.069,ventral,0.077,based,0.075,estimate,0.06
38,acquisition,0.065,resting,0.063,burdette,0.061,left,0.063,tfce,0.065,roi,0.069,increased,0.076,connectivity,0.075,tissue,0.06
39,population,0.065,stimulus,0.063,daemon,0.061,activated,0.056,used,0.062,selection,0.069,posterior,0.068,effect,0.072,using,0.06
40,multiple,0.063,system,0.063,easy,0.061,component,0.056,map,0.059,across,0.068,reflect,0.068,compcor,0.071,estimated,0.054
41,region,0.063,analysis,0.062,eickhoff,0.061,included,0.056,registration,0.059,cerebral,0.067,larger,0.067,prewhitening,0.071,mapping,0.054
42,right,0.06,based,0.062,expedition,0.061,pair,0.056,sensitivity,0.059,well,0.067,across,0.061,reduction,0.071,provides,0.054
43,using,0.06,labeling,0.062,fishing,0.061,temporal,0.056,statistic,0.059,subject,0.066,right,0.06,timing,0.071,time,0.054
44,high,0.059,one,0.062,functionality,0.061,approach,0.055,volume,0.059,accurate,0.061,selective,0.058,recording,0.07,alexander,0.052
45,non,0.059,reserved,0.062,grefkes,0.061,area,0.055,human,0.056,automatically,0.061,functional,0.056,regression,0.07,analogous,0.052
46,fluctuation,0.057,balloon,0.061,interfaced,0.061,baseline,0.055,procedure,0.056,intensity,0.061,response,0.055,session,0.07,autism,0.052
47,function,0.057,psychological,0.061,knowledgeable,0.061,cerebellum,0.055,false,0.055,network,0.061,system,0.055,change,0.068,axon,0.052
48,result,0.057,right,0.061,kraft,0.061,learning,0.055,morphometry,0.055,resolution,0.061,ability,0.053,general,0.068,bridge,0.052
49,rfmri,0.057,subgraphs,0.061,laurienti,0.061,magnitude,0.055,result,0.055,volume,0.061,action,0.053,global,0.068,compartment,0.052
50,used,0.057,anatomical,0.057,likened,0.061,minimum,0.055,smoothing,0.055,parcellation,0.06,directed,0.053,statistical,0.068,continue,0.052
51,connectivity,0.052,inc,0.057,maldjian,0.061,studied,0.055,correction,0.053,art,0.059,environment,0.053,variability,0.068,dementia,0.052
52,distribution,0.052,region,0.057,masking,0.061,cortex,0.051,local,0.053,bbr,0.059,fixation,0.053,within,0.068,dendrite,0.052
53,single,0.052,across,0.056,microscopical,0.061,neuroimaging,0.051,range,0.053,boundary,0.059,mediated,0.053,study,0.063,disentangling,0.052
54,source,0.052,study,0.056,mohlberg,0.061,review,0.05,technique,0.053,cross,0.059,orienting,0.053,estimate,0.062,disorder,0.052
55,angular,0.05,blood,0.054,multivolume,0.061,insula,0.048,white,0.053,similarity,0.059,peripheral,0.053,compared,0.061,efficient,0.052
56,classification,0.05,complex,0.054,neuroanatomic,0.061,led,0.048,smith,0.051,sulcal,0.059,pronounced,0.053,component,0.061,engineering,0.052
57,effort,0.05,contribution,0.054,oil,0.061,motor,0.048,right,0.05,processing,0.055,raichle,0.053,negative,0.061,feasible,0.052
58,modality,0.05,connection,0.051,presently,0.061,null,0.048,arbitrary,0.049,set,0.055,read,0.053,value,0.061,fewer,0.052
59,quality,0.05,identification,0.051,probing,0.061,proportion,0.048,enhancement,0.049,state,0.055,shift,0.053,low,0.06,fulfilled,0.052
60,tej,0.05,mri,0.051,thresholded,0.061,common,0.045,expected,0.049,right,0.054,toward,0.053,result,0.06,gap,0.052
61,analysis,0.048,neuroimaging,0.051,traditionally,0.061,pattern,0.045,johansen,0.049,robust,0.054,versus,0.053,filtering,0.059,gerig,0.052
62,method,0.048,avoi,0.049,vosel,0.061,abstract,0.043,matthew,0.049,study,0.054,cingulate,0.051,glm,0.059,guided,0.052
63,however,0.047,cbf,0.049,zilles,0.061,basal,0.043,siemens,0.049,whole,0.054,consistent,0.051,academic,0.055,hazlett,0.052
64,provides,0.047,comparing,0.049,anatomical,0.057,buchel,0.043,ashburner,0.048,deformation,0.052,neural,0.051,parameter,0.055,interrater,0.052
65,resolution,0.047,kernel,0.049,cortical,0.057,conceptual,0.043,distortion,0.048,evaluation,0.052,top,0.051,press,0.055,intrarater,0.052
66,signal,0.047,psychophysiological,0.049,interest,0.057,divided,0.043,extent,0.048,hcp,0.052,human,0.05,series,0.055,itk,0.052
67,artefactual,0.045,rsfc,0.049,provide,0.057,encoding,0.043,fmrib,0.048,pipeline,0.052,event,0.046,set,0.055,live,0.052
68,attenuation,0.045,timeseries,0.049,several,0.057,fear,0.043,linear,0.048,prefrontal,0.052,caused,0.044,stimulus,0.055,marker,0.052
69,barch,0.045,volterra,0.049,additionally,0.051,meta,0.043,movement,0.048,inc,0.05,cue,0.044,trial,0.052,microstructural,0.052
70,calamante,0.045,adult,0.047,architectonic,0.051,midline,0.043,nichols,0.048,information,0.05,frontoparietal,0.044,although,0.05,microstructure,0.052
71,cleanup,0.045,effective,0.047,consuming,0.051,ofc,0.043,reserved,0.048,preprocessing,0.05,ollinger,0.044,deconvolution,0.05,neonatal,0.052
72,connelly,0.045,friston,0.047,correspondence,0.051,procedural,0.043,tensor,0.048,reconstruction,0.05,ongoing,0.044,difference,0.05,opportunity,0.052
73,consortium,0.045,neural,0.047,defining,0.051,recall,0.043,value,0.048,spatial,0.05,produced,0.044,different,0.05,philosophy,0.052
