,1,1,7,7,3,3,5,5,2,2,6,6,4,4
,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf
0,economic,0.379,data,0.238,representation,0.494,party,0.273,candidate,0.442,turnout,0.674,survey,0.262
1,spending,0.317,multilevel,0.235,policy,0.3,machine,0.268,legislative,0.208,voter,0.291,voter,0.24
2,public,0.247,cross,0.206,descriptive,0.217,causal,0.238,model,0.174,habitual,0.169,informed,0.239
3,policy,0.235,war,0.206,context,0.18,medium,0.179,argument,0.172,unequal,0.135,information,0.198
4,expectation,0.191,economic,0.188,criterion,0.18,order,0.149,roll,0.172,experiment,0.112,political,0.197
5,preference,0.144,time,0.181,public,0.175,group,0.148,party,0.144,canvassing,0.101,state,0.167
6,congressional,0.141,btscs,0.177,promissory,0.162,voter,0.129,voting,0.141,developmental,0.101,issue,0.161
7,election,0.127,analysis,0.16,group,0.154,mechanism,0.127,issue,0.128,direct,0.101,fully,0.152
8,change,0.123,show,0.146,opinion,0.154,news,0.124,election,0.127,mail,0.101,processing,0.131
9,component,0.114,series,0.127,form,0.115,exposure,0.119,member,0.123,resource,0.101,shortcut,0.131
10,consumer,0.114,statistical,0.127,mechanism,0.115,frame,0.119,bias,0.119,telephone,0.101,ideology,0.13
11,domain,0.114,model,0.123,global,0.108,present,0.119,district,0.119,citizen,0.096,data,0.127
12,retrospective,0.114,political,0.123,historical,0.108,tolerance,0.119,support,0.105,election,0.096,vote,0.127
13,short,0.114,civil,0.122,mansbridge,0.108,assumption,0.11,electoral,0.099,field,0.096,multiple,0.111
14,voting,0.109,analyst,0.118,recently,0.108,politics,0.11,call,0.096,low,0.084,choice,0.109
15,would,0.108,section,0.118,represent,0.108,research,0.11,advantage,0.091,pressure,0.084,measure,0.109
16,voter,0.103,taking,0.118,responds,0.108,statistical,0.11,method,0.091,political,0.071,imputation,0.105
17,approval,0.095,error,0.104,woman,0.108,study,0.11,problem,0.091,aging,0.067,item,0.105
18,personal,0.095,country,0.098,act,0.09,opinion,0.106,advantaged,0.089,applying,0.067,missing,0.105
19,united,0.095,factor,0.098,black,0.09,elite,0.099,bayesian,0.089,extrinsic,0.067,validity,0.105
20,condition,0.094,structure,0.098,cost,0.09,favor,0.099,office,0.089,gerber,0.067,election,0.099
21,presidential,0.082,become,0.088,institution,0.09,framing,0.099,valence,0.089,green,0.067,party,0.099
22,economy,0.081,dependence,0.088,rather,0.09,public,0.096,house,0.084,inertia,0.067,citizen,0.093
23,state,0.081,insurgency,0.088,responsiveness,0.09,two,0.096,test,0.08,intrinsic,0.067,algorithm,0.087
24,term,0.081,legit,0.088,change,0.088,affinity,0.089,voter,0.08,involving,0.067,preference,0.085
25,adjust,0.076,many,0.088,government,0.077,identifying,0.089,competition,0.074,mailing,0.067,individual,0.081
26,banker,0.076,specification,0.088,political,0.068,klan,0.089,uncertainty,0.074,maximize,0.067,cognitive,0.079
27,jacobson,0.076,standard,0.084,set,0.067,part,0.089,assumption,0.073,option,0.067,deviation,0.079
28,kernell,0.076,dependent,0.073,dynamic,0.058,speech,0.089,study,0.073,participation,0.067,identification,0.079
29,kiewiet,0.076,estimate,0.073,interest,0.058,story,0.089,theory,0.07,previous,0.067,percentage,0.079
30,kinder,0.076,often,0.073,two,0.058,experiment,0.074,vote,0.064,registered,0.067,point,0.079
31,kramer,0.076,ordinary,0.073,ability,0.054,free,0.074,attitude,0.063,scale,0.067,stereotype,0.079
32,negatively,0.076,probit,0.073,aggregative,0.054,mass,0.074,campaign,0.063,substantially,0.067,uninformed,0.079
33,output,0.076,provide,0.073,anticipation,0.054,participant,0.074,evidence,0.063,young,0.067,voting,0.075
34,peasant,0.076,remedy,0.073,anticipatory,0.054,result,0.071,show,0.063,theory,0.064,candidate,0.074
35,preferred,0.076,researcher,0.073,attachment,0.054,information,0.064,analysis,0.062,contribution,0.056,error,0.074
36,prospective,0.076,technique,0.073,calculate,0.054,vote,0.064,accommodate,0.059,cost,0.056,opinion,0.074
37,signal,0.076,dynamic,0.064,called,0.054,design,0.063,attitudinally,0.059,framework,0.056,strategy,0.074
38,sociotropic,0.076,national,0.064,composition,0.054,error,0.063,calvert,0.059,growth,0.056,well,0.071
39,temperature,0.076,regression,0.063,constitutional,0.054,make,0.063,center,0.059,mean,0.056,model,0.066
40,thermostat,0.076,type,0.063,contingent,0.054,measurement,0.063,concern,0.059,message,0.056,implement,0.065
41,tufte,0.076,weak,0.063,contrast,0.054,support,0.063,confirmation,0.059,personal,0.056,mass,0.065
