,1,1,5,5,8,8,3,3,7,7,2,2,4,4,6,6
,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf
0,lasso,0.321,deconvolution,0.535,model,0.322,inequality,0.426,likelihood,0.368,covariance,0.444,regression,0.465,bootstrap,0.568
1,selection,0.305,error,0.309,bayes,0.246,sum,0.426,estimator,0.311,matrix,0.38,model,0.217,jackknife,0.568
2,model,0.242,optimal,0.271,posterior,0.246,probability,0.322,semiparametric,0.209,gaussian,0.181,direction,0.203,kunsch,0.189
3,penalty,0.231,convergence,0.24,prior,0.246,bennett,0.254,estimation,0.163,largest,0.168,function,0.175,lecture,0.189
4,penalized,0.193,rate,0.24,gibbs,0.229,gine,0.254,asymptotic,0.158,result,0.168,method,0.166,method,0.189
5,linear,0.184,density,0.232,bayesian,0.18,hoeffding,0.254,information,0.158,banding,0.15,nonparametric,0.165,rietz,0.189
6,variable,0.17,problem,0.18,factor,0.154,variable,0.254,empirical,0.14,eigenvalue,0.15,linear,0.163,stationary,0.189
7,property,0.16,distribution,0.16,data,0.147,zinn,0.254,model,0.14,rootn,0.15,smoother,0.139,cfj,0.159
8,sparse,0.151,epsilon,0.155,normal,0.137,random,0.227,parameter,0.14,rootp,0.15,beta,0.12,discussion,0.159
9,oracle,0.13,nonparametric,0.12,distribution,0.131,bounded,0.184,class,0.132,approach,0.127,generalized,0.12,look,0.159
10,screening,0.13,according,0.107,approach,0.125,theorem,0.184,function,0.132,show,0.127,sir,0.11,resampling,0.159
11,regression,0.124,arise,0.107,dirichlet,0.115,independent,0.161,missing,0.124,distribution,0.125,dimension,0.108,another,0.137
12,likelihood,0.121,deconvolving,0.107,latent,0.115,limit,0.161,regressors,0.124,consistent,0.108,local,0.107,efron,0.137
13,condition,0.116,difficulty,0.107,sampler,0.115,empirical,0.143,score,0.124,thresholding,0.108,unknown,0.105,analysis,0.106
14,method,0.11,examined,0.107,using,0.114,process,0.143,theta,0.124,banded,0.1,data,0.103,regression,0.106
15,algorithm,0.109,gained,0.107,mixture,0.11,,,variance,0.12,conditioned,0.1,adaptive,0.093,general,0.095
16,dimensional,0.109,harder,0.107,regression,0.11,,,nonparametric,0.116,considers,0.1,design,0.093,observation,0.084
17,high,0.109,insight,0.107,variance,0.107,,,problem,0.116,fairly,0.1,high,0.093,,
18,number,0.109,measurement,0.107,method,0.106,,,efficient,0.105,levina,0.1,likelihood,0.093,,
19,nonconcave,0.1,supersmooth,0.107,inference,0.095,,,probability,0.105,long,0.1,minimax,0.093,,
20,parameter,0.096,variable,0.107,sampling,0.095,,,study,0.105,numerically,0.1,optimal,0.093,,
21,lla,0.09,carroll,0.09,used,0.093,,,used,0.105,operator,0.1,inverse,0.083,,
22,loss,0.09,hall,0.09,density,0.083,,,expansion,0.104,practice,0.1,statistic,0.083,,
23,function,0.089,interesting,0.09,effect,0.083,,,data,0.093,wishart,0.1,variable,0.083,,
24,sure,0.084,kernel,0.09,one,0.083,,,estimating,0.093,large,0.084,ratio,0.08,,
25,matrix,0.083,showing,0.09,probability,0.083,,,asymptotically,0.09,natural,0.084,even,0.077,,
26,beta,0.08,smoother,0.09,process,0.083,,,equation,0.09,norm,0.084,form,0.077,,
27,certain,0.08,smoothness,0.09,binary,0.082,,,ratio,0.09,principal,0.084,kernel,0.077,,
28,estimator,0.08,whether,0.09,breaking,0.082,,,counting,0.083,resampling,0.084,many,0.077,,
29,independence,0.08,achieved,0.077,chain,0.082,,,distribution,0.083,variate,0.084,smoothing,0.077,,
30,lars,0.08,effect,0.077,markov,0.082,,,fisher,0.083,estimate,0.075,additive,0.074,,
31,proposed,0.079,fact,0.077,measure,0.082,,,gill,0.083,variable,0.075,boundary,0.074,,
