,1,1,6,6,4,4,3,3,8,8,2,2,5,5,7,7
,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf
0,mother,0.311,emerson,0.566,friendship,0.315,social,0.435,duncan,0.452,medium,0.426,organization,0.319,crime,0.463
1,wage,0.311,power,0.474,gender,0.315,capital,0.259,residential,0.339,coverage,0.317,process,0.245,disorganization,0.276
2,job,0.237,cook,0.316,social,0.244,neighborhood,0.232,segregation,0.292,protest,0.317,framing,0.184,felson,0.276
3,penalty,0.213,exchange,0.239,homophily,0.225,action,0.227,denton,0.269,demonstration,0.254,organizational,0.184,grove,0.276
4,important,0.198,network,0.212,school,0.189,network,0.195,massey,0.269,issue,0.213,state,0.17,social,0.276
5,motherhood,0.17,commitment,0.189,boundary,0.188,embeddedness,0.193,blau,0.226,washington,0.19,diversity,0.147,testing,0.276
6,child,0.166,dependence,0.189,inequality,0.167,culture,0.146,inequality,0.171,movement,0.161,environmental,0.147,cohen,0.231
7,segregation,0.143,equity,0.189,segregation,0.163,economic,0.146,allison,0.135,attention,0.138,model,0.14,routine,0.231
8,woman,0.143,gillmore,0.189,race,0.15,concept,0.14,asian,0.135,comparing,0.127,movement,0.14,sampson,0.231
9,establishment,0.142,yamagishi,0.189,network,0.148,structure,0.135,berk,0.135,cycle,0.127,environment,0.139,trend,0.231
10,model,0.126,distribution,0.158,process,0.143,tie,0.126,correlation,0.135,insurgency,0.127,market,0.139,change,0.2
11,advantage,0.119,experimental,0.136,organization,0.136,effect,0.123,hispanic,0.135,jenkins,0.127,society,0.139,activity,0.175
12,occupation,0.119,relation,0.12,interactional,0.126,one,0.116,index,0.135,likelihood,0.127,social,0.138,community,0.175
13,criminal,0.113,result,0.106,science,0.113,analysis,0.087,introduction,0.135,mcadam,0.127,world,0.133,rate,0.175
14,discrimination,0.113,theory,0.084,tie,0.109,control,0.084,metropolitan,0.135,mccarthy,0.127,responsibility,0.11,approach,0.155
15,study,0.111,,,people,0.094,beyond,0.081,robinson,0.135,recruitment,0.127,action,0.108,structure,0.138
16,employer,0.102,,,sex,0.094,different,0.081,violent,0.135,social,0.127,culture,0.108,theory,0.123
17,mechanism,0.102,,,form,0.084,positive,0.081,crime,0.113,television,0.127,nation,0.108,,
18,review,0.102,,,also,0.082,spatial,0.081,distribution,0.113,mobilization,0.106,compliance,0.092,,
19,causal,0.095,,,change,0.082,closure,0.077,ecological,0.113,bias,0.071,law,0.092,,
20,cumulative,0.095,,,cultural,0.082,source,0.077,methodological,0.113,network,0.071,structure,0.083,,
21,panel,0.095,,,identity,0.082,research,0.074,occupational,0.113,resource,0.071,outcome,0.082,,
22,variable,0.095,,,status,0.082,role,0.07,sample,0.113,selection,0.071,change,0.08,,
23,audit,0.085,,,within,0.082,theoretical,0.07,stratification,0.113,study,0.071,diffusion,0.077,,
24,method,0.085,,,contact,0.075,account,0.065,trend,0.113,activism,0.063,formal,0.077,,
25,author,0.082,,,face,0.075,child,0.065,behavior,0.097,additional,0.063,expansion,0.074,,
26,difference,0.082,,,integrated,0.075,firm,0.065,cost,0.097,case,0.063,frame,0.074,,
27,men,0.082,,,integration,0.075,group,0.065,dimension,0.097,citizen,0.063,inertia,0.074,,
28,data,0.072,,,mcpherson,0.075,information,0.065,measure,0.097,claim,0.063,managerial,0.074,,
29,effect,0.072,,,personal,0.075,consequence,0.061,black,0.085,cover,0.063,perspective,0.074,,
30,sociological,0.072,,,stereotype,0.075,agency,0.058,data,0.085,democracy,0.063,population,0.074,,
31,empirical,0.071,,,type,0.075,apparel,0.058,sociological,0.085,differential,0.063,analysis,0.072,,
32,occupational,0.071,,,relation,0.071,elite,0.058,analysis,0.076,eklandolson,0.063,institutional,0.07,,
33,record,0.071,,,group,0.063,examined,0.058,bias,0.076,estimated,0.063,national,0.07,,
34,analysis,0.063,,,heterogeneity,0.063,expectation,0.058,individual,0.076,farm,0.063,structural,0.07,,
35,although,0.061,,,information,0.063,illustrated,0.058,selection,0.076,fraction,0.063,collective,0.067,,
36,american,0.061,,,job,0.063,medici,0.058,structure,0.067,freedom,0.063,review,0.067,,
37,employment,0.061,,,many,0.063,oversocialized,0.058,,,heightened,0.063,status,0.067,,
38,experience,0.061,,,others,0.063,statement,0.058,,,image,0.063,practice,0.062,,
39,first,0.061,,,study,0.063,weak,0.058,,,known,0.063,proposed,0.062,,
40,status,0.061,,,actor,0.054,collective,0.056,,,mainly,0.063,data,0.058,,
41,capitalize,0.057,,,concept,0.054,high,0.056,,,mcphail,0.063,dynamic,0.058,,
42,employee,0.057,,,development,0.054,institution,0.056,,,microstructural,0.063,relation,0.058,,
43,experiment,0.057,,,interaction,0.054,strategy,0.056,,,pace,0.063,competition,0.055,,
44,finding,0.057,,,men,0.054,article,0.049,,,partial,0.063,country,0.055,,
45,fixed,0.057,,,principle,0.054,attempt,0.049,,,perrow,0.063,demand,0.055,,
46,friendly,0.057,,,suggests,0.054,available,0.049,,,police,0.063,domestic,0.055,,
47,goodman,0.057,,,woman,0.054,community,0.049,,,politics,0.063,ecology,0.055,,
48,hausman,0.057,,,community,0.048,dynamic,0.049,,,portrayal,0.063,effort,0.055,,
49,laboratory,0.057,,,national,0.048,efficacy,0.049,,,possibility,0.063,establish,0.055,,
50,major,0.057,,,outcome,0.048,example,0.049,,,powerless,0.063,evaluation,0.055,,
51,million,0.057,,,position,0.048,exchange,0.049,,,predictor,0.063,global,0.055,,
