,2,2,7,7,10,10,6,6,8,8,3,3,9,9,5,5,4,4,1,1
,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf
0,element,0.26,association,0.382,linkage,0.356,rna,0.338,heritability,0.278,structure,0.31,haplotype,0.367,expression,0.241,genome,0.242,genome,0.251
1,conserved,0.25,admixture,0.23,map,0.32,seq,0.322,association,0.224,spliced,0.296,imputation,0.347,gencode,0.224,read,0.242,read,0.243
2,genome,0.249,structure,0.224,recombination,0.21,count,0.227,genome,0.186,evm,0.261,method,0.338,chip,0.223,assembly,0.225,assembly,0.231
3,alignment,0.225,mixed,0.215,marker,0.171,tophat,0.227,wide,0.186,genewise,0.261,genotype,0.249,coding,0.223,duplication,0.223,maker,0.194
4,specie,0.21,method,0.202,general,0.164,expression,0.206,trait,0.184,annotation,0.259,panel,0.231,gene,0.221,human,0.213,base,0.187
5,target,0.202,model,0.195,genetic,0.152,differential,0.177,snp,0.161,gene,0.258,data,0.17,annotation,0.193,segmental,0.178,error,0.184
6,sequence,0.187,population,0.179,crossover,0.147,sequencing,0.176,analysis,0.148,eukaryotic,0.222,reference,0.169,seq,0.191,variation,0.174,data,0.18
7,vertebrate,0.168,emma,0.161,hot,0.147,data,0.174,explained,0.139,automated,0.194,phase,0.163,incrnas,0.175,data,0.159,calling,0.174
8,mammalian,0.167,inbred,0.138,spot,0.147,analysis,0.153,study,0.139,evidencemodeler,0.174,association,0.147,protein,0.148,sequence,0.159,sequencing,0.166
9,conservation,0.14,relatedness,0.137,human,0.127,method,0.135,data,0.133,genomewise,0.174,study,0.13,encode,0.13,structural,0.157,cap,0.155
10,site,0.13,genetic,0.133,multipoint,0.127,bioconductor,0.126,van,0.129,predicts,0.174,accuracy,0.109,genome,0.129,short,0.153,quality,0.15
11,micrornas,0.126,study,0.133,ibd,0.122,bowtie,0.126,gwas,0.126,algorithm,0.155,inference,0.109,noncoding,0.127,circos,0.131,program,0.125
12,genomic,0.12,sample,0.123,genome,0.118,deseq,0.126,height,0.121,assemble,0.13,genome,0.108,mac,0.125,cnvs,0.131,sequence,0.118
13,blat,0.112,strain,0.115,analysis,0.109,read,0.117,summary,0.121,protein,0.115,individual,0.105,variation,0.122,copy,0.131,finishing,0.116
14,substitution,0.112,analysis,0.112,haplotype,0.109,gene,0.103,statistic,0.116,alignment,0.104,missing,0.095,data,0.111,velvet,0.131,phrap,0.116
15,region,0.109,data,0.112,pedigree,0.109,alignment,0.09,variant,0.116,evidence,0.104,phasing,0.093,rna,0.111,genomic,0.126,phred,0.116
16,annotation,0.091,efficient,0.109,meiotic,0.098,array,0.086,complex,0.113,system,0.104,impute,0.091,transcript,0.111,novo,0.117,technology,0.101
17,rate,0.091,component,0.103,distance,0.097,galaxy,0.086,test,0.103,program,0.094,imputing,0.091,variant,0.111,rearrangement,0.111,output,0.099
18,human,0.088,approach,0.102,relative,0.097,presence,0.086,method,0.101,allen,0.087,trio,0.091,regulatory,0.106,bac,0.089,canu,0.097
19,kent,0.084,mapping,0.101,resolution,0.097,goseq,0.076,genetic,0.092,approaching,0.087,large,0.089,analysis,0.101,parallel,0.089,consed,0.097
20,tba,0.084,eigenstrat,0.092,total,0.097,huber,0.076,variance,0.092,buell,0.087,genotyped,0.085,human,0.101,scale,0.084,gatk,0.097
