,1,1,9,9,7,7,11,11,8,8,5,5,10,10,2,2,4,4,6,6,3,3
,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf,Term,Tfidf
0,alliance,0.568,stakeholder,0.604,top,0.39,sid,0.44,sensemaking,0.493,damanpour,0.471,performance,0.327,knowledge,0.415,framework,0.291,team,0.694,institutional,0.387
1,market,0.179,theory,0.38,team,0.368,group,0.331,action,0.236,metaanalysis,0.471,practice,0.247,firm,0.358,opportunity,0.291,safety,0.326,economy,0.226
2,network,0.179,salience,0.194,strategic,0.288,identity,0.331,system,0.181,moderator,0.471,financial,0.244,capability,0.31,conceptual,0.277,psychological,0.278,emerging,0.226
3,firm,0.177,three,0.183,alliance,0.27,formation,0.188,change,0.163,determinant,0.354,human,0.244,transfer,0.188,field,0.239,trust,0.204,liability,0.189
4,embeddedness,0.155,aspect,0.17,firm,0.216,perception,0.188,interpretation,0.153,effect,0.285,resource,0.197,organizational,0.143,entrepreneurship,0.216,learning,0.182,venture,0.17
5,learning,0.141,implication,0.137,formation,0.195,traditionally,0.188,concept,0.136,innovation,0.285,impact,0.183,organization,0.137,shane,0.216,model,0.182,organization,0.166
6,governance,0.14,attribute,0.129,decision,0.172,lead,0.165,central,0.135,organizational,0.217,configurational,0.163,dynamic,0.133,business,0.163,efficacy,0.109,joint,0.161
7,structure,0.116,management,0.125,management,0.162,associated,0.111,heedful,0.134,,,shrm,0.163,learning,0.126,create,0.163,risk,0.109,strategy,0.146
8,interorganizational,0.108,evidence,0.114,explanation,0.147,social,0.111,initiation,0.134,,,theorizing,0.163,network,0.124,phenomenon,0.163,behavior,0.099,organizational,0.139
9,relational,0.108,identification,0.114,velocity,0.13,ashforth,0.11,mind,0.134,,,universalistic,0.163,capacity,0.115,prior,0.145,work,0.099,legitimacy,0.129
10,success,0.108,power,0.114,eisenhardt,0.112,bettis,0.11,sensegiving,0.134,,,contingency,0.139,resource,0.114,set,0.145,belief,0.093,firm,0.125
11,cost,0.103,literature,0.101,industry,0.11,congruent,0.11,weick,0.134,,,productivity,0.139,tie,0.114,innovation,0.131,considered,0.093,enterprise,0.113
12,relationship,0.102,normative,0.101,change,0.099,distinctiveness,0.11,organization,0.124,,,turnover,0.139,new,0.11,research,0.109,integrative,0.093,foreignness,0.113
13,social,0.099,different,0.092,social,0.099,dukerich,0.11,organizational,0.124,,,firm,0.134,exploration,0.109,accomplishment,0.108,antecedent,0.082,isomorphic,0.113
14,contract,0.096,article,0.083,higher,0.098,dutton,0.11,strategic,0.124,,,management,0.134,market,0.109,already,0.108,construct,0.082,myth,0.113
15,interfirm,0.096,accuracy,0.076,std,0.098,embody,0.11,collective,0.115,,,strategic,0.134,search,0.109,apparent,0.108,discipline,0.082,structure,0.104
16,economic,0.095,agle,0.076,tenure,0.098,eye,0.11,mode,0.101,,,theoretical,0.123,product,0.105,austrian,0.108,shared,0.082,industry,0.101
17,exchange,0.095,attained,0.076,organizational,0.09,image,0.11,understanding,0.101,,,link,0.122,technological,0.098,date,0.108,outcome,0.075,country,0.097
18,trust,0.095,combining,0.076,strategy,0.09,intergroup,0.11,comprehension,0.09,,,mode,0.122,boundary,0.093,discovery,0.108,presented,0.073,rule,0.097
19,cooperation,0.084,corporation,0.076,characteristic,0.088,keeping,0.11,drawn,0.09,,,prediction,0.122,innovation,0.092,education,0.108,effect,0.066,change,0.092
20,partner,0.084,count,0.076,high,0.088,mael,0.11,error,0.09,,,significant,0.122,absorptive,0.085,explained,0.108,result,0.06,resource,0.092
21,process,0.077,describing,0.076,semiconductor,0.084,mirror,0.11,flight,0.09,,,used,0.122,analysis,0.083,feat,0.108,support,0.06,perspective,0.087
22,strategic,0.077,donaldson,0.076,corporate,0.079,oneness,0.11,interrelating,0.09,,,perspective,0.112,social,0.082,knowledgeable,0.108,performance,0.055,formal,0.085
23,transaction,0.075,full,0.076,form,0.074,outgroups,0.11,model,0.09,,,argument,0.109,advantage,0.077,lacked,0.108,research,0.055,response,0.085
24,function,0.074,heuristic,0.076,environment,0.072,prahalad,0.11,subordination,0.09,,,high,0.109,competitive,0.077,note,0.108,cause,0.054,special,0.085
25,two,0.074,instrumental,0.076,level,0.066,prestige,0.11,viewing,0.09,,,corporate,0.099,process,0.077,observer,0.108,coaching,0.054,strategic,0.083
26,choice,0.072,involve,0.076,making,0.066,reinforces,0.11,environmental,0.077,,,work,0.099,information,0.073,portrays,0.108,davis,0.054,theory,0.076
27,dimension,0.072,justified,0.076,manager,0.066,socialization,0.11,organizing,0.077,,,result,0.09,research,0.073,promise,0.108,differentiate,0.054,conformity,0.075
28,stock,0.072,mitchell,0.076,performance,0.066,stereotypical,0.11,oriented,0.077,,,strategy,0.09,time,0.068,readily,0.108,edmondson,0.054,copying,0.075
29,action,0.063,mutually,0.076,view,0.066,organizational,0.101,representation,0.077,,,comprehensively,0.081,theory,0.067,thought,0.108,leader,0.054,engine,0.075
30,source,0.063,popular,0.076,bantel,0.065,argued,0.094,construct,0.067,,,correspondence,0.081,model,0.065,unequivocal,0.108,mayer,0.054,forum,0.075
31,organization,0.062,possessing,0.076,demography,0.065,categorization,0.094,four,0.067,,,delery,0.081,within,0.065,usually,0.108,multimethod,0.054,private,0.075
