PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	SAIT, SNJ; KIM, BW; NAGAFUCHI, S; NOWAK, N; NAKAMURA, Y; SINGH, P; HIGGINS, MJ; SHOWS, TB				SAIT, SNJ; KIM, BW; NAGAFUCHI, S; NOWAK, N; NAKAMURA, Y; SINGH, P; HIGGINS, MJ; SHOWS, TB			MOLECULAR MAPPING OF BREAKPOINTS IN THE 11P15.5 BECKWITH-WIEDEMANN SYNDROME (BWS) REGION	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									ROSWELL PK CANC INST,BUFFALO,NY; JAPANESE FDN CANC RES,INST CANC,TOKYO 170,JAPAN; PRENATAL DIAG LAB,MT VIEW,CA	Roswell Park Cancer Institute; Japanese Foundation for Cancer Research									0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 S WOODLAWN AVE, CHICAGO, IL 60637	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	SEP	1993	53	3		S			355	355						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	LW335					2022-12-18	WOS:A1993LW33500356
J	SAITOH, S; SHAW, G; LEE, ST; SPRITZ, RA; KILBERG, M; NICHOLLS, RD				SAITOH, S; SHAW, G; LEE, ST; SPRITZ, RA; KILBERG, M; NICHOLLS, RD			FUNCTIONAL-ANALYSIS OF A PUTATIVE TRANSPORTER PROTEIN INVOLVED IN TYPE-II OCULOCUTANEOUS ALBINISM	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									UNIV FLORIDA,GAINESVILLE,FL 32611; CASE WESTERN RESERVE UNIV,CLEVELAND,OH 44106; UNIV WISCONSIN,MADISON,WI 53706	State University System of Florida; University of Florida; Case Western Reserve University; University of Wisconsin System; University of Wisconsin Madison									0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 S WOODLAWN AVE, CHICAGO, IL 60637	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	SEP	1993	53	3		S			1602	1602						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	LW335					2022-12-18	WOS:A1993LW33501602
J	SAKALLAH, SA; ROSNER, GL; COOPER, DL; BARRANGER, JA				SAKALLAH, SA; ROSNER, GL; COOPER, DL; BARRANGER, JA			A NEW PCR-BASED DIAGNOSTIC-TEST FOR GAUCHER DISEASE (GD)	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									UNIV PITTSBURGH,MED CTR,DIV MOLEC DIAGNOST,PITTSBURGH,PA 15260	Pennsylvania Commonwealth System of Higher Education (PCSHE); University of Pittsburgh									0	0	0	0	1	UNIV CHICAGO PRESS	CHICAGO	5720 S WOODLAWN AVE, CHICAGO, IL 60637	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	SEP	1993	53	3		S			1755	1755						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	LW335					2022-12-18	WOS:A1993LW33501755
J	SALINAS, CF; SAHN, EE; REID, TR; CANTU, ES; HUTCHINS, AR				SALINAS, CF; SAHN, EE; REID, TR; CANTU, ES; HUTCHINS, AR			INFANTILE SYSTEMIC HYALINOSIS - NEW CRANIOFACIAL AND ORODENTAL FINDINGS IN A BLACK FEMALE	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									MED UNIV S CAROLINA,CHARLESTON,SC 29425	Medical University of South Carolina									0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 S WOODLAWN AVE, CHICAGO, IL 60637	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	SEP	1993	53	3		S			499	499						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	LW335					2022-12-18	WOS:A1993LW33500500
J	SALOMON, M; RAMASWAMY, P; GARCIA, D; MARION, RW				SALOMON, M; RAMASWAMY, P; GARCIA, D; MARION, RW			HYPERTHERMIA AS A COMPLICATION OF PRADER-WILLI-SYNDROME (PWS) - REPORT OF 2 ADDITIONAL PATIENTS	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									YESHIVA UNIV ALBERT EINSTEIN COLL MED,MONTEFIORE MED CTR,BRONX,NY 10461	Montefiore Medical Center; Yeshiva University; Albert Einstein College of Medicine									0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 S WOODLAWN AVE, CHICAGO, IL 60637	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	SEP	1993	53	3		S			500	500						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	LW335					2022-12-18	WOS:A1993LW33500498
J	SANCHEZ, Y; ELNAGGAR, A; PATHAK, S; KILLARY, AM				SANCHEZ, Y; ELNAGGAR, A; PATHAK, S; KILLARY, AM			A TUMOR-SUPPRESSOR LOCUS WITH HUMAN-CHROMOSOME 3P14-3P12 MEDIATES RAPID CELL-DEATH OF RENAL-CELL CARCINOMA IN-VIVO	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									UNIV TEXAS,M D ANDERSON CANC CTR,DIV LAB MED,HEMATOPATHOL PROGRAM,HOUSTON,TX 77030; UNIV TEXAS,M D ANDERSON CANC CTR,DIV PATHOL,HOUSTON,TX 77030; UNIV TEXAS,M D ANDERSON CANC CTR,DEPT CELL BIOL,HOUSTON,TX 77030	University of Texas System; UTMD Anderson Cancer Center; University of Texas System; UTMD Anderson Cancer Center; University of Texas System; UTMD Anderson Cancer Center									0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 S WOODLAWN AVE, CHICAGO, IL 60637	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	SEP	1993	53	3		S			357	357						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	LW335					2022-12-18	WOS:A1993LW33500357
J	SANDER, A; SCHERPBIERHEDDEMA, T; BUETOW, K; SCHMELZLE, R; MURRAY, J				SANDER, A; SCHERPBIERHEDDEMA, T; BUETOW, K; SCHMELZLE, R; MURRAY, J			MICROSATELLITE BASED FINE MAPPING OF VANDERWOUDE SYNDROME ON 1Q	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									UNIV HAMBURG,ORAL MAXILLOFACIAL SURG CLIN,W-2000 HAMBURG 13,GERMANY; FOX CHASE CANC CTR,PHILADELPHIA,PA 19111; UNIV IOWA,DEPT PEDIAT,IOWA CITY,IA 52242	University of Hamburg; Fox Chase Cancer Center; University of Iowa									0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 S WOODLAWN AVE, CHICAGO, IL 60637	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	SEP	1993	53	3		S			1067	1067						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	LW335					2022-12-18	WOS:A1993LW33501067
J	SANKILA, EM; PAKARINEN, L; SIMOLA, KOJ; KAARIAINEN, H; DELACHAPELLE, A				SANKILA, EM; PAKARINEN, L; SIMOLA, KOJ; KAARIAINEN, H; DELACHAPELLE, A			GENETIC-LINKAGE STUDIES IN USHER SYNDROME TYPE-3	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									UNIV HELSINKI,DEPT MED GENET,SF-00100 HELSINKI 10,FINLAND; UNIV HOSP TAMPERE,DEPT PHONIATRY,TAMPERE,FINLAND; UNIV HOSP TAMPERE,DEPT CLIN GENET,TAMPERE,FINLAND	University of Helsinki; Tampere University; Tampere University Hospital; Tampere University; Tampere University Hospital									0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 S WOODLAWN AVE, CHICAGO, IL 60637	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	SEP	1993	53	3		S			1712	1712						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	LW335					2022-12-18	WOS:A1993LW33501713
J	SANTOLAVAFORGAS, J; JESSUP, J; KAHN, D; PRINS, GS; BURTON, BK				SANTOLAVAFORGAS, J; JESSUP, J; KAHN, D; PRINS, GS; BURTON, BK			PATIENTS WITH LOW MIDTRIMESTER MATERNAL SERUM UNCONJUGATED ESTRIOL (MSUE3) HAVE AN INCREASED RISK OF PREGNANCY LOSS	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									UNIV ILLINOIS,CHICAGO,IL 60680; MICHAEL REESE HOSP & MED CTR,CHICAGO,IL 60616	University of Illinois System; University of Illinois Chicago; University of Illinois Chicago Hospital; Michael Reese Hospital & Medical Center									0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 S WOODLAWN AVE, CHICAGO, IL 60637	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	SEP	1993	53	3		S			1454	1454						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	LW335					2022-12-18	WOS:A1993LW33501452
J	SANTOLAYAFORGAS, J; KAHN, D; BROOKFIELD, E				SANTOLAYAFORGAS, J; KAHN, D; BROOKFIELD, E			THE SPECTRUM OF CLINICAL MANIFESTATIONS IN PATIENTS WITH DE-NOVO REGIONAL DELETIONS OF THE LONG ARM OF CHROMOSOME-2	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									UNIV ILLINOIS,COLL MED,CHICAGO,IL 60680; MICHAEL REESE HOSP & MED CTR,CHICAGO,IL 60616; MED COLL OHIO,TOLEDO,OH 43699	University of Illinois System; University of Illinois Chicago; University of Illinois Chicago Hospital; Michael Reese Hospital & Medical Center									0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 S WOODLAWN AVE, CHICAGO, IL 60637	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	SEP	1993	53	3		S			1585	1585						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	LW335					2022-12-18	WOS:A1993LW33501585
