PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	CRITZER, JW				CRITZER, JW			STATE POLICIES AND THE AGING - SOURCES, TRENDS, AND OPTIONS - LAMMERS,WW, KLINGMAN,D	AMERICAN POLITICAL SCIENCE REVIEW			English	Book Review											CRITZER, JW (corresponding author), MT ST MARYS COLL,EMMITSBURG,MD 21727, USA.							LAMMERS WW, 1984, STATE POLICIES AGING	1	0	0	0	0	AMER POLITICAL SCIENCE ASSOC	WASHINGTON	1527 NEW HAMPSHIRE N W, WASHINGTON, DC 20036	0003-0554			AM POLIT SCI REV	Am. Polit. Sci. Rev.	DEC	1985	79	4					1193	1194		10.2307/1956271	http://dx.doi.org/10.2307/1956271			2	Political Science	Social Science Citation Index (SSCI)	Government & Law	AXU98					2022-12-18	WOS:A1985AXU9800034
J	DESAI, U				DESAI, U			COMPETING EQUALITIES - LAW AND THE BACKWARD CLASSES IN INDIA - GALANTER,M	AMERICAN POLITICAL SCIENCE REVIEW			English	Book Review											DESAI, U (corresponding author), SO ILLINOIS UNIV,CARBONDALE,IL 62901, USA.							Galanter M., 1984, COMPETING EQUALITIES	1	0	0	0	0	AMER POLITICAL SCIENCE ASSOC	WASHINGTON	1527 NEW HAMPSHIRE N W, WASHINGTON, DC 20036	0003-0554			AM POLIT SCI REV	Am. Polit. Sci. Rev.	DEC	1985	79	4					1214	1215		10.2307/1956295	http://dx.doi.org/10.2307/1956295			2	Political Science	Social Science Citation Index (SSCI)	Government & Law	AXU98					2022-12-18	WOS:A1985AXU9800059
J	DOBEL, JP				DOBEL, JP			POLITICS AND REMEMBRANCE - REPUBLICAN THEMES IN MACHIAVELLI, BURKE, AND TOCQUEVILLE - SMITH,BJ	AMERICAN POLITICAL SCIENCE REVIEW			English	Book Review											DOBEL, JP (corresponding author), UNIV WASHINGTON,SEATTLE,WA 98195, USA.							SMITH BJ, 1985, POLITICS REMEMBRANCE	1	0	0	0	0	AMER POLITICAL SCIENCE ASSOC	WASHINGTON	1527 NEW HAMPSHIRE N W, WASHINGTON, DC 20036	0003-0554			AM POLIT SCI REV	Am. Polit. Sci. Rev.	DEC	1985	79	4					1269	1270		10.2307/1956356	http://dx.doi.org/10.2307/1956356			2	Political Science	Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI)	Government & Law	AXU98					2022-12-18	WOS:A1985AXU9800120
J	DOMKE, WK				DOMKE, WK			NATO ARMS COOPERATION - A STUDY IN ECONOMICS AND POLITICS - HARTLEY,K	AMERICAN POLITICAL SCIENCE REVIEW			English	Book Review											DOMKE, WK (corresponding author), UNIV CALIF DAVIS,DAVIS,CA 95616, USA.							Hartley K., 1983, NATO ARMS COOPERATIO	1	0	0	0	0	AMER POLITICAL SCIENCE ASSOC	WASHINGTON	1527 NEW HAMPSHIRE N W, WASHINGTON, DC 20036	0003-0554			AM POLIT SCI REV	Am. Polit. Sci. Rev.	DEC	1985	79	4					1243	1243		10.2307/1956327	http://dx.doi.org/10.2307/1956327			1	Political Science	Social Science Citation Index (SSCI)	Government & Law	AXU98					2022-12-18	WOS:A1985AXU9800091
J	DRAPER, A				DRAPER, A			WAGE RESTRAINT BY CONSENSUS - BRITAIN SEARCH FOR AN INCOMES-POLICY AGREEMENT, 1965-79 - FISHBEIN,WH	AMERICAN POLITICAL SCIENCE REVIEW			English	Book Review											DRAPER, A (corresponding author), ST LAWRENCE UNIV,CANTON,NY 13617, USA.							Fishbein Warren H, 1984, WAGE RESTRAINT CONSE	1	0	0	0	0	AMER POLITICAL SCIENCE ASSOC	WASHINGTON	1527 NEW HAMPSHIRE N W, WASHINGTON, DC 20036	0003-0554			AM POLIT SCI REV	Am. Polit. Sci. Rev.	DEC	1985	79	4					1212	1213		10.2307/1956293	http://dx.doi.org/10.2307/1956293			2	Political Science	Social Science Citation Index (SSCI)	Government & Law	AXU98					2022-12-18	WOS:A1985AXU9800057
J	DUMM, TL				DUMM, TL			WHAT SHOULD POLITICAL-THEORY BE NOW - NELSON,JS	AMERICAN POLITICAL SCIENCE REVIEW			English	Book Review											DUMM, TL (corresponding author), AMHERST COLL,AMHERST,MA 01002, USA.							NELSON JS, 1983, WHAT SHOULD POLITICA	1	0	0	0	0	AMER POLITICAL SCIENCE ASSOC	WASHINGTON	1527 NEW HAMPSHIRE N W, WASHINGTON, DC 20036	0003-0554			AM POLIT SCI REV	Am. Polit. Sci. Rev.	DEC	1985	79	4					1264	1264		10.2307/1956350	http://dx.doi.org/10.2307/1956350			1	Political Science	Social Science Citation Index (SSCI)	Government & Law	AXU98					2022-12-18	WOS:A1985AXU9800114
J	ELBEHAIRY, M				ELBEHAIRY, M			THE FOREIGN-POLICIES OF ARAB STATES - KORANY,B, DESOUKI,AEH	AMERICAN POLITICAL SCIENCE REVIEW			English	Book Review											ELBEHAIRY, M (corresponding author), SUNY COLL BUFFALO,BUFFALO,NY 14222, USA.								0	0	0	0	0	AMER POLITICAL SCIENCE ASSOC	WASHINGTON	1527 NEW HAMPSHIRE N W, WASHINGTON, DC 20036	0003-0554			AM POLIT SCI REV	Am. Polit. Sci. Rev.	DEC	1985	79	4					1246	1247		10.2307/1956331	http://dx.doi.org/10.2307/1956331			2	Political Science	Social Science Citation Index (SSCI)	Government & Law	AXU98					2022-12-18	WOS:A1985AXU9800095
J	EXOO, CF				EXOO, CF			ETHNIC PLURALISM AND PUBLIC-POLICY - ACHIEVING EQUALITY IN THE UNITED-STATES AND BRITAIN - GLAZER,N, YOUNG,K	AMERICAN POLITICAL SCIENCE REVIEW			English	Book Review											EXOO, CF (corresponding author), ST LAWRENCE UNIV,CANTON,NY 13617, USA.							GLAZER N, 1983, ETHNIC PLURALISM PUB	1	0	0	0	0	AMER POLITICAL SCIENCE ASSOC	WASHINGTON	1527 NEW HAMPSHIRE N W, WASHINGTON, DC 20036	0003-0554			AM POLIT SCI REV	Am. Polit. Sci. Rev.	DEC	1985	79	4					1215	1216		10.2307/1956296	http://dx.doi.org/10.2307/1956296			2	Political Science	Social Science Citation Index (SSCI)	Government & Law	AXU98					2022-12-18	WOS:A1985AXU9800060
J	FARGANIS, S				FARGANIS, S			A WOMANS PLACE - WOMEN AND POLITICS IN AUSTRALIA - SAWER,M, SIMMS,M	AMERICAN POLITICAL SCIENCE REVIEW			English	Book Review											FARGANIS, S (corresponding author), VASSAR COLL,POUGHKEEPSIE,NY 12601, USA.							SAWER M, 1984, WOMANS PLACE WOMEN P	1	0	0	0	0	AMER POLITICAL SCIENCE ASSOC	WASHINGTON	1527 NEW HAMPSHIRE N W, WASHINGTON, DC 20036	0003-0554			AM POLIT SCI REV	Am. Polit. Sci. Rev.	DEC	1985	79	4					1222	1223		10.2307/1956304	http://dx.doi.org/10.2307/1956304			2	Political Science	Social Science Citation Index (SSCI)	Government & Law	AXU98					2022-12-18	WOS:A1985AXU9800068
J	FERGUSON, KE				FERGUSON, KE			THE RISE AND DECLINE OF WESTERN LIBERALISM - ARBLASTER,A	AMERICAN POLITICAL SCIENCE REVIEW			English	Book Review											FERGUSON, KE (corresponding author), SIENA COLL,LOUNDONVILLE,NY 12211, USA.							Arblaster A., 1985, RISE DECLINE W LIBER	1	0	0	0	0	AMER POLITICAL SCIENCE ASSOC	WASHINGTON	1527 NEW HAMPSHIRE N W, WASHINGTON, DC 20036	0003-0554			AM POLIT SCI REV	Am. Polit. Sci. Rev.	DEC	1985	79	4					1258	1259		10.2307/1956343	http://dx.doi.org/10.2307/1956343			2	Political Science	Social Science Citation Index (SSCI)	Government & Law	AXU98					2022-12-18	WOS:A1985AXU9800107
