PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	HOLLEB, DB				HOLLEB, DB			METROPOLIS, ITS PEOPLE, POLITICS, AND ECONOMIC LIFE - BOLLENS,JC AND SCHMANDT,HJ	JOURNAL OF POLITICAL ECONOMY			English	Book Review																		BOLLENS JC, 1965, METROPOLIS ITS PEOPL	1	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 SOUTH WOODLAWN AVE, CHICAGO, IL 60637-1603	0022-3808			J POLIT ECON	J. Polit. Econ.		1966	74	3					298	298		10.1086/259165	http://dx.doi.org/10.1086/259165			1	Economics	Social Science Citation Index (SSCI)	Business & Economics	ZA512					2022-12-18	WOS:A1966ZA51200015
J	HOLTMANN, AG				HOLTMANN, AG			EDUCATION AND ECONOMIC DEVELOPMENT - ANDERSON,CA AND BOWMAN,MJ	JOURNAL OF POLITICAL ECONOMY			English	Book Review									WAYNE STATE UNIV,DETROIT,MI	Wayne State University								ANDERSON CA, 1965, EDUCATION ECONOMIC D	1	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 SOUTH WOODLAWN AVE, CHICAGO, IL 60637-1603	0022-3808			J POLIT ECON	J. Polit. Econ.		1966	74	3					300	301		10.1086/259168	http://dx.doi.org/10.1086/259168			2	Economics	Social Science Citation Index (SSCI)	Business & Economics	ZA512					2022-12-18	WOS:A1966ZA51200018
J	HORWICH, G				HORWICH, G			LIQUIDITY TRAP IN 30S - COMMENT	JOURNAL OF POLITICAL ECONOMY			English	Note									PURDUE UNIV,LAFAYETTE,IN	Purdue University System; Purdue University								BRUNNER K, 1965, J POLIT ECON, V73, P197, DOI 10.1086/259010; FRIEDMAN M, 1963, MONETARY HISTORY US; HORWICH G, 1957, J FINANC, V12, P238, DOI 10.2307/2976722; HORWICH G, 1963, BANKING MONETARY STU; KAREKEN J, 1963, STABILIZATION POLICI	5	0	0	0	2	UNIV CHICAGO PRESS	CHICAGO	5720 SOUTH WOODLAWN AVE, CHICAGO, IL 60637-1603	0022-3808			J POLIT ECON	J. Polit. Econ.		1966	74	3					286	290		10.1086/259158	http://dx.doi.org/10.1086/259158			5	Economics	Social Science Citation Index (SSCI)	Business & Economics	ZA512					2022-12-18	WOS:A1966ZA51200008
J	HULTGREN, T				HULTGREN, T			PRICING AND EMPLOYMENT IN TRADE CYCLE - NEILD,RR	JOURNAL OF POLITICAL ECONOMY			English	Book Review									UNIV WISCONSIN,MILWAUKEE,WI	University of Wisconsin System; University of Wisconsin Milwaukee								NEILD RR, 1964, PRICING EMPLOYMENT T	1	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 SOUTH WOODLAWN AVE, CHICAGO, IL 60637-1603	0022-3808			J POLIT ECON	J. Polit. Econ.		1966	74	2					213	213		10.1086/259144	http://dx.doi.org/10.1086/259144			1	Economics	Social Science Citation Index (SSCI)	Business & Economics	ZA511					2022-12-18	WOS:A1966ZA51100015
J	JOHNSON, HG				JOHNSON, HG			ECONOMIC AID AND INTERNATIONAL COST SHARING - PINCUS,J	JOURNAL OF POLITICAL ECONOMY			English	Book Review									UNIV CHICAGO,CHICAGO,IL	University of Chicago								PINCUS J, 1965, ECONOMIC AID INT COS	1	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 SOUTH WOODLAWN AVE, CHICAGO, IL 60637-1603	0022-3808			J POLIT ECON	J. Polit. Econ.		1966	74	1					94	95		10.1086/259123	http://dx.doi.org/10.1086/259123			2	Economics	Social Science Citation Index (SSCI)	Business & Economics	ZA510					2022-12-18	WOS:A1966ZA51000018
J	KAFKA, A				KAFKA, A			INDUSTRIALIZATION AND ECONOMIC DEVELOPMENT IN BRAZIL - BAER,W	JOURNAL OF POLITICAL ECONOMY			English	Book Review									UNIV VIRGINIA,CHARLOTTESVILLE,VA	University of Virginia								BAER W, 1965, INDUSTRIALIZATION EC	1	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 SOUTH WOODLAWN AVE, CHICAGO, IL 60637-1603	0022-3808			J POLIT ECON	J. Polit. Econ.		1966	74	4					415	416		10.1086/259192	http://dx.doi.org/10.1086/259192			2	Economics	Social Science Citation Index (SSCI)	Business & Economics	ZA513					2022-12-18	WOS:A1966ZA51300015
J	KARCZ, JF				KARCZ, JF			POLITICS OF SOCIALIST AGRICULTURE IN POLAND, 1945-1960 - KORBONSKI,A	JOURNAL OF POLITICAL ECONOMY			English	Book Review									UNIV CALIF SANTA BARBARA,SANTA BARBARA,CA	University of California System; University of California Santa Barbara								KORBONSKI A, 1965, POLITICS SOCIALIST A	1	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 SOUTH WOODLAWN AVE, CHICAGO, IL 60637-1603	0022-3808			J POLIT ECON	J. Polit. Econ.		1966	74	1					96	97		10.1086/259125	http://dx.doi.org/10.1086/259125			2	Economics	Social Science Citation Index (SSCI)	Business & Economics	ZA510					2022-12-18	WOS:A1966ZA51000020
J	KENEN, PB				KENEN, PB			MONETARY REFORM FOR WORLD ECONOMY - ROOSA,RV	JOURNAL OF POLITICAL ECONOMY			English	Book Review									COLUMBIA UNIV,NEW YORK,NY	Columbia University								ROOSA RV, 1965, MONETARY REFORM WORL	1	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 SOUTH WOODLAWN AVE, CHICAGO, IL 60637-1603	0022-3808			J POLIT ECON	J. Polit. Econ.		1966	74	1					92	94		10.1086/259122	http://dx.doi.org/10.1086/259122			3	Economics	Social Science Citation Index (SSCI)	Business & Economics	ZA510					2022-12-18	WOS:A1966ZA51000017
J	LAVE, LB				LAVE, LB			TRANSPORTATION ECONOMICS - SPECIAL CONFERENCE 17 - NATIONAL-BUREAU-ECONOMIC-RESEARCH	JOURNAL OF POLITICAL ECONOMY			English	Book Review									CARNEGIE INST TECHNOL,PITTSBURGH,PA									*NAT BUR EC RES, 1965, TRANSP EC SPEC C 17	1	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 SOUTH WOODLAWN AVE, CHICAGO, IL 60637-1603	0022-3808			J POLIT ECON	J. Polit. Econ.		1966	74	4					408	409		10.1086/259186	http://dx.doi.org/10.1086/259186			2	Economics	Social Science Citation Index (SSCI)	Business & Economics	ZA513					2022-12-18	WOS:A1966ZA51300009
J	LUCAS, RE				LUCAS, RE			MAXIMA AND MINIMA - THEORY AND ECONOMIC APPLICATIONS - FRISCH,R AND NATLAF,A	JOURNAL OF POLITICAL ECONOMY			English	Book Review									CARNEGIE INST TECHNOL,PITTSBURGH,PA									Frisch R., 1966, MAXIMA MINIMA THEORY	1	0	0	0	4	UNIV CHICAGO PRESS	CHICAGO	5720 SOUTH WOODLAWN AVE, CHICAGO, IL 60637-1603	0022-3808			J POLIT ECON	J. Polit. Econ.		1966	74	5					532	533		10.1086/259211	http://dx.doi.org/10.1086/259211			2	Economics	Social Science Citation Index (SSCI)	Business & Economics	ZA514					2022-12-18	WOS:A1966ZA51400014
