PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	JONES, HR; JOHNSON, M				JONES, HR; JOHNSON, M			LPC AS A MODIFIER OF LEADER-FOLLOWER RELATIONSHIPS	ACADEMY OF MANAGEMENT JOURNAL			English	Article									AMER TEL & TELEGRAPH CO,NEW YORK,NY 10007									BALES RF, 1953, WORKING PAPERS THEOR; BIERI J, 1961, FUNCTIONS VARIED EXP; BURKE W, 1964, J PERSONALITY, V33; BURNS T, 1954, HUMAN RELATIONS, V7; COATES CH, 1957, AM SOCIOLOGICAL REVI, V22; DAY RC, 1964, AM J SOCIOLOGY, V69; Fiedler F. E., 1967, THEORY LEADERSHIP EF; GIBB CA, 1969, HDB SOCIAL PSYCHOLOG, V4; GRAHAM WK, 1968, PERSONNEL PSYCHOLOGY, V21; HAYTHORN W, 1956, J ABNORMAL SOCIAL PS, V53; HILL W, 1969, ACADEMY MANAGEMENT P, V29; HOFFMAN LR, 1961, J ABNORMAL SOCIAL PS, V62; LIKERT R, 1967, HUMAN ORGANIZATION; LIPPITT R, 1968, GROUP DYNAMICS; MITCHELL TR, 1970, J PERSONALITY SOCIAL, V16; MITCHELL TR, 1970, ACADEMY MANAGEMENT J, V13; SAMPLE JA, 1965, J PERSONALITY SOCIAL, V1; Smith Patricia, MEASUREMENT SATISFAC; TANNENBAUM R, 1958, HARVARD BUSINESS REV, V36; VROOM VH, 1960, PERSONNEL PSYCHOLOGY, V13	20	1	1	0	1	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1972	15	2					185	196		10.2307/254910	http://dx.doi.org/10.2307/254910			12	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	M9582					2022-12-18	WOS:A1972M958200006
J	MINER, JB				MINER, JB			SUCCESS IN MANAGEMENT CONSULTING AND CONCEPT OF ELITENESS MOTIVATION - REPLY	ACADEMY OF MANAGEMENT JOURNAL			English	Note									UNIV MARYLAND,COLLEGE PK,MD 20742	University System of Maryland; University of Maryland College Park									0	1	1	0	2	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1972	15	1					127	128		10.2307/254807	http://dx.doi.org/10.2307/254807			2	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	M1159					2022-12-18	WOS:A1972M115900010
J	PETERSON, RB				PETERSON, RB			CROSS-CULTURAL PERSPECTIVE OF SUPERVISORY VALUES - REPLY	ACADEMY OF MANAGEMENT JOURNAL			English	Note									UNIV WASHINGTON,SEATTLE,WA 98105	University of Washington; University of Washington Seattle									0	1	1	0	1	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1972	15	3					369	370		10.2307/254862	http://dx.doi.org/10.2307/254862			2	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	N8182					2022-12-18	WOS:A1972N818200010
J	PRICE, K				PRICE, K			CHARACTERISTICS OF CORPORATE EXECUTIVES - RESEARCH NOTE	ACADEMY OF MANAGEMENT JOURNAL			English	Note									SAN DIEGO STATE COLL,SAN DIEGO,CA 92115	California State University System; San Diego State University								ALDERSON W, 1965, PATENTS PROGRESS; DIXON W, 1967, BD BIOMEDICAL COMPUT; MANFIELD E, 1966, ECONOMETRIC STUDIES; MUELLER D, 1966, J INDUSTRIAL ECONOMI, V15; TYBOUT RA, 1965, ECONOMICS RESEARCH D; 1967, DUNS REFERENCE BOOK	6	1	1	0	1	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1972	15	3					378	381		10.2307/254865	http://dx.doi.org/10.2307/254865			4	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	N8182					2022-12-18	WOS:A1972N818200013
J	REIMNITZ, CA				REIMNITZ, CA			TESTING A PLANNING AND CONTROL MODEL IN NONPROFIT ORGANIZATIONS	ACADEMY OF MANAGEMENT JOURNAL			English	Article									UNIV NEBRASKA,LINCOLN,NB 68508	University of Nebraska System; University of Nebraska Lincoln								ALDERSON W, 1959, ACADEMY MANAGEMENT J, V2; KAST FE, 1970, SYSTEMS APPROACH; MILLER WB, 1963, COMPARATIVE STUDIES	3	1	1	0	3	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1972	15	1					77	87		10.2307/254802	http://dx.doi.org/10.2307/254802			11	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	M1159		Green Submitted			2022-12-18	WOS:A1972M115900005
J	TANNENBAUM, A				TANNENBAUM, A			CONTROL IN ORGANIZATIONS	ACADEMY OF MANAGEMENT JOURNAL			English	Note									UNIV CALIF, BERKELEY, CA 94720 USA	University of California System; University of California Berkeley								TANNENBAUM AA, 1968, CONTROL ORGANIZATION	1	1	1	0	2	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020 USA	0001-4273	1948-0989		ACAD MANAGE J	Acad. Manage. J.		1972	15	4					543	544		10.2307/255148	http://dx.doi.org/10.2307/255148			2	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	O8407					2022-12-18	WOS:A1972O840700011
J	CHAISON, GN				CHAISON, GN			NEED FOR A MORE INTENSIVE ANALYSIS OF UNION ORGANIZING CAMPAIGNS	ACADEMY OF MANAGEMENT JOURNAL			English	Note									SUNY Buffalo, BUFFALO, NY 14214 USA	State University of New York (SUNY) System; State University of New York (SUNY) Buffalo								BOK DC, 1964, HARVARD LAW REV, V78; BROTSLAW I, 1967, LABOR LAW J, V18; MAGAN TO, 1970, INDIANA LAW REV, V45; MCKERSIE RB, 1963, QUART J ECONOMICS, V67; SAMOFF B, 1968, U PENNSYLVANIA LAW R, V117; 1967, NEW YORK TIMES  0128	6	1	1	0	1	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020 USA	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1971	14	4					518	520		10.2307/255065	http://dx.doi.org/10.2307/255065			3	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	L3226					2022-12-18	WOS:A1971L322600009
J	COLLONS, RD				COLLONS, RD			FACTORY PRODUCTION - 1 AD	ACADEMY OF MANAGEMENT JOURNAL			English	Note									W VIRGINIA UNIV,MORGANTOWN,WV 26506	West Virginia University									0	1	1	0	1	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1971	14	2					270	273		10.2307/255315	http://dx.doi.org/10.2307/255315			4	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	J7336					2022-12-18	WOS:A1971J733600011
J	DUTTON, RE				DUTTON, RE			CAREY,A RADICAL CRITICISM OF HAWTHORNE STUDIES - COMMENT	ACADEMY OF MANAGEMENT JOURNAL			English	Note									UNIV S FLORIDA,COLL BUSINESS ADM,TAMPA,FL 33620	State University System of Florida; University of South Florida								BASSETT GA, 1967, PERSONNEL        MAR; DUTTON RE, 1968, AMS PROFESSIONAL MAN, V8; ENGLAND GW, 1967, ACADEMY MANAGEME MAR; OPSAHL RL, 1966, PSYCHOLOGICAL B, V66; SHEPARD JM, 1971, ACADEMY MANAGEME MAR; WEICK KE, 1966, ADMINISTRATIVE S DEC	6	1	1	0	1	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1971	14	3					394	396		10.2307/255083	http://dx.doi.org/10.2307/255083			3	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	K4272					2022-12-18	WOS:A1971K427200010
J	FORSGREN, R				FORSGREN, R			ANALYSIS OF CONTROL, BASES OF CONTROL, AND SATISFACTION IN AN ORGANIZATIONAL SETTING - COMMENT	ACADEMY OF MANAGEMENT JOURNAL			English	Note									UNIV MAINE,ORONO,ME 04473	University of Maine System; University of Maine Orono								MCCLELLAND DC, 1965, AM PSYCHOL, V20, P321, DOI 10.1037/h0022225; ROTTER JB, 1966, PSYCHOLOGICAL MONOGR, V80	2	1	1	0	1	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1971	14	2					268	269		10.2307/255314	http://dx.doi.org/10.2307/255314			2	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	J7336					2022-12-18	WOS:A1971J733600010
