PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Flintoft, L				Flintoft, Louisa			Spotting variation from expression profiles	NATURE REVIEWS GENETICS			English	Editorial Material																		GREENHALL JA, 2007, GENOME RES      0703; Hoheisel JD, 2006, NAT REV GENET, V7, P200, DOI 10.1038/nrg1809	2	0	0	0	0	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	1471-0056			NAT REV GENET	Nat. Rev. Genet.	AUG	2007	8	8								10.1038/nrg2173	http://dx.doi.org/10.1038/nrg2173			1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	191ZO					2022-12-17	WOS:000248170700009
J	Skipper, M				Skipper, Magdalena			PGCs' epigenetic travelogue	NATURE REVIEWS GENETICS			English	Editorial Material																		Seki Y, 2007, DEVELOPMENT, V134, P2627, DOI 10.1242/dev.005611	1	0	0	1	3	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	1471-0056			NAT REV GENET	Nat. Rev. Genet.	AUG	2007	8	8					568	569		10.1038/nrg2169	http://dx.doi.org/10.1038/nrg2169			3	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	191ZO					2022-12-17	WOS:000248170700005
J	[Anonymous]				[Anonymous]			Genetics	NATURE REVIEWS GENETICS			English	Editorial Material																			0	0	0	0	0	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	1471-0056	1471-0064		NAT REV GENET	Nat. Rev. Genet.	AUG	2007	8	8					565	566						2	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	191ZO					2022-12-17	WOS:000248170700001
J	[Anonymous]				[Anonymous]			Introducing the mirtron	NATURE REVIEWS GENETICS			English	Editorial Material														Goymer, Patrick/0000-0002-2789-9373				Chen K, 2007, NAT REV GENET, V8, P93, DOI 10.1038/nrg1990; OKAMURA K, 2007, CELL            0628, DOI DOI 10.1016/J.CELL.2007.06.028; RUBY JG, 2007, NATURE          0624, DOI DOI 10.1038/NATURE05983	3	0	0	0	0	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	1471-0056	1471-0064		NAT REV GENET	Nat. Rev. Genet.	AUG	2007	8	8					568	569						3	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	191ZO					2022-12-17	WOS:000248170700004
J	Flintoft, L				Flintoft, Louisa			X inactivation - A time and a place to stay silent	NATURE REVIEWS GENETICS			English	Editorial Material																		Lanctot C, 2007, NAT REV GENET, V8, P104, DOI 10.1038/nrg2041; Zhang LF, 2007, CELL, V129, P693, DOI 10.1016/j.cell.2007.03.036	2	0	0	0	1	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	1471-0056			NAT REV GENET	Nat. Rev. Genet.	JUL	2007	8	7					495	495		10.1038/nrg2140	http://dx.doi.org/10.1038/nrg2140			1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	180EJ		Bronze			2022-12-17	WOS:000247344800010
J	Flintoft, L				Flintoft, Louisa			Disease genetics - Onwards and upwards for genome-wide association studies	NATURE REVIEWS GENETICS			English	Editorial Material																		Hirschhorn JN, 2005, NAT REV GENET, V6, P95, DOI 10.1038/nrg1521; Wang WYS, 2005, NAT REV GENET, V6, P109, DOI 10.1038/nrg1522; 2007, NATURE	3	0	0	0	1	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	1471-0056			NAT REV GENET	Nat. Rev. Genet.	JUL	2007	8	7								10.1038/nrg2152	http://dx.doi.org/10.1038/nrg2152			1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	180EJ		Bronze			2022-12-17	WOS:000247344800009
J	Goymer, P				Goymer, Patrick			Epigenetics - Mapping the methylome without chips	NATURE REVIEWS GENETICS			English	Editorial Material														Goymer, Patrick/0000-0002-2789-9373				Barski A, 2007, CELL, V129, P823, DOI 10.1016/j.cell.2007.05.009; Esteller M, 2007, NAT REV GENET, V8, P286, DOI 10.1038/nrg2005; GARCIA BA, 2007, NATURE METHODS	3	0	0	0	1	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	1471-0056			NAT REV GENET	Nat. Rev. Genet.	JUL	2007	8	7					489	489		10.1038/nrg2147	http://dx.doi.org/10.1038/nrg2147			1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	180EJ		Bronze			2022-12-17	WOS:000247344800002
J	Goymer, P				Goymer, Patrick			Sociogenetics - Cheating gets you nowhere	NATURE REVIEWS GENETICS			English	Editorial Material														Goymer, Patrick/0000-0002-2789-9373				Gilbert OM, 2007, P NATL ACAD SCI USA, V104, P8913, DOI 10.1073/pnas.0702723104; Robinson GE, 2005, NAT REV GENET, V6, P257, DOI 10.1038/nrg1575	2	0	0	0	1	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	1471-0056			NAT REV GENET	Nat. Rev. Genet.	JUL	2007	8	7					492	492		10.1038/nrg2138	http://dx.doi.org/10.1038/nrg2138			1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	180EJ		Bronze			2022-12-17	WOS:000247344800005
J	Goymer, P				Goymer, Patrick			Evolution - Interacting genes are more evolvable	NATURE REVIEWS GENETICS			English	Editorial Material														Goymer, Patrick/0000-0002-2789-9373				Boone C, 2007, NAT REV GENET, V8, P437, DOI 10.1038/nrg2085; LANDRY CR, 2007, SCIENCE	2	0	0	0	0	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	1471-0056			NAT REV GENET	Nat. Rev. Genet.	JUL	2007	8	7					493	493		10.1038/nrg2153	http://dx.doi.org/10.1038/nrg2153			1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	180EJ		Bronze			2022-12-17	WOS:000247344800006
J	Pentimalli, F				Pentimalli, Francesca			Chromosome biology - Helping homologues to find their partners	NATURE REVIEWS GENETICS			English	Editorial Material							NUCLEAR-ENVELOPE; MEIOSIS						Pentimalli, Francesca/K-4936-2014	Pentimalli, Francesca/0000-0003-4740-6801				Ding X, 2007, DEV CELL, V12, P863, DOI 10.1016/j.devcel.2007.03.018; Gerton JL, 2005, NAT REV GENET, V6, P477, DOI 10.1038/nrg1614; Penkner A, 2007, DEV CELL, V12, P873, DOI 10.1016/j.devcel.2007.05.004	3	0	0	0	0	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	1471-0056			NAT REV GENET	Nat. Rev. Genet.	JUL	2007	8	7								10.1038/nrg2154	http://dx.doi.org/10.1038/nrg2154			1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	180EJ		Bronze			2022-12-17	WOS:000247344800007
