PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Courant, R; Friedrichs, K; Lewy, H				Courant, R; Friedrichs, K; Lewy, H			Partial differential equations of mathematical physics	MATHEMATISCHE ANNALEN			German	Article																		BOULIGAND G, 1926, ANN SOC POLON MATH, V4; COURANT R, 1925, Z ANGEW MATH MECH, V6, P322; COURANT R, MATH ANN, V97, P711; COURANTHILBERT, METHODEN MATH PHYS, V1; Friedrichs K, 1928, MATH ANN, V98, P192, DOI 10.1007/BF01451589; FRIEDRICHS K, MATH ANN, V98, P222; HENKY H, 1922, Z ANGEW MATH MECH, V2, P58; LEROUX J, 1914, J MATH, V10, P189; LUSTERNIK L, 1926, RECUEIL SOC MATH MOS; PHILIPS HB, 1925, PUBL MIT; Richardson RGD, 1917, T AM MATH SOC, V18, P489; 1925, GOTT NACHR, V23, pR10	12	2208	2227	5	46	SPRINGER	NEW YORK	233 SPRING STREET, NEW YORK, NY 10013 USA	0025-5831			MATH ANN	Math. Ann.		1928	100						32	74		10.1007/BF01448839	http://dx.doi.org/10.1007/BF01448839			43	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	V16BF					2022-12-19	WOS:000201084700002
J	LENSTRA, AK; LENSTRA, HW; LOVASZ, L				LENSTRA, AK; LENSTRA, HW; LOVASZ, L			FACTORING POLYNOMIALS WITH RATIONAL COEFFICIENTS	MATHEMATISCHE ANNALEN			English	Article									UNIV AMSTERDAM,INST MATH,1018 WB AMSTERDAM,NETHERLANDS; A JOZSEF UNIV,BOLYAI INST,H-6720 SZEGED,HUNGARY	University of Amsterdam; Szeged University	LENSTRA, AK (corresponding author), MATH CENTRUM,KRUISLAAN 413,1098 SJ AMSTERDAM,NETHERLANDS.							Adleman L. M., 1981, 22nd Annual Symposium on Foundations of Computer Science, P409, DOI 10.1109/SFCS.1981.20; BRENTJES A. J., 1981, MATH CTR TRACTS, V145; CANTOR DG, 1981, J ALGORITHM, V2, P385, DOI 10.1016/0196-6774(81)90036-5; Cassels J.W.S., 1997, INTRO GEOMETRY NUMBE; FERGUSON HRP, 1979, B AM MATH SOC, V1, P912, DOI 10.1090/S0273-0979-1979-14691-3; Knuth D. E., 1981, ART COMPUTER PROGRAM, V2; LENSTRA AK, 1981, IW19081 MATH CENTR R; LENSTRA HW, UNPUB MATH OPER RES; MIGNOTTE M, 1974, MATH COMPUT, V28, P1153, DOI 10.1090/S0025-5718-1974-0354624-3; PRITCHARD P, 1981, COMMUN ACM, V24, P18, DOI 10.1145/358527.358540; Rosser J.B., 1962, ILLINOIS J MATH, V6, P64; Wright E., 1979, INTRO THEORY NUMBERS; Yun D.Y.Y., 1974, HENSEL LEMMA ALGEBRA; ZASSENHAUS H, 1978, MATH COMPUT, V32, P287, DOI 10.1090/S0025-5718-1978-0476692-4; ZASSENHAUS H, 1981, UNPUB NEW POLYNOMIAL; Zassenhaus Hans, 1969, J NUMBER THEORY ELSE, V1, P291	16	2197	2310	4	46	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0025-5831			MATH ANN	Math. Ann.		1982	261	4					515	534		10.1007/BF01457454	http://dx.doi.org/10.1007/BF01457454			20	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	PV741		Green Submitted			2022-12-19	WOS:A1982PV74100011
J	Haar, A				Haar, A			On the theory of orthogonal function systems (First announcement)	MATHEMATISCHE ANNALEN			German	Article																		CHRISTOFFEL, J MATH, V55, P73; HOBSON, 1908, P LOND MAT SOC, V6, P349; KNESER, MATH ANN, V60, P402; MATH ANN, V67, P76; 1908, RENDICONTI CIRCOLO M, V26, P325	5	1124	1199	1	9	SPRINGER	NEW YORK	233 SPRING STREET, NEW YORK, NY 10013 USA	0025-5831			MATH ANN	Math. Ann.		1910	69						331	371		10.1007/BF01456326	http://dx.doi.org/10.1007/BF01456326			41	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	V29KP		Green Submitted			2022-12-19	WOS:000201987900014
J	von Neumann, J				von Neumann, J			The theory of parlour games	MATHEMATISCHE ANNALEN			German	Article																			0	968	968	2	27	SPRINGER	NEW YORK	233 SPRING STREET, NEW YORK, NY 10013 USA	0025-5831			MATH ANN	Math. Ann.		1928	100						295	320						26	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	V16BF					2022-12-19	WOS:000201084700010
J	DELBAEN, F; SCHACHERMAYER, W				DELBAEN, F; SCHACHERMAYER, W			A GENERAL VERSION OF THE FUNDAMENTAL THEOREM OF ASSET PRICING	MATHEMATISCHE ANNALEN			English	Article							MARTINGALES; ARBITRAGE; MARKETS		UNIV WIEN,INST STAT,A-1210 VIENNA,AUSTRIA	University of Vienna	DELBAEN, F (corresponding author), VRIJE UNIV BRUSSELS,INST ACTUARIAL STUDIES,DEPT MATH,PLEINLAAN 2,B-1050 BRUSSELS,BELGIUM.							ANSEL JP, 1992, COUVERTURE ACTIFS CO; ANSEL JP, 1993, ANN I H POINCARE, V28, P375; ARTZNER P, 1990, COMPLETENESS NONUNIQ; BACK K, 1991, J MATH ECON, V20, P1, DOI 10.1016/0304-4068(91)90014-K; BANACH S, 1963, MONOGR MAT, V1; BLACK F, 1973, J POLIT ECON, V81, P637, DOI 10.1086/260062; DALANG RC, 1989, STOCHASTICS STOCHAST, V29, P185; DELBAEN F, 1993, IN PRESS BES3 PROCES; DELBAEN F, 1994, UNPUB INEQUALITY PRE; DELBAEN F, 1993, IN PRESS ARBITRAGE F; DELLACHERIE C, 1980, PROBABILITIES POTENT, P275; Diestel J., 1975, LECT NOTES MATH, V485; DOTHAN M, 1990, PRICES FINANCIAL MAR; DUFFIE D, 1986, J MATH ECON, V15, P283, DOI 10.1016/0304-4068(86)90017-0; DUFFIE D, 1992, DYNAMIC ASSET PRICIN; Dybvig P.H., 1987, NEW PALGRAVE DICT EC, P100; Follmer H., 1991, STOCHASTIC MONOGRAPH, V5, P389; GROTHENDIECK A, 1954, ESPACES VECTORIELS T; Harrison J. M., 1981, Stochastic Processes & their Applications, V11, P215, DOI 10.1016/0304-4149(81)90026-0; HARRISON JM, 1979, J ECON THEORY, V20, P381, DOI 10.1016/0022-0531(79)90043-7; HUANG C, 1988, F FINANCIAL EC; JACKA SD, 1992, MATH FINANC, V2, P239; KABANOV YM, 1993, NO ARBITRAGE EQUIVAL; KARATZAS I, 1991, SIAM J CONTROL OPTIM, V29, P702, DOI 10.1137/0329039; Karatzas I., 1988, BROWNIAN MOTION STOC, DOI 10.1007/978-1-4684-0302-2; KREPS DM, 1981, J MATH ECON, V8, P15, DOI 10.1016/0304-4068(81)90010-0; KUSUOKA S, 1993, IN PRESS PUBL RES I; LAKNER P, 1992, MARTINGALE MEASURES; Lepingle D, 1978, LECT NOTES MATH, V649, P134; Loeve M., 1978, PROBABILITY THEORY; MCBETH DV, 1991, THESIS CORNELL U; MEMIN J, 1980, Z WAHRSCHEINLICHKEIT, V52, P9, DOI 10.1007/BF00534184; MERTON RC, 1973, BELL J ECON, V4, P141, DOI 10.2307/3003143; MEYER PA, 1976, LECT NOTES MATH, V511, P245, DOI [10.1007/978-3-540-45530-1_11, DOI 10.1007/978-3-540-45530-1_11]; Protter P., 2004, STOCHASTIC INTEGRATI; Revuz D., 1991, CONTINUOUS MARTINGAL; ROGERS C, 1993, EQUIVALENT MARTINGAL; SCHACHERMAYER W, 1992, INSUR MATH ECON, V11, P1; SCHACHERMAYER W, 1993, MATH FINANC, V3, P217; SCHACHERMAYER W, 1993, MATH FINANC, V4, P25; STEIN EM, 1970, ANN MATH STUD, V63; STRICKER C, 1990, ANN I H POINCARE-PR, V26, P451; Yan J. A., 1980, SEMINAIRE PROBABILIT, V784, P220, DOI [10.1007/BFb0089488, DOI 10.1007/BFB0089488]; YOR M, 1978, CR ACAD SCI A MATH, V286, P799; [No title captured]; [No title captured]; [No title captured]; [No title captured]; [No title captured]	49	863	884	0	13	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0025-5831			MATH ANN	Math. Ann.	NOV	1994	300	3					463	520		10.1007/BF01450498	http://dx.doi.org/10.1007/BF01450498			58	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	PU897					2022-12-19	WOS:A1994PU89700007
J	FAN, K				FAN, K			A GENERALIZATION OF TYCHONOFF FIXED POINT THEOREM	MATHEMATISCHE ANNALEN			English	Article																		BEGLE EG, 1950, ANN MATH, V51, P544, DOI 10.2307/1969367; BOURBAKI N, 1953, ACTUAL SCI INDUSTR, V1189, pCH1; EILENBERG S, 1946, AM J MATH, V68, P214, DOI 10.2307/2371832; FAN K, 1952, P NATL ACAD SCI USA, V38, P121, DOI 10.1073/pnas.38.2.121; GLICKSBERG IL, 1952, P AM MATH SOC, V3, P170, DOI 10.2307/2032478; Kakutani S., 1941, DUKE MATH J, V8, P457, DOI [10.1215/s0012-7094-41-00838-4, DOI 10.1215/S0012-7094-41-00838-4]; Knaster B., 1929, FUND MATH, V14, P132; Tychonoff A, 1935, MATH ANN, V111, P767, DOI 10.1007/BF01472256	8	815	887	0	4	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0025-5831			MATH ANN	Math. Ann.		1961	142	3					305	310		10.1007/BF01353421	http://dx.doi.org/10.1007/BF01353421			6	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	WX287					2022-12-19	WOS:A1961WX28700007
J	Weyl, H				Weyl, H			The asymptotic dispersal law of eigen values of linear partial differential equations (with an application for the theory of cavity radiation)	MATHEMATISCHE ANNALEN			German	Article																		HILBERT, 1910, GOTT NACHR MP, P362; JEANS, 1905, PHILOS MAG, V10, P91; JORDAN C, 1893, COURS ANAL, V1, P107; JORDAN C, 1893, COURS ANAL, V1, P455; KONIG R, 1911, MATH ANN, V71, P184; LEVI EE, 1908, GOTT NACHR      0516; LORENTZ, VIERTEN SEINER GOTTI; LORENTZ HA, 1908, INT MATH K ROM; MINKOWSKI, GESAMMELTE ABHANDLUN, V2, P122; MINKOWSKI, JAHRESBER D MATH VER, V9, P115; SOMMERFELD A, 1910, NATURFORSCHER VERSAM; 1907, MATH ANN, V63, P467; 1910, PHYS Z, V11, P1061; 1911, GOTTINGER NACHRIC MP	14	776	783	1	10	SPRINGER	NEW YORK	233 SPRING STREET, NEW YORK, NY 10013 USA	0025-5831			MATH ANN	Math. Ann.		1912	71						441	479		10.1007/BF01456804	http://dx.doi.org/10.1007/BF01456804			39	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	V16BM		Green Submitted			2022-12-19	WOS:000201085400026
J	Hausdorff, F				Hausdorff, Felix			Dimension and outer dimension.	MATHEMATISCHE ANNALEN			German	Article																		BLASCHKE W, 1917, LEIPZ BERICHTE, V69, P12; Frechet M, 1910, MATH ANN, V68, P145, DOI 10.1007/BF01474158; Jung H, 1901, J REINE ANGEW MATH, V123, P241; RADOU J, 1918, WIENER AKAD BER, V122, P1295; 1914, MEINE GRUNDZUGE MENG, P374	5	680	686	0	13	SPRINGER	NEW YORK	233 SPRING STREET, NEW YORK, NY 10013 USA	0025-5831			MATH ANN	Math. Ann.		1919	79						157	179						23	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	V42FO					2022-12-19	WOS:000202853600007
J	Kolmogoroff, A				Kolmogoroff, A			On the analytical methods in probability calculations	MATHEMATISCHE ANNALEN			German	Article																		FIECHET BM, 1915, B SOC MATH FRANCE, V43, P248; LEVY P, CALCUL PROBABILITES, P187; Lindeberg JW, 1922, MATH Z, V15, P211, DOI 10.1007/BF01494395; 1910, ANN ECOLE NORM, V27, P339; 1928, COMPTES RENDUS, V186, P189; 1928, COMPTES RENDUS, V186, P275; 1912, CALCUL PROBABILITES; LECONS INTEGRATION, P261; 1928, COMPTES RENDUS, V186, P59; 1900, ANN ECOLE NORM, V17, P21	10	597	605	0	4	SPRINGER	NEW YORK	233 SPRING STREET, NEW YORK, NY 10013 USA	0025-5831			MATH ANN	Math. Ann.		1931	104						415	458		10.1007/BF01457949	http://dx.doi.org/10.1007/BF01457949			44	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	V16BJ					2022-12-19	WOS:000201085100027
J	Weyl, H				Weyl, H			Ordinary differential equations with singularities and the associated developments in arbitrary functions	MATHEMATISCHE ANNALEN			German	Article																		BOCHER, ENCYKLOPADIE; BOCHER, 1900, T AM MATH SOC    JAN, P40; BOCHER, 1898, B AM MATH SOC    OKT, P22; HELLINGER, CRELLES J, V136; HELLINGER, CRELLES J, V136, P237; HELLINGER, 1907, THESIS GOTTINGEN; HELLINGER, THESIS, P26; HILBERT, 1906, GOTT NACHR, P157; HILBERT, 1906, GOTT NACHR, P200; HILBERT, 1906, GOTT NACHR, P473; HILBERT, 1904, GOTT NACHR, P213; HILBERT, 1904, GOTT NACHR, P226; HILBERT, 1906, GOTTINGER NACHRICHTE, P460; HILBERT, 1906, GOTT NACHR, P457; KNESER, CRELLES J, V117, P84; KNESER, MATH ANN, V42, P415; KNESER, MATH ANN, V63, P477; KNESER, MATH ANN, V58, P81; PICARD, TRAITE ANAL, V3, P89; PICARD E, TRAITE ANAL, V2, P340; SCHMIDT E, MATH ANN, V63, P453; SCHMIDT E, MATH ANN, V63, P452; MATH ANN, V66, P276; MATH ANN, V66, P1; 1909, GOTTINGER NACHRICHTE, P37; MATH ANN, V66, P286; 1906, GOTT NACHR, P439; 1909, GOTTINGER NACHRICHTE, P44; MATH ANN, V66, P294; MATH ANN, V66, P288; MATH ANN, V48, P387; CRELLES J, V136, P242	32	596	603	0	4	SPRINGER	NEW YORK	233 SPRING STREET, NEW YORK, NY 10013 USA	0025-5831			MATH ANN	Math. Ann.		1910	68						220	269		10.1007/BF01474161	http://dx.doi.org/10.1007/BF01474161			50	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	V29KO					2022-12-19	WOS:000201987800011
