PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Jun, SW				Jun, SW			Teaching ESL composition: Purpose, process, and practice	STUDIES IN SECOND LANGUAGE ACQUISITION			English	Book Review									Michigan State Univ, E Lansing, MI 48824 USA	Michigan State University	Jun, SW (corresponding author), Michigan State Univ, E Lansing, MI 48824 USA.							Ferris DR, 2005, TEACHING ESL COMPOSITION: PURPOSE, PROCESS, AND PRACTICE, 2ND EDITION, P1	1	0	0	0	2	CAMBRIDGE UNIV PRESS	NEW YORK	32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA	0272-2631	1470-1545		STUD SECOND LANG ACQ	Stud. Second Lang. Acquis.	MAR	2006	28	1					146	147						2	Linguistics	Social Science Citation Index (SSCI)	Linguistics	013TR					2022-12-18	WOS:000235433000014
J	Merino, MG				Merino, MG			Second language learning: Applied linguistics to foreign language teaching	STUDIES IN SECOND LANGUAGE ACQUISITION			English	Book Review									Univ Alicante, Alicante, Spain	Universitat d'Alacant	Merino, MG (corresponding author), Univ Alicante, Alicante, Spain.							CESTEROS SP, 2004, 2 LANGUAGE LEARNING	1	0	0	0	2	CAMBRIDGE UNIV PRESS	NEW YORK	32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA	0272-2631			STUD SECOND LANG ACQ	Stud. Second Lang. Acquis.	MAR	2006	28	1					140	141						2	Linguistics	Social Science Citation Index (SSCI)	Linguistics	013TR					2022-12-18	WOS:000235433000010
J	Moore, Z				Moore, Z			Language learning and teacher education: A sociocultural approach.	STUDIES IN SECOND LANGUAGE ACQUISITION			English	Book Review									Univ Texas, Austin, TX 78712 USA	University of Texas System; University of Texas Austin	Moore, Z (corresponding author), Univ Texas, Austin, TX 78712 USA.							HAWKINS MR, LANGUAGE LEARNING TE	1	0	0	0	1	CAMBRIDGE UNIV PRESS	NEW YORK	32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA	0272-2631			STUD SECOND LANG ACQ	Stud. Second Lang. Acquis.	MAR	2006	28	1					153	154						2	Linguistics	Social Science Citation Index (SSCI)	Linguistics	013TR					2022-12-18	WOS:000235433000019
J	Reppen, R				Reppen, R			Corpora and langauge learners.	STUDIES IN SECOND LANGUAGE ACQUISITION			English	Book Review									No Arizona Univ, Flagstaff, AZ 86011 USA	Northern Arizona University	Reppen, R (corresponding author), No Arizona Univ, Flagstaff, AZ 86011 USA.							Aston Guy, 2004, CORPORA LANGUAGE LEA	1	0	0	0	2	CAMBRIDGE UNIV PRESS	NEW YORK	32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA	0272-2631			STUD SECOND LANG ACQ	Stud. Second Lang. Acquis.	MAR	2006	28	1					152	153						2	Linguistics	Social Science Citation Index (SSCI)	Linguistics	013TR					2022-12-18	WOS:000235433000018
J	Sanchez, T				Sanchez, T			A dictionary of sociolinguistics.	STUDIES IN SECOND LANGUAGE ACQUISITION			English	Book Review									Michigan State Univ, E Lansing, MI 48824 USA	Michigan State University	Sanchez, T (corresponding author), Michigan State Univ, E Lansing, MI 48824 USA.							Crystal David, 2002, DICT LINGUISTICS PHO; MESTHRIE R, 2000, CONCISE ENCY SOCIOLI; Swann J., 2004, DICT SOCIOLINGUISTIC	3	0	0	0	1	CAMBRIDGE UNIV PRESS	NEW YORK	32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA	0272-2631			STUD SECOND LANG ACQ	Stud. Second Lang. Acquis.	MAR	2006	28	1					155	156		10.1017/S0272263106360056	http://dx.doi.org/10.1017/S0272263106360056			2	Linguistics	Social Science Citation Index (SSCI)	Linguistics	013TR					2022-12-18	WOS:000235433000020
J	Swales, JM				Swales, JM			How to use Corpora in language teaching.	STUDIES IN SECOND LANGUAGE ACQUISITION			English	Book Review									Univ Michigan, Ann Arbor, MI 48109 USA	University of Michigan System; University of Michigan	Swales, JM (corresponding author), Univ Michigan, Ann Arbor, MI 48109 USA.		Widmann, Johannes/C-4411-2011					Sinclair J., 2004, USE CORPORA LANGUAGE	1	0	0	0	2	CAMBRIDGE UNIV PRESS	NEW YORK	32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA	0272-2631			STUD SECOND LANG ACQ	Stud. Second Lang. Acquis.	MAR	2006	28	1					141	143		10.1017/S0272263106270050	http://dx.doi.org/10.1017/S0272263106270050			3	Linguistics	Social Science Citation Index (SSCI)	Linguistics	013TR					2022-12-18	WOS:000235433000011
J	Bohnacker, U				Bohnacker, U			(In)vulnerable domains in multilingualism.	STUDIES IN SECOND LANGUAGE ACQUISITION			English	Book Review									Lund Univ, S-22100 Lund, Sweden	Lund University	Bohnacker, U (corresponding author), Lund Univ, S-22100 Lund, Sweden.							HULK A, 2000, BILINGUALISM LANGUAG, V0003; MULLER N, 2003, INVULNERABLE DOMAINS; Platzack C, 2001, BRAIN LANG, V77, P364, DOI 10.1006/brln.2000.2408	3	0	0	0	3	CAMBRIDGE UNIV PRESS	NEW YORK	40 WEST 20TH ST, NEW YORK, NY 10011-4211 USA	0272-2631			STUD SECOND LANG ACQ	Stud. Second Lang. Acquis.	DEC	2005	27	4					633	635		10.1017/S027226310531028X	http://dx.doi.org/10.1017/S027226310531028X			3	Linguistics	Social Science Citation Index (SSCI)	Linguistics	994QA					2022-12-18	WOS:000234045100016
J	Buechel, L				Buechel, L			Teaching and learning a second language.	STUDIES IN SECOND LANGUAGE ACQUISITION			English	Book Review									Univ Appl Sci, Sch Educ, Zurich, Switzerland		Buechel, L (corresponding author), Univ Appl Sci, Sch Educ, Zurich, Switzerland.							MACARO E, 2003, TEACHING LEARNING 2N	1	0	0	0	2	CAMBRIDGE UNIV PRESS	NEW YORK	40 WEST 20TH ST, NEW YORK, NY 10011-4211 USA	0272-2631			STUD SECOND LANG ACQ	Stud. Second Lang. Acquis.	DEC	2005	27	4					620	621		10.1017/S0272263105220284	http://dx.doi.org/10.1017/S0272263105220284			2	Linguistics	Social Science Citation Index (SSCI)	Linguistics	994QA					2022-12-18	WOS:000234045100007
J	Cenoz, J				Cenoz, J			The handbook of bilingualism.	STUDIES IN SECOND LANGUAGE ACQUISITION			English	Book Review									Univ Basque Country, Bilbao, Spain	University of Basque Country	Cenoz, J (corresponding author), Univ Basque Country, Bilbao, Spain.							BHATIA TK, 2004, HANDBOOK BILINGUALIS	1	0	0	0	5	CAMBRIDGE UNIV PRESS	NEW YORK	40 WEST 20TH ST, NEW YORK, NY 10011-4211 USA	0272-2631			STUD SECOND LANG ACQ	Stud. Second Lang. Acquis.	DEC	2005	27	4					638	639		10.1017/S0272263105340289	http://dx.doi.org/10.1017/S0272263105340289			2	Linguistics	Social Science Citation Index (SSCI)	Linguistics	994QA					2022-12-18	WOS:000234045100019
J	Helasvuo, ML				Helasvuo, ML			Discourse and technology: Multimodal discourse analysis.	STUDIES IN SECOND LANGUAGE ACQUISITION			English	Book Review									Univ Turku, SF-20500 Turku, Finland	University of Turku	Helasvuo, ML (corresponding author), Univ Turku, SF-20500 Turku, Finland.							LeVine P, 2004, DISCOURSE TECHNOLOGY; Rampton B., 1999, J LINGUIST ANTHROPOL, V9, P54	2	0	0	3	14	CAMBRIDGE UNIV PRESS	NEW YORK	40 WEST 20TH ST, NEW YORK, NY 10011-4211 USA	0272-2631			STUD SECOND LANG ACQ	Stud. Second Lang. Acquis.	DEC	2005	27	4					646	647		10.1017/S0272263105390280	http://dx.doi.org/10.1017/S0272263105390280			2	Linguistics	Social Science Citation Index (SSCI)	Linguistics	994QA					2022-12-18	WOS:000234045100024
