PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Engel, S				Engel, Salo			Crimes Against International Law	JOURNAL OF POLITICS			English	Book Review																		Keenan Joseph B., 1950, CRIMES INT LAW	1	0	0	0	0	CAMBRIDGE UNIV PRESS	CAMBRIDGE	EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND	0022-3816			J POLIT	J. Polit.	MAY	1952	14	2					336	337		10.2307/2126529	http://dx.doi.org/10.2307/2126529			2	Political Science	Social Science Citation Index (SSCI)	Government & Law	V73BR					2022-12-18	WOS:000204939100013
J	Fleming, DF				Fleming, D. F.			WHAT FOLLOWS THE ARMS RACE?	JOURNAL OF POLITICS			English	Article																		*BROOK I, 1950, CURR DEV US FOR POL, V3, P1; SCHMITT BE, 1930, COMING WAR, V1, P321; SPENDER JA, 1933, 50 YEARS EUROPE STUD, P112; STOKES TL, 1951, NASHVILLE TENNE 1018; VONWEGERER A, 1930, REFUTATION VERSAILLE, P242; 1950, NASHVILLE TENNE 0214; NY TIMES        0930; 1951, NASHVILLE TENNE 0824; 1949, NEW YORK HERALD 1004; 1950, NY TIMES        0319; 1951, NY TIMES        0902; 1951, NY TIMES        0930; 1951, NASHVILLE TENNE 1002; 1951, NASHVILLE TENNE 1031; 1951, NY TIMES        0331; 1949, NEW YORK HERALD 1031; 1951, NATION          1110, P389; NY TIMES        1002; 1951, NY TIMES        0924; 1951, NASHVILLE TENNE 1012; 1951, NY TIMES        0821; 1951, NY TIMES        1004; 1950, NASHVILLE TENNE 0212; 1951, NY TIMES        0725; 1951, NASHVILLE TENNE 1119; 1949, NEW YORK HERALD 1202; 1951, NY TIMES        1014; 1951, NY TIMES        0923; 1951, NASHVILLE TENNE 1112; 1951, NEW YORK HERALD 0919	30	0	0	0	0	CAMBRIDGE UNIV PRESS	CAMBRIDGE	EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND	0022-3816			J POLIT	J. Polit.	MAY	1952	14	2					203	223		10.2307/2126519	http://dx.doi.org/10.2307/2126519			21	Political Science	Social Science Citation Index (SSCI)	Government & Law	V73BR					2022-12-18	WOS:000204939100002
J	Hyneman, CS				Hyneman, Charles S.			Administrative Law	JOURNAL OF POLITICS			English	Book Review																		Davis Kenneth Culp, 1951, ADMIN LAW REV	1	0	0	0	0	CAMBRIDGE UNIV PRESS	CAMBRIDGE	EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND	0022-3816			J POLIT	J. Polit.	MAY	1952	14	2					333	335		10.2307/2126528	http://dx.doi.org/10.2307/2126528			3	Political Science	Social Science Citation Index (SSCI)	Government & Law	V73BR					2022-12-18	WOS:000204939100012
J	Irish, MD				Irish, Marian D.			This Happened in Pasadena	JOURNAL OF POLITICS			English	Book Review																		Hulburd David, 1951, THIS HAPPENED PASADE	1	0	0	0	0	CAMBRIDGE UNIV PRESS	CAMBRIDGE	EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND	0022-3816			J POLIT	J. Polit.	MAY	1952	14	2					326	328						3	Political Science	Social Science Citation Index (SSCI)	Government & Law	V73BR					2022-12-18	WOS:000204939100008
J	Irish, MD				Irish, Marian D.			Character Assassination	JOURNAL OF POLITICS			English	Book Review																		Davis J., 1950, CHARACTER ASSASSINAT	1	0	0	0	0	CAMBRIDGE UNIV PRESS	CAMBRIDGE	EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND	0022-3816			J POLIT	J. Polit.	MAY	1952	14	2					326	328						3	Political Science	Social Science Citation Index (SSCI)	Government & Law	V73BR					2022-12-18	WOS:000204939100009
J	Nigro, FA				Nigro, Felix A.			SENATE CONFIRMATION AND FOREIGN POLICY	JOURNAL OF POLITICS			English	Article																		ADAMS CF, 1856, WORKS J ADAMS, V3, P575; BENTON TH, 1856, 30 YEARS VIEW, V1, P66; BOWERS CG, 1925, JEFFERSON HAMILTON, P248; CRANDALL SB, 1904, TRATIES THEIR MAKING, P63; FORD PL, 1904, WORKS T JEFFERSON, V6, P367; GILLETT FH, 1934, GF HOAR, P123; IRVING W, 1868, LIFE G WASHINGTON, V5, P192; KING CR, 1898, LIFE CORRES R KING, V5, P323; PELLEW G, 1890, J JAY, P297; STORY J, 1891, COMMENTARIES CONSTIT, V2, P357; TANSILL CC, 1940, FOREIGN POLICY TF BA, P270; TAYLOR LG, 1884, LETT TIMES TYLERS, V1, P417; WRIGHT Q, 1922, CONTROL AM FOREIGN R, P249; WRISTON HM, 1929, EXECUTIVE AGENTS AM, P111	14	0	0	0	0	CAMBRIDGE UNIV PRESS	CAMBRIDGE	EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND	0022-3816			J POLIT	J. Polit.	MAY	1952	14	2					281	299		10.2307/2126523	http://dx.doi.org/10.2307/2126523			19	Political Science	Social Science Citation Index (SSCI)	Government & Law	V73BR					2022-12-18	WOS:000204939100006
J	Swisher, CB				Swisher, Carl Brent			Due Process of Law 1932-1949	JOURNAL OF POLITICS			English	Book Review																		Wood Virginia, 1951, DUE PROCESS LAW 1932	1	0	0	0	0	CAMBRIDGE UNIV PRESS	CAMBRIDGE	EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND	0022-3816			J POLIT	J. Polit.	MAY	1952	14	2					332	333		10.2307/2126527	http://dx.doi.org/10.2307/2126527			2	Political Science	Social Science Citation Index (SSCI)	Government & Law	V73BR					2022-12-18	WOS:000204939100011
J	[Anonymous]				[Anonymous]			The Politics of Murder	JOURNAL OF POLITICS			English	Book Review																		Bornstein Joseph, 1950, POLITICS MURDER	1	0	0	0	0	CAMBRIDGE UNIV PRESS	CAMBRIDGE	EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND	0022-3816			J POLIT	J. Polit.	MAY	1952	14	2					338	338						1	Political Science	Social Science Citation Index (SSCI)	Government & Law	V73BR					2022-12-18	WOS:000204939100015
J	[Anonymous]				[Anonymous]			The General Election in Glasgow, February 1950	JOURNAL OF POLITICS			English	Book Review																		CHRIMES SB, 1950, GEN ELECTION GLASGOW	1	0	0	0	0	CAMBRIDGE UNIV PRESS	CAMBRIDGE	EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND	0022-3816			J POLIT	J. Polit.	MAY	1952	14	2					338	338						1	Political Science	Social Science Citation Index (SSCI)	Government & Law	V73BR					2022-12-18	WOS:000204939100016
J	[Anonymous]				[Anonymous]			Barker, Ernest. Essays on Government	JOURNAL OF POLITICS			English	Book Review																		BARKER E, 1951, BARKER ERNEST ESSAYS	1	0	0	0	0	CAMBRIDGE UNIV PRESS	CAMBRIDGE	EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND	0022-3816			J POLIT	J. Polit.	MAY	1952	14	2					338	338						1	Political Science	Social Science Citation Index (SSCI)	Government & Law	V73BR					2022-12-18	WOS:000204939100014
