PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	HIDAY, VA				HIDAY, VA			FUTURE-ISSUES IN HEALTH-CARE - SOCIAL-POLICY AND THE RATIONING OF MEDICAL-SERVICES - MECHANIC,D	SOCIAL FORCES			English	Book Review											HIDAY, VA (corresponding author), N CAROLINA STATE UNIV, RALEIGH, NC 27607 USA.							MECHANIC D, 1979, FUTURE ISSUES HLTH C	1	0	0	0	0	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	0037-7732	1534-7605		SOC FORCES	Soc. Forces		1980	59	1					305	306		10.2307/2577857	http://dx.doi.org/10.2307/2577857			2	Sociology	Social Science Citation Index (SSCI)	Sociology	KH600					2022-12-18	WOS:A1980KH60000029
J	HILLER, HH				HILLER, HH			CONTEMPORARY-ISSUES IN THEORY AND RESEARCH - METASOCIOLOGICAL PERSPECTIVE - SNIZEK,WE, FUHRMAN,ER, MILLER,MK	SOCIAL FORCES			English	Book Review											HILLER, HH (corresponding author), UNIV CALGARY, CALGARY T2N 1N4, ALBERTA, CANADA.							SNIZEK WE, 1979, CONT ISSUES THEORY R	1	0	0	0	0	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	0037-7732	1534-7605		SOC FORCES	Soc. Forces		1980	58	3					963	964		10.2307/2577196	http://dx.doi.org/10.2307/2577196			2	Sociology	Social Science Citation Index (SSCI)	Sociology	JG231					2022-12-18	WOS:A1980JG23100016
J	HOGAN, HW				HOGAN, HW			THE PURSUIT OF ATTENTION - POWER AND INDIVIDUALISM IN EVERYDAY LIFE - DERBER,C	SOCIAL FORCES			English	Book Review																		DERBER C, 1979, PURSUIT ATTENTION PO	1	0	0	0	0	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	0037-7732	1534-7605		SOC FORCES	Soc. Forces		1980	59	2					583	584		10.2307/2578064	http://dx.doi.org/10.2307/2578064			2	Sociology	Social Science Citation Index (SSCI)	Sociology	KR614					2022-12-18	WOS:A1980KR61400043
J	JANOWITZ, M				JANOWITZ, M			THE NEW CLASS - BRUCEBRIGGS,B	SOCIAL FORCES			English	Book Review											JANOWITZ, M (corresponding author), UNIV CHICAGO, CHICAGO, IL 60637 USA.							BruceBriggs B., 1979, THE NEW CLASS	1	0	0	0	0	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	0037-7732	1534-7605		SOC FORCES	Soc. Forces		1980	58	4					1347	1349		10.2307/2577334	http://dx.doi.org/10.2307/2577334			3	Sociology	Social Science Citation Index (SSCI)	Sociology	JT678					2022-12-18	WOS:A1980JT67800026
J	JENSEN, GF				JENSEN, GF			DIVERSITY IN A YOUTH CORRECTIONAL SYSTEM - HANDLING DELINQUENTS IN MASSACHUSETTS - COATES,RB, MILLER,AD, OHLIN,LE	SOCIAL FORCES			English	Book Review																		Coates R. B., 1978, DIVERSITY YOUTH CORR	1	0	0	0	0	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	0037-7732	1534-7605		SOC FORCES	Soc. Forces		1980	59	2					587	589						3	Sociology	Social Science Citation Index (SSCI)	Sociology	KR614					2022-12-18	WOS:A1980KR61400047
J	JENSEN, GF				JENSEN, GF			DESIGNING CORRECTIONAL ORGANIZATIONS FOR YOUTHS - DILEMMAS OF SUBCULTURAL DEVELOPMENT - MCEWEN,CA	SOCIAL FORCES			English	Book Review											JENSEN, GF (corresponding author), UNIV ARIZONA, TUCSON, AZ 85721 USA.							McEwen CraigA., 1978, DESIGNING CORRECTION	1	0	0	0	0	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	0037-7732	1534-7605		SOC FORCES	Soc. Forces		1980	59	2					587	589						3	Sociology	Social Science Citation Index (SSCI)	Sociology	KR614					2022-12-18	WOS:A1980KR61400046
J	JONES, TA				JONES, TA			SOCIALISM AND BUREAUCRACY - HEGEDUS,A	SOCIAL FORCES			English	Book Review																		HEGEDUS A, 1977, SOCIALISM BUREAUCRAC	1	0	0	0	0	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	0037-7732	1534-7605		SOC FORCES	Soc. Forces		1980	58	4					1353	1354						2	Sociology	Social Science Citation Index (SSCI)	Sociology	JT678					2022-12-18	WOS:A1980JT67800030
J	JONES, TA				JONES, TA			THE STRUCTURE OF SOCIALIST-SOCIETY - HEGEDUS,A	SOCIAL FORCES			English	Book Review											JONES, TA (corresponding author), UNIV N CAROLINA, CHAPEL HILL, NC 27514 USA.							HEGEDUS A, 1977, STRUCTURE SOCIALIST	1	0	0	0	0	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	0037-7732	1534-7605		SOC FORCES	Soc. Forces		1980	58	4					1353	1354						2	Sociology	Social Science Citation Index (SSCI)	Sociology	JT678					2022-12-18	WOS:A1980JT67800029
J	KHOURY, RM				KHOURY, RM			MORALS AND MARKETS - THE DEVELOPMENT OF LIFE-INSURANCE IN THE UNITED-STATES - ZELIZER,VAR	SOCIAL FORCES			English	Book Review											KHOURY, RM (corresponding author), INDIANA UNIV PURDUE UNIV, INDIANAPOLIS, IN 46202 USA.							Zelizer Viviana, 1979, MORALS MARKETS DEV L	1	0	0	0	0	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	0037-7732	1534-7605		SOC FORCES	Soc. Forces		1980	59	2					576	577		10.2307/2578060	http://dx.doi.org/10.2307/2578060			2	Sociology	Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI)	Sociology	KR614					2022-12-18	WOS:A1980KR61400038
J	KLAPP, OE				KLAPP, OE			THE CELEBRATION OF HEROES - PRESTIGE AS A SOCIAL-CONTROL SYSTEM - GOODE,WJ	SOCIAL FORCES			English	Book Review											KLAPP, OE (corresponding author), UNIV WESTERN ONTARIO, TORONTO, ONTARIO, CANADA.							Goode W. J., 1977, CELEBRATION HEROES P	1	0	0	0	1	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	0037-7732	1534-7605		SOC FORCES	Soc. Forces		1980	58	4					1341	1343		10.2307/2577331	http://dx.doi.org/10.2307/2577331			3	Sociology	Social Science Citation Index (SSCI)	Sociology	JT678					2022-12-18	WOS:A1980JT67800022
