PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	[Anonymous]				[Anonymous]			The consumption of statistics.	JOURNAL OF THE ROYAL STATISTICAL SOCIETY			English	Article																			0	0	0	0	0	ROYAL STATISTICAL SOC	LONDON	25 ENFORD ST, LONDON W1H 2BH, ENGLAND	0952-8385			J R STAT SOC	J. R. Stat. Soc.		1937	100		1				1	11						11	Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Mathematics	W0057					2022-12-18	WOS:000189073200001
J	[Anonymous]				[Anonymous]			Wholesale prices in 1936.	JOURNAL OF THE ROYAL STATISTICAL SOCIETY			English	Article																			0	0	0	0	0	ROYAL STATISTICAL SOC	LONDON	25 ENFORD ST, LONDON W1H 2BH, ENGLAND	0952-8385			J R STAT SOC	J. R. Stat. Soc.		1937	100		2				274	290						17	Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Mathematics	W0058					2022-12-18	WOS:000189073300003
J	Connor, LR				Connor, LR			Urban housing in England and Wales	JOURNAL OF THE ROYAL STATISTICAL SOCIETY			English	Article																		[Anonymous], 1914, REPORT LAND ENQUIRY, V2; [Anonymous], STAT ABSTR UK; [Anonymous], J ROYAL STAT SOC; BARNES H, 1923, HOUSING FACTS FUTURE; Barnes Harry, 1931, SLUM ITS STORY SOLUT; BERRIS EF, 1934, EVOLVING HOUSE, V2; *BOARD TRAD, BOARD TRADE J; *BUILD IND NAT COU, BUILD IND SURV; *CENS ENGL WAL, 1935, HOUS REP TABL; CLARKE JJ, 1934, OUTLINES LAW HOUSING; CLARKE JJ, 1920, HOUSING PROBLEM HIST; *COMM LOC EXP ENGL, 1932, CMND4200; *COMM NAT EXP, 1931, CMND3920; *COUNC RES HOUS CO, 1935, 2 COUNC RES HOUS CON; *COUNC RES HOUS CO, 1934, 1 COUNC RES HOUS CON; *DEP COMM HOUS, 1933, CMND 4397; DEWSNUP RA, 1907, HOUSING PROBLEM ENGL; FREMANTLE FE, 1927, HOUSING NATION; HILL HA, 1934, COMPLETE LAW HOUSING; *INT FED HOUS TOWN, 1935, INT HOUS TOWN PLANN; *INT LAB OFF, 1924, STUD REP G; *INT LAB OFF, 1930, STUD REP G; *INT LAB OFF, 1928, STUD REP N; JENNINGS I, 1935, LAW HOUSING; *LOC GOV BOARD, LOC GOV BOARD ANN RE; *MIN HOUS, 1493 MIN HOUS; *MIN HOUS, 1919, MAN UNF HOUS UNH AR, V2; *MIN HOUS, MIN HOUS ANN REPORTS; *MIN HOUS, 1919, MAN UNF HOUS UNH AR, V1; *MIN LAB, MIN LAB GAZ; *MIN LAB, LAB STAT UK; *NAT HOUS COMM, 1934, NAT HOUS POL REP NAT; *PEP, 1934, HOUS ENGL GUID HOUS; REISS CL, 1924, NEW HOUSING HDB; *SCOT DEP HOUS, 1933, CMND 4469; Simon E D, 1933, ANTISLUM CAMPAIGN; *SURV I, 1917, REP HOUS COMM; SWIFT S, 1935, HOUSING ADMINISTRATI; SYKES JFJ, 1901, PUBLIC HLTH HOUSING; 1930, NEW SURVEY LONDON LI; 1934, SOCIAL SURVEY MERSEY; MUNICIPAL YB ENCY LO; CMND4535; J CHARTERED SURVEYOR	44	0	0	0	0	ROYAL STATISTICAL SOC	LONDON	25 ENFORD ST, LONDON W1H 2BH, ENGLAND	0952-8385			J R STAT SOC	J. R. Stat. Soc.		1936	99		1				1	66		10.2307/2980311	http://dx.doi.org/10.2307/2980311			66	Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Mathematics	W0053					2022-12-18	WOS:000189072700001
J	Gibbon, G				Gibbon, G			The expenditure and revenue of local authorities	JOURNAL OF THE ROYAL STATISTICAL SOCIETY			English	Article																			0	0	0	0	0	ROYAL STATISTICAL SOC	LONDON	25 ENFORD ST, LONDON W1H 2BH, ENGLAND	0952-8385			J R STAT SOC	J. R. Stat. Soc.		1936	99		3				457	502		10.2307/2980345	http://dx.doi.org/10.2307/2980345			46	Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Mathematics	W0055					2022-12-18	WOS:000189073000001
J	Hill, AB				Hill, AB			The enumeration of population at the meetings of the Society.	JOURNAL OF THE ROYAL STATISTICAL SOCIETY			English	Article																			0	0	0	0	1	ROYAL STATISTICAL SOC	LONDON	25 ENFORD ST, LONDON W1H 2BH, ENGLAND	0952-8385			J R STAT SOC	J. R. Stat. Soc.		1936	99		1				162	164B		10.2307/2980317	http://dx.doi.org/10.2307/2980317			5	Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Mathematics	W0053					2022-12-18	WOS:000189072700007
J	Linder, A				Linder, A			Daniel Bernoulli and J. H. Lambert on mortality statistics.	JOURNAL OF THE ROYAL STATISTICAL SOCIETY			English	Article																		LINDER A, 1934, METHODEN BERECHUNG V; LOEWY A, 1927, JOHANN HEINRICH LAMB; Westergaard H., 1932, CONTRIBUTIONS HIST S	3	0	1	0	1	ROYAL STATISTICAL SOC	LONDON	25 ENFORD ST, LONDON W1H 2BH, ENGLAND	0952-8385			J R STAT SOC	J. R. Stat. Soc.		1936	99		1				138	141		10.2307/2980314	http://dx.doi.org/10.2307/2980314			4	Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Mathematics	W0053					2022-12-18	WOS:000189072700004
J	Macrosty, HW				Macrosty, HW			Memorial on earnings and costs of living.	JOURNAL OF THE ROYAL STATISTICAL SOCIETY			English	Article																			0	0	0	0	0	ROYAL STATISTICAL SOC	LONDON	25 ENFORD ST, LONDON W1H 2BH, ENGLAND	0952-8385			J R STAT SOC	J. R. Stat. Soc.		1936	99						360	363						4	Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Mathematics	W0054					2022-12-18	WOS:000189072900006
J	Macrosty, HW				Macrosty, HW			Untitled	JOURNAL OF THE ROYAL STATISTICAL SOCIETY			English	Letter																			0	0	0	0	0	ROYAL STATISTICAL SOC	LONDON	25 ENFORD ST, LONDON W1H 2BH, ENGLAND	0952-8385			J R STAT SOC	J. R. Stat. Soc.		1936	99		3				557	558						2	Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Mathematics	W0055					2022-12-18	WOS:000189073000006
J	Phillips, TW				Phillips, TW			Reply from the Minister of Labour to the memorial on earnings and cost of living addressed to him by the President and Council of the Royal Statistical Society	JOURNAL OF THE ROYAL STATISTICAL SOCIETY			English	Letter																		1936, JOURNAL 2, P360	1	0	0	0	0	ROYAL STATISTICAL SOC	LONDON	25 ENFORD ST, LONDON W1H 2BH, ENGLAND	0952-8385			J R STAT SOC	J. R. Stat. Soc.		1936	99		3				556	557						2	Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Mathematics	W0055					2022-12-18	WOS:000189073000005
J	Rhodes, EC				Rhodes, EC			The precision of index numbers - II	JOURNAL OF THE ROYAL STATISTICAL SOCIETY			English	Article																			0	0	0	0	0	ROYAL STATISTICAL SOC	LONDON	25 ENFORD ST, LONDON W1H 2BH, ENGLAND	0952-8385			J R STAT SOC	J. R. Stat. Soc.		1936	99						367	369		10.2307/2980586	http://dx.doi.org/10.2307/2980586			3	Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Mathematics	W0054					2022-12-18	WOS:000189072900008
J	White, GR				White, GR			Some statistical aspects of future thading on a commodity exchange.	JOURNAL OF THE ROYAL STATISTICAL SOCIETY			English	Article																			0	0	0	0	0	ROYAL STATISTICAL SOC	LONDON	25 ENFORD ST, LONDON W1H 2BH, ENGLAND	0952-8385			J R STAT SOC	J. R. Stat. Soc.		1936	99						297	329		10.2307/2980582	http://dx.doi.org/10.2307/2980582			35	Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Mathematics	W0054					2022-12-18	WOS:000189072900003
J	White, T				White, T			A possibe extension of statistical method.	JOURNAL OF THE ROYAL STATISTICAL SOCIETY			English	Article																			0	0	0	0	0	ROYAL STATISTICAL SOC	LONDON	25 ENFORD ST, LONDON W1H 2BH, ENGLAND	0952-8385			J R STAT SOC	J. R. Stat. Soc.		1936	99						370	371		10.2307/2980587	http://dx.doi.org/10.2307/2980587			2	Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Mathematics	W0054					2022-12-18	WOS:000189072900009
