PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	ROGERS, A				ROGERS, A			A MARKOVIAN ANALYSIS OF MIGRATION DIFFERENTIALS	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION			English	Meeting Abstract																			0	1	1	0	1	AMER STATISTICAL ASSOC	ALEXANDRIA	1429 DUKE ST, ALEXANDRIA, VA 22314	0162-1459			J AM STAT ASSOC	J. Am. Stat. Assoc.		1967	62	318					740	&						0	Statistics & Probability	Social Science Citation Index (SSCI); Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	95456					2022-12-18	WOS:A19679545600126
J	ROSS, AM				ROSS, AM			USE AND ABUSE OF HUMAN POTENTIAL	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION			English	Meeting Abstract																			0	1	1	0	1	AMER STATISTICAL ASSOC	ALEXANDRIA	1429 DUKE ST, ALEXANDRIA, VA 22314	0162-1459			J AM STAT ASSOC	J. Am. Stat. Assoc.		1967	62	318					741	&						0	Statistics & Probability	Social Science Citation Index (SSCI); Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	95456					2022-12-18	WOS:A19679545600128
J	SIEGEL, JS; ZELNIK, M				SIEGEL, JS; ZELNIK, M			EVALUATION OF COVERAGE IN 1960 CENSUS OF POPULATION BY TECHNIQUES OF DEMOGRAPHIC ANALYSIS AND BY COMPOSITE METHODS	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION			English	Meeting Abstract																			0	1	1	0	1	AMER STATISTICAL ASSOC	ALEXANDRIA	1429 DUKE ST, ALEXANDRIA, VA 22314	0162-1459			J AM STAT ASSOC	J. Am. Stat. Assoc.		1967	62	318					743	&						0	Statistics & Probability	Social Science Citation Index (SSCI); Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	95456					2022-12-18	WOS:A19679545600140
J	TIAO, GC				TIAO, GC			MOSTELLER,F - INFERENCE AND DISPUTED AUTHORSHIP - FEDERALIST	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION			English	Book Review																		MOSTELLER F, INFERENCE DISPUTED A	1	1	1	0	0	AMER STATISTICAL ASSOC	ALEXANDRIA	1429 DUKE ST, ALEXANDRIA, VA 22314	0162-1459			J AM STAT ASSOC	J. Am. Stat. Assoc.		1967	62	317					306	&		10.2307/2282943	http://dx.doi.org/10.2307/2282943			0	Statistics & Probability	Social Science Citation Index (SSCI); Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	92136					2022-12-18	WOS:A19679213600039
J	WARNER, SL				WARNER, SL			ASYMPTOTIC VARIANCES FOR DUMMY VARIATE REGRESSION UNDER NORMALITY ASSUMPTIONS	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION			English	Article																		ANDERSON TW, INTRODUCTION MULTIVA; Cochran William G, SAMPLING TECHNIQUES, V3rd; CRAMER H, MATHEMATICAL METHODS; DWYER PS, 1948, ANN MATH STAT, V19, P517, DOI 10.1214/aoms/1177730148; GOLDBERGER AS, ECONOMETRIC THEORY; WARNER SL, 1963, J AM STAT ASSOC, V58, P1054, DOI 10.2307/2283332	6	1	1	0	0	AMER STATISTICAL ASSOC	ALEXANDRIA	1429 DUKE ST, ALEXANDRIA, VA 22314	0162-1459			J AM STAT ASSOC	J. Am. Stat. Assoc.		1967	62	320					1305	&		10.2307/2283780	http://dx.doi.org/10.2307/2283780			0	Statistics & Probability	Social Science Citation Index (SSCI); Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	A5482					2022-12-18	WOS:A1967A548200017
J	BALLAS, JA				BALLAS, JA			CORRECTION	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION			English	Correction, Addition																		BALLAS JA, 1966, J AM STAT ASSOC, V61, P803, DOI 10.2307/2282789	1	1	1	0	1	AMER STATISTICAL ASSOC	ALEXANDRIA	1429 DUKE ST, ALEXANDRIA, VA 22314	0162-1459			J AM STAT ASSOC	J. Am. Stat. Assoc.		1966	61	316					1246	&		10.2307/2283223	http://dx.doi.org/10.2307/2283223			0	Statistics & Probability	Social Science Citation Index (SSCI); Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	88525					2022-12-18	WOS:A19668852500035
J	BARR, DR				BARR, DR			ON TESTING EQUALITY OF UNIFORM AND RELATED DISTRIBUTIONS	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION			English	Article																		BARR DR, THESIS U IOWA; BARR DR, TO BE PUBLISHED; HOGG RV, 1963, J AM STAT ASSOC, V58, P435, DOI 10.2307/2283277; HOGG RV, 1962, J AM STAT ASSOC, V57, P579, DOI 10.2307/2282395; HOGG RV, 1961, J AM STAT ASSOC, V56, P978, DOI 10.2307/2282008; HOGG RV, 1956, ANN MATH STAT, V27, P529, DOI 10.1214/aoms/1177728276; HOGG RV, 1956, SANKHYA, V17, P209; LEHMANN EL, TEXTING STATISTICAL; MURTY VN, 1955, J AM STAT ASSOC, V50, P1136, DOI 10.2307/2281210	9	1	1	0	2	AMER STATISTICAL ASSOC	ALEXANDRIA	1429 DUKE ST, ALEXANDRIA, VA 22314	0162-1459			J AM STAT ASSOC	J. Am. Stat. Assoc.		1966	61	315					856	&						0	Statistics & Probability	Social Science Citation Index (SSCI); Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	83748					2022-12-18	WOS:A19668374800024
J	DUVALL, RM				DUVALL, RM			TIME SERIES ANALYSIS BY MODIFIED LEAST-SQUARES TECHNIQUES	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION			English	Article																		COWDEN DJ, DIRECT MEASUREMENT C; HALD A, DECOMPOSITION SERIES; Jones HL, 1943, J AM STAT ASSOC, V38, P453, DOI 10.2307/2279345; KENDALL MG, ADVANCED THEORY STAT, V2; RAFF MS, 1960, MONTHLY LABOR REVIEW, pA1; RAFF MS, 1960, MONTHLY LABOR REVIEW, P882; 5 SEAS ADJ PROG RES	7	1	1	0	2	AMER STATISTICAL ASSOC	ALEXANDRIA	1429 DUKE ST, ALEXANDRIA, VA 22314	0162-1459			J AM STAT ASSOC	J. Am. Stat. Assoc.		1966	61	313					152	&						0	Statistics & Probability	Social Science Citation Index (SSCI); Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	76014					2022-12-18	WOS:A19667601400010
J	FOX, M				FOX, M			HOGG,RV - INTRODUCTION TO MATHEMATICAL STATISTICS	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION			English	Book Review																		HEAD RV, 1963, COMMUNICATIONS AEM, V6; HOGG RV, INTRODUCTION MATHEMA	2	1	1	0	0	AMER STATISTICAL ASSOC	ALEXANDRIA	1429 DUKE ST, ALEXANDRIA, VA 22314	0162-1459			J AM STAT ASSOC	J. Am. Stat. Assoc.		1966	61	315					881	&		10.2307/2282810	http://dx.doi.org/10.2307/2282810			0	Statistics & Probability	Social Science Citation Index (SSCI); Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	83748					2022-12-18	WOS:A19668374800039
J	IJIRI, Y				IJIRI, Y			ACCOUNTING AND ANALYTICAL METHODS	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION			English	Book Review																		MATTESSICH R, ACCOUNTING ANALYTICA	1	1	1	0	0	AMER STATISTICAL ASSOC	ALEXANDRIA	1429 DUKE ST, ALEXANDRIA, VA 22314	0162-1459			J AM STAT ASSOC	J. Am. Stat. Assoc.		1966	61	313					292	&		10.2307/2283081	http://dx.doi.org/10.2307/2283081			0	Statistics & Probability	Social Science Citation Index (SSCI); Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	76014					2022-12-18	WOS:A19667601400041
