PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	MANUELEADKINS, C				MANUELEADKINS, C			BRAVE NEW FAMILIES - STACY,J	SEX ROLES			English	Book Review											MANUELEADKINS, C (corresponding author), CUNY HUNTER COLL,NEW YORK,NY 10021, USA.							STACY J, 1990, BRAVE NEW FAMILIES	1	0	0	0	0	PLENUM PUBL CORP	NEW YORK	233 SPRING ST, NEW YORK, NY 10013	0360-0025			SEX ROLES	Sex Roles	JUL	1991	25	1-2					91	94		10.1007/BF00289319	http://dx.doi.org/10.1007/BF00289319			4	Psychology, Developmental; Psychology, Social; Women's Studies	Social Science Citation Index (SSCI)	Psychology; Women's Studies	GG452					2022-12-18	WOS:A1991GG45200008
J	BEARISON, DJ				BEARISON, DJ			MAKING CONNECTIONS - THE RELATIONAL WORLDS IN ADOLESCENT GIRLS AT EMMA-WILLARD-SCHOOL - GILLIGAN,C, LYONS,N, HAMMER,T	SEX ROLES			English	Book Review							MORAL DEVELOPMENT				BEARISON, DJ (corresponding author), CUNY GRAD SCH & UNIV CTR,NEW YORK,NY 10036, USA.							[Anonymous], 1987, MEASUREMENT MORAL JU; BEARISON DJ, IN PRESS CULTURE COG; BEARISON DJ, 1986, THOUGHT EMOTION; BROUGHTON JM, 1983, SOC RES, V50, P597; COLBY A, 1983, MERRILL PALMER QUART, V29, P473; GILLIGAN C, MAKING CONNECTIONS R; Gilligan C., 1982, DIFFERENT VOICE; PIAGET J, 1962, B MENNINGER CLIN, V26, P129; PIAGET J, 1981, ANN REV MONOGRAPH; Piaget J., 1932, MORAL JUDGMENT CHILD; PROSE F, 1990, NY TIMES MAGAZI 0107, P23; WALKER JC, 1983, SOC RES, V50, P665	12	0	0	0	0	PLENUM PUBL CORP	NEW YORK	233 SPRING ST, NEW YORK, NY 10013	0360-0025			SEX ROLES	Sex Roles	JUN	1991	24	11-12					789	794						6	Psychology, Developmental; Psychology, Social; Women's Studies	Social Science Citation Index (SSCI)	Psychology; Women's Studies	GC122					2022-12-18	WOS:A1991GC12200013
J	KIMMEL, D				KIMMEL, D			GAY AND LESBIAN YOUTH - HERDT,G	SEX ROLES			English	Book Review											KIMMEL, D (corresponding author), CUNY CITY COLL, NEW YORK, NY 10031 USA.							Herdt G., 1989, GAY LESBIAN YOUTH	1	0	0	0	0	SPRINGER/PLENUM PUBLISHERS	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0360-0025	1573-2762		SEX ROLES	Sex Roles	JUN	1991	24	11-12					787	789						3	Psychology, Developmental; Psychology, Social; Women's Studies	Social Science Citation Index (SSCI)	Psychology; Women's Studies	GC122					2022-12-18	WOS:A1991GC12200011
J	KIMMEL, D				KIMMEL, D			HOMOSEXUALITY AND THE FAMILY - BOZETT,FW	SEX ROLES			English	Book Review																		BOZETT FW, 1989, HOMOSEXUALITY FAMILY	1	0	0	0	0	SPRINGER/PLENUM PUBLISHERS	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0360-0025	1573-2762		SEX ROLES	Sex Roles	JUN	1991	24	11-12					787	789						3	Psychology, Developmental; Psychology, Social; Women's Studies	Social Science Citation Index (SSCI)	Psychology; Women's Studies	GC122					2022-12-18	WOS:A1991GC12200012
J	MCMAHAN, CR				MCMAHAN, CR			EVALUATION AND REINFORCEMENT - WHAT DO MALES AND FEMALES REALLY WANT TO HEAR	SEX ROLES			English	Article							PERCEIVED SEX-DIFFERENCES; PERFORMANCE; PERCEPTIONS; APPLICANTS; INSTRUMENT; RATINGS; EMPATHY; RACE				MCMAHAN, CR (corresponding author), VINCENNES UNIV,VINCENNES,IN, USA.							ABRAMSON PE, 1978, PSYCHOL WOMEN Q, V2, P114; BEDWELL J, 1973, J PERS SOC PSYCHOL, V25, P219; BIGONESS WJ, 1976, J APPL PSYCHOL, V61, P80, DOI 10.1037/0021-9010.61.1.80; BLACK TE, 1973, J PERS SOC PSYCHOL, V27, P382, DOI 10.1037/h0034937; BOCK DG, 1977, COMMUN EDUC, V26, P143, DOI 10.1080/03634527709378217; BRIDGEWATER CA, 1980, PSYCHOL TODAY, V14, P25; Coutu W., 1951, AM SOCIOL REV, V16, P180, DOI [10.2307/2087691, DOI 10.2307/2087691]; DEAUX K, 1973, PSYCHOL REP, V32, P261, DOI 10.2466/pr0.1973.32.1.261; DEAUX K, 1976, NEW DIRECTIONS ATTRI, V1; DIPBOYE RL, 1977, J APPL PSYCHOL, V62, P288, DOI 10.1037/0021-9010.62.3.288; EAGLY AH, 1983, AM PSYCHOL, V38, P971; Fiske S.T., 1984, SOC COGNITION; FITZPATRICK MA, 1977, COMMUNICATION Q, V25, P11; FRANK FD, 1977, SEX ROLES, V3, P59, DOI 10.1007/BF00289690; GLADSTEIN GA, 1984, J HIST BEHAV SCI, V20, P38, DOI 10.1002/1520-6696(198401)20:1<38::AID-JHBS2300200106>3.0.CO;2-1; GOLDBERG P, 1968, TRANS-ACT-SOC SCI MO, V5, P28; HAEFNER JE, 1977, J APPL PSYCHOL, V62, P265, DOI 10.1037/0021-9010.62.3.265; HALL FS, 1976, ACAD MANAGE J, V19, P476, DOI 10.2307/255613; HAYES DT, 1977, THESIS U MISSOURI CO; HILPERT FP, 1975, CENT STATES SPEECH J, V26, P52, DOI 10.1080/10510977509367819; JACOBSON MB, 1974, ORGAN BEHAV HUM PERF, V12, P383, DOI 10.1016/0030-5073(74)90059-2; JAFFE DS, 1986, PSYCHOANAL QUART, V55, P215, DOI 10.1080/21674086.1986.11927137; Katz R.L., 1963, EMPATHY ITS NATURE U; LAO RC, 1975, PSYCHOL REP, V37, P1315, DOI 10.2466/pr0.1975.37.3f.1315; LIPPS T, 1935, MODERN BOOK ESTHETIC; LUMEJI JLJ, 1957, METHODS PSYCHOL PSYC; Maccoby E.E., 1978, PSYCHOL SEX DIFFEREN, V2; McCroskey J. C., 1977, HUMAN COMMUNICATION, V3, P264; Mead G.H., 1934, MIND SELF SOC; MILLER GR, 1973, SPEECH MONOGR, V40, P154, DOI 10.1080/03637757309375791; MULAC A, 1980, COMMUN MONOGR, V47, P111, DOI 10.1080/03637758009376024; MUSON H, 1979, PSYCHOL TODAY, V13, P39; Nieva V.F., 1980, ACAD MANAGE REV, V5, P267, DOI [10.5465/amr.1980.4288749, DOI 10.5465/AMR.1980.4288749]; PALUDI MA, 1983, SEX ROLES, V9, P387, DOI 10.1007/BF00289673; PEARON JC, W SPEECH COMMUNICATI; PEARSON JC, 1981, SPEECH COMMUNICATION; PEARSON JC, 1975, THESIS INDIANA U BLO; PEARSON JC, 1985, GENDER COMMUNICATION; PFISTER ER, 1955, THESIS MICHIGAN STAT; PHETERSON GT, 1971, J PERS SOC PSYCHOL, V19, P110; PHILLIPS GM, 1973, SPEECH MONOGR, V40, P220, DOI 10.1080/03637757309375799; Reik T, 1948, LISTENING 3 EAR INNE; Restak RM, 1979, BRAIN LAST FRONTIER; ROGERS CR, 1951, CLIENT CENTERED THER; ROSEN B, 1974, J APPL PSYCHOL, V59, P9, DOI 10.1037/h0035834; ROZNOWSKA A, 1985, PSYCHOL WYCHOWAWCZA, V28, P166; RUESCH J, 1951, COMMUNICATION; Scheler M., 2017, NATURE SYMPATHY, DOI [10.4324/9781315133348, DOI 10.4324/9781315133348]; SPRAGUE JA, 1971, THESIS PURDUE U LAFA; Stein E., 1970, PROBLEM EMPATHY, V2; STEWART DA, 1956, PREFACE EMPATHY; TANWILLMAN C, 1981, J CREATIVE BEHAV, V15, P276, DOI 10.1002/j.2162-6057.1981.tb00310.x; TAYNOR J, 1975, J PERS SOC PSYCHOL, V32, P381, DOI 10.1037/h0077096; Truax CB, 1967, EFFECTIVE COUNSELING; VIGLIANO BM, 1974, THESIS NEW YORK U NE; WOOD W, 1986, J PERS SOC PSYCHOL, V50, P341, DOI 10.1037/0022-3514.50.2.341	56	0	0	0	0	PLENUM PUBL CORP	NEW YORK	233 SPRING ST, NEW YORK, NY 10013	0360-0025			SEX ROLES	Sex Roles	JUN	1991	24	11-12					771	783		10.1007/BF00288212	http://dx.doi.org/10.1007/BF00288212			13	Psychology, Developmental; Psychology, Social; Women's Studies	Social Science Citation Index (SSCI)	Psychology; Women's Studies	GC122					2022-12-18	WOS:A1991GC12200009
J	ROSE, R				ROSE, R			YOU JUST DONT UNDERSTAND - WOMEN AND MEN IN CONVERSATION - TANNEN,D	SEX ROLES			English	Book Review											ROSE, R (corresponding author), CUNY HUNTER COLL,NEW YORK,NY 10021, USA.							EAKIN BW, 1978, SEX DIFFERENCES COMM; GRIEF EB, 1980, WOMENS STUDIES INT Q, V3, P253; TANNEN D, YOU JUST DONT UNDERS; WEST C, 1985, HDB DISCOURSE ANAL, V4; WQEST C, 1983, LANGUAGE GENDER SOC; Zimmerman D., 1975, LANGUAGE GENDER SOC, P89	6	0	0	0	0	PLENUM PUBL CORP	NEW YORK	233 SPRING ST, NEW YORK, NY 10013	0360-0025			SEX ROLES	Sex Roles	JUN	1991	24	11-12					785	787		10.1007/BF00288213	http://dx.doi.org/10.1007/BF00288213			3	Psychology, Developmental; Psychology, Social; Women's Studies	Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI)	Psychology; Women's Studies	GC122					2022-12-18	WOS:A1991GC12200010
J	HELD, V				HELD, V			FEMINIST THOUGHT - A COMPREHENSIVE INTRODUCTION - TONG,R	SEX ROLES			English	Book Review											HELD, V (corresponding author), CUNY,GRAD SCH & HUNTER COLL,NEW YORK,NY 10021, USA.							Eisenstein Z, 1986, RADICAL FUTURE LIBER; HARDING S, 1987, SCI MORALITY FEMINIS; Tong R, 1989, FEMINIST THOUGHT COM	3	0	0	0	0	PLENUM PUBL CORP	NEW YORK	233 SPRING ST, NEW YORK, NY 10013	0360-0025			SEX ROLES	Sex Roles	MAR	1991	24	5-6					383	385		10.1007/BF00288311	http://dx.doi.org/10.1007/BF00288311			3	Psychology, Developmental; Psychology, Social; Women's Studies	Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI)	Psychology; Women's Studies	FL064					2022-12-18	WOS:A1991FL06400013
J	HORT, BE				HORT, BE			CORRECTION	SEX ROLES			English	Correction, Addition																		HORT BE, 1990, SEX ROLES, V23, P197, DOI 10.1007/BF00289866	1	0	0	0	0	PLENUM PUBL CORP	NEW YORK	233 SPRING ST, NEW YORK, NY 10013	0360-0025			SEX ROLES	Sex Roles	MAR	1991	24	5-6					389	389						1	Psychology, Developmental; Psychology, Social; Women's Studies	Social Science Citation Index (SSCI)	Psychology; Women's Studies	FL064					2022-12-18	WOS:A1991FL06400015
J	YODER, JD				YODER, JD			THE SOCIAL IDENTITY OF WOMEN - SKEVINGTON,S, BAKER,D	SEX ROLES			English	Book Review											YODER, JD (corresponding author), UNIV WISCONSIN,MILWAUKEE,WI 53201, USA.							Skevington S, 1989, SOCIAL IDENTITY WOME	1	0	0	0	0	PLENUM PUBL CORP	NEW YORK	233 SPRING ST, NEW YORK, NY 10013	0360-0025			SEX ROLES	Sex Roles	MAR	1991	24	5-6					385	388						4	Psychology, Developmental; Psychology, Social; Women's Studies	Social Science Citation Index (SSCI)	Psychology; Women's Studies	FL064					2022-12-18	WOS:A1991FL06400014
J	MESSINA, MS				MESSINA, MS			REFUSING TO BE A MAN - ESSAYS ON SEX AND JUSTICE - STOLTENBERG,J	SEX ROLES			English	Book Review											MESSINA, MS (corresponding author), SYRACUSE UNIV,SYRACUSE,NY 13210, USA.							Stoltenberg J, 1989, REFUSING BE MAN ESSA	1	0	0	0	0	PLENUM PUBL CORP	NEW YORK	233 SPRING ST, NEW YORK, NY 10013	0360-0025			SEX ROLES	Sex Roles	JAN	1991	24	1-2					129	132						4	Psychology, Developmental; Psychology, Social; Women's Studies	Social Science Citation Index (SSCI)	Psychology; Women's Studies	FE614					2022-12-18	WOS:A1991FE61400010
