PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Howard, TD; Koppelman, GH; Xu, J; Zheng, SL; Postma, DS; Meyers, DA; Bleecker, ER				Howard, TD; Koppelman, GH; Xu, J; Zheng, SL; Postma, DS; Meyers, DA; Bleecker, ER			Gene-Gene interaction increases susceptibility to asthma: IL4R alpha and IL13 polymorphisms in an asthmatic Dutch population.	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									Wake Forest Univ, Bowman Gray Sch Med, Ctr Human Genom, Winston Salem, NC USA; Univ Groningen Hosp, Dept Pulm, Groningen, Netherlands; Rehab Beatrixoord, Dept Pulm, Haren, Netherlands	Wake Forest University; Wake Forest Baptist Medical Center; University of Groningen			Koppelman, Gerard/AAG-9187-2020						0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	OCT	2001	69	4		1		251	225	225						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	483RD					2022-12-18	WOS:000171648900250
J	Howman, EV; Poon, E; Newey, SE; Torelli, S; Brown, S; Hilton-Jones, D; Squier, W; Muntoni, F; Davies, KE				Howman, EV; Poon, E; Newey, SE; Torelli, S; Brown, S; Hilton-Jones, D; Squier, W; Muntoni, F; Davies, KE			Syncoilin expression in neuromuscular disorders.	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									Univ Oxford, MRC, Funct Genet Unit, Dept Human Anat & Genet, Oxford, England; ICSM, Dept Paediat, Dubowitz Neuromuscular Ctr, London, England; Radcliffe Infirm, Dept Neurobiol, Oxford OX2 6HE, England	University of Oxford; Imperial College London; University of London; University College London; Radcliffe Infirmary			Poon, Ellen/ABD-6962-2020	Poon, Ellen/0000-0002-9280-3681					0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	OCT	2001	69	4		1		2686	638	638						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	483RD					2022-12-18	WOS:000171648902686
J	Hsieh, EWY; Rao, NP; Chen, D; Pettenati, MJ; Shim, HS; Schimmenti, LA				Hsieh, EWY; Rao, NP; Chen, D; Pettenati, MJ; Shim, HS; Schimmenti, LA			Characterization of the chimeric erythropoietin receptor fusion protein in the TF-1 erythroleukemia cell line.	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									Univ Calif Los Angeles, Los Angeles, CA USA; Wake Forest Univ, Winston Salem, NC 27109 USA	University of California System; University of California Los Angeles; Wake Forest University									0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	OCT	2001	69	4		1		438	258	258						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	483RD					2022-12-18	WOS:000171648900437
J	Hsu, AP; Anderson, SM; Buckley, R; Candotti, F; Uzel, G; Puck, JM				Hsu, AP; Anderson, SM; Buckley, R; Candotti, F; Uzel, G; Puck, JM			Genotypic diagnosis of T-B+ SCID by functional assay.	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									Duke Univ, Med Ctr, Durham, NC USA; NIH, NHGRI, GMBB, Bethesda, MD 20892 USA	Duke University; National Institutes of Health (NIH) - USA; NIH National Human Genome Research Institute (NHGRI)			Hsu, Amy/AAW-6509-2021; Buckley, Rebecca/AAB-1578-2019	Hsu, Amy/0000-0001-6841-2122; 					0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	OCT	2001	69	4		1		1042	361	361						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	483RD					2022-12-18	WOS:000171648901042
J	Hu, L; Wen, JM; Huang, JF; Sham, JST; Wang, WS; Zhang, M; Xie, D; Zeng, WF; Guan, XY				Hu, L; Wen, JM; Huang, JF; Sham, JST; Wang, WS; Zhang, M; Xie, D; Zeng, WF; Guan, XY			Characterization of a homogeneously stain region (HSR) in a new establishment hepatocellular carcinoma cell line.	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									City Univ Hong Kong, Hong Kong, Hong Kong, Peoples R China; Sun Yat Sen Univ Med Sci, Dept Pathol, Guangzhou, Peoples R China; Sun Yat Sen Univ Med Sci, Dept Surg, Guangzhou, Peoples R China	City University of Hong Kong; Sun Yat Sen University; Sun Yat Sen University									0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	OCT	2001	69	4		1		305	236	236						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	483RD					2022-12-18	WOS:000171648900306
J	Huang, B; Bartley, J				Huang, B; Bartley, J			Identification of two copies of large inv dup(15) chromosomes in an infant.	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									Genzyme Genet, Orange, CA USA; Loma Linda Univ, Loma Linda, CA 92350 USA	Sanofi-Aventis; Genzyme Corporation; Loma Linda University									0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	OCT	2001	69	4		1		880	333	333						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	483RD					2022-12-18	WOS:000171648900879
J	Huang, D; Pretto, D; Talmadge, C; Zhou, G; Zhou, M; Davis, JR; Eudy, J; Uzvolgyi, E; Sumegi, J				Huang, D; Pretto, D; Talmadge, C; Zhou, G; Zhou, M; Davis, JR; Eudy, J; Uzvolgyi, E; Sumegi, J			Cellular localization of mRNA expression of Usher IIa gene in rodent retina.	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									Univ Nebraska, Med Ctr, Ctr Human Mol Genet, Omaha, NE USA	University of Nebraska System; University of Nebraska Medical Center									0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	OCT	2001	69	4		1		2510	608	608						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	483RD					2022-12-18	WOS:000171648902508
J	Huang, J; Wang, D; Jiang, Y; Vieland, VJ				Huang, J; Wang, D; Jiang, Y; Vieland, VJ			Testing linkage disequilibrium in the presence of tight linkage and locus heterogeneity.	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									Univ Iowa, Iowa City, IA USA; Univ Iowa, Dept Biostat, Div Stat Genet, Iowa City, IA USA; Univ Iowa, Dept Psychiat, Iowa City, IA 52242 USA; Loyola Univ, Dept Epidemiol & Prevent Med, New Orleans, LA 70118 USA	University of Iowa; University of Iowa; University of Iowa									0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	OCT	2001	69	4		1		1991	521	521						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	483RD					2022-12-18	WOS:000171648901989
J	Huang, JF; Liu, CQ				Huang, JF; Liu, CQ			Protein tyrosine phosphatase families resulted from gene duplication, fusion, horizontal transfer and circular permutation.	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									Kunming Inst Zool, Kunming, Yunnan, Peoples R China	Chinese Academy of Sciences; Kunming Institute of Zoology									0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	OCT	2001	69	4		1		971	349	349						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	483RD					2022-12-18	WOS:000171648900973
J	Huang, LS; Lee, TL; McQuade, M; Luo, N; Lau, PW; Ko, C; Chua, SC				Huang, LS; Lee, TL; McQuade, M; Luo, N; Lau, PW; Ko, C; Chua, SC			Fine-mapping of the mouse ApoB regulator gene 1 (Abrg1) locus, which regulates plasma apoB levels, to a 2-cM segment of chromosome 6.	AMERICAN JOURNAL OF HUMAN GENETICS			English	Meeting Abstract									Columbia Univ, Dept Med, New York, NY USA	Columbia University									0	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9297			AM J HUM GENET	Am. J. Hum. Genet.	OCT	2001	69	4		1		2013	525	525						1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	483RD					2022-12-18	WOS:000171648902012
