PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	[Anonymous]				[Anonymous]			Modules of Universalistic Taxation Theory	AMERICAN ECONOMIC REVIEW			English	Book Review																		ANDREAE W, 1927, BAUSTEINE UNIVERSALI	1	0	0	0	0	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA	0002-8282			AM ECON REV	Am. Econ. Rev.	DEC	1927	17	4					726	727						2	Economics	Social Science Citation Index (SSCI)	Business & Economics	V48IE					2022-12-18	WOS:000203266000050
J	[Anonymous]				[Anonymous]			Safeguarding and protection in Great Britain and the United States	AMERICAN ECONOMIC REVIEW			English	Book Review																		Hirst F.W., 1927, SAFEGUARDING PROTECT	1	0	0	0	0	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA	0002-8282			AM ECON REV	Am. Econ. Rev.	DEC	1927	17	4					727	727						1	Economics	Social Science Citation Index (SSCI)	Business & Economics	V48IE					2022-12-18	WOS:000203266000051
J	[Anonymous]				[Anonymous]			Effects of transformations of states on their public debts and other financial obligations	AMERICAN ECONOMIC REVIEW			English	Book Review																		Sack Alexander, 1927, EFFETS TRANSFORMATIO	1	0	0	0	0	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA	0002-8282			AM ECON REV	Am. Econ. Rev.	DEC	1927	17	4					728	728						1	Economics	Social Science Citation Index (SSCI)	Business & Economics	V48IE					2022-12-18	WOS:000203266000052
J	Adams, JP				Adams, James P.			Principles of accounting	AMERICAN ECONOMIC REVIEW			English	Book Review																		KOHLER EL, 1926, PRINCIPLES ACCOUNTIN	1	0	0	0	0	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA	0002-8282			AM ECON REV	Am. Econ. Rev.	SEP	1927	17	3					520	521						2	Economics	Social Science Citation Index (SSCI)	Business & Economics	V48ID					2022-12-18	WOS:000203265900049
J	Angell, JW				Angell, James W.			Critical Contribution to the Theory of International Trade	AMERICAN ECONOMIC REVIEW			English	Book Review																		WEIGMANN H, 1926, KRITISCHER BEITRAG T	1	0	0	0	0	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA	0002-8282			AM ECON REV	Am. Econ. Rev.	SEP	1927	17	3					488	489						2	Economics	Social Science Citation Index (SSCI)	Business & Economics	V48ID					2022-12-18	WOS:000203265900010
J	Berman, E				Berman, Edward			Employee stock ownership in the United States	AMERICAN ECONOMIC REVIEW			English	Book Review																		Dietel, 1926, EMPLOYEE STOCK OWNER	1	0	0	0	0	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA	0002-8282			AM ECON REV	Am. Econ. Rev.	SEP	1927	17	3					534	535						2	Economics	Social Science Citation Index (SSCI)	Business & Economics	V48ID					2022-12-18	WOS:000203265900061
J	Burleigh, NG				Burleigh, N. G.			Scientific Foundations of Business Administration	AMERICAN ECONOMIC REVIEW			English	Book Review																		METCALF HC, 1926, SCI FDN BUSINESS ADM	1	0	0	0	0	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA	0002-8282			AM ECON REV	Am. Econ. Rev.	SEP	1927	17	3					514	516						3	Economics	Social Science Citation Index (SSCI)	Business & Economics	V48ID					2022-12-18	WOS:000203265900041
J	Catlin, WB				Catlin, Warren B.			Some Problems of Wages and Their Regulation in Great Britain since 1918	AMERICAN ECONOMIC REVIEW			English	Book Review																		Fisher A., 1926, SOME PROBLEMS WAGES	1	0	0	0	0	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA	0002-8282			AM ECON REV	Am. Econ. Rev.	SEP	1927	17	3					529	531						3	Economics	Social Science Citation Index (SSCI)	Business & Economics	V48ID					2022-12-18	WOS:000203265900057
J	Clemen, RA				Clemen, Rudolf A.			American Pork Production in the World War	AMERICAN ECONOMIC REVIEW			English	Book Review									Armours Livestock Bur, Chicago, IL USA									Surface F. M., 1926, AM PORK PRODUCTION W	1	0	0	0	0	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA	0002-8282			AM ECON REV	Am. Econ. Rev.	SEP	1927	17	3					503	506						4	Economics	Social Science Citation Index (SSCI)	Business & Economics	V48ID					2022-12-18	WOS:000203265900027
J	Conant, L				Conant, Luther, Jr.			Security speculation: the dazzling adventure. A statistical study of the gainful possibilities of two important types of stock market operation	AMERICAN ECONOMIC REVIEW			English	Book Review																		SLOAN L, 1926, SECURITY SPECULATION	1	0	0	0	0	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA	0002-8282			AM ECON REV	Am. Econ. Rev.	SEP	1927	17	3					524	524						1	Economics	Social Science Citation Index (SSCI)	Business & Economics	V48ID					2022-12-18	WOS:000203265900054
