PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	OZGA, SA				OZGA, SA			TARIFFS AND THE BALANCE OF PAYMENTS	QUARTERLY JOURNAL OF ECONOMICS			English	Article																		LERNER, 1936, ECONOMICA, V3, P306; MEADE, 1949, ECONOMICA, V16, P305; METZLER, 1949, J POLITICAL EC, V57, P1; MOSAK JL, 1942, STUDIES MATH EC EC; SCITOVSZKY, 1942, REV ECON STUD, V9, P89; 1956, ECONOMICA, V23, P128	6	2	2	0	0	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142	0033-5533			Q J ECON	Q. J. Econ.		1957	71	4					630	638		10.2307/1885714	http://dx.doi.org/10.2307/1885714			9	Economics	Social Science Citation Index (SSCI)	Business & Economics	CGK68					2022-12-18	WOS:A1957CGK6800007
J	VILLARD, HH				VILLARD, HH			INVESTMENT CRITERIA, PRODUCTIVITY, AND ECONOMIC-DEVELOPMENT - COMMENT	QUARTERLY JOURNAL OF ECONOMICS			English	Article																		Galenson W, 1955, Q J ECON, V69, P343, DOI 10.2307/1885846	1	2	2	0	0	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142	0033-5533			Q J ECON	Q. J. Econ.		1957	71	3					470	471		10.2307/1884670	http://dx.doi.org/10.2307/1884670			2	Economics	Social Science Citation Index (SSCI)	Business & Economics	CGK67					2022-12-18	WOS:A1957CGK6700007
J	WELLISZ, SH				WELLISZ, SH			THE COEXISTENCE OF LARGE AND SMALL FIRMS - A STUDY OF THE ITALIAN MECHANICAL INDUSTRIES	QUARTERLY JOURNAL OF ECONOMICS			English	Article																		Ellis HS, 1940, AM ECON REV, V30, P27; GUZZI M, 1955, PRODUZIONE MOTOCICLI; KINDLEBERGER CP, 1952, ITALIAN TAX SYSTEM; RADAR, 1948, ORG CAPITALE FINANZI; *US BUR CENS, 1947 CENS MAN, V1	5	2	2	0	0	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142	0033-5533			Q J ECON	Q. J. Econ.		1957	71	1					116	131		10.2307/1882299	http://dx.doi.org/10.2307/1882299			16	Economics	Social Science Citation Index (SSCI)	Business & Economics	CGK65					2022-12-18	WOS:A1957CGK6500007
J	SHEAHAN, J				SHEAHAN, J			INTEGRATION AND EXCLUSION IN THE TELEPHONE EQUIPMENT INDUSTRY	QUARTERLY JOURNAL OF ECONOMICS			English	Article																		ADELMAN M, 1951 BUS PRACT FED A, P136; ALBERT AL, 1943, FUNDAMENTALS TELEPHO, P155; BAIN, 1954, AM EC REV, V44, P15; CLARK P, 1950, THESIS HARVARD U, P74; *FED COMM COMM, STAT COMM IND; GLOVER JG, 1951, DEV AM IND, pCH30; *MA DEP PUBL UT, INV DEP RAT STRUCT N; MACLAURIN WR, 1950, AM EC REV, V40, P97; MACLAURIN WR, 1950, AM EC REV, V40, P110; MILLER KB, 1933, TELEPHONE THEORY PRA, V2, P45; *NAT ASS RAILR UT, REP OP RES W EL CO I, P22; PURVES TF, 1925, J IEE, V63, P617; SIMPSON FR, J LAND PUBLIC UTILIT, V13, P331; SMITH ED, 1941, TELEPHONE RATE CASE, P128; WOOD L, 1944, PATENTS ANTITRUST LA, P128; 1956, NY TIMES        0125; 1948, NACA B, V30, P163	17	2	2	0	0	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142	0033-5533			Q J ECON	Q. J. Econ.		1956	70	2					249	269		10.2307/1884267	http://dx.doi.org/10.2307/1884267			21	Economics	Social Science Citation Index (SSCI)	Business & Economics	CGK62					2022-12-18	WOS:A1956CGK6200004
J	Leibenstein, H				Leibenstein, Harvey			THE PROPORTIONALITY CONTROVERSY AND THE THEORY OF PRODUCTION	QUARTERLY JOURNAL OF ECONOMICS			English	Article																			0	2	2	0	0	M I T PRESS	CAMBRIDGE	238 MAIN STREET, STE 500, CAMBRIDGE, MA 02142-1046 USA	0033-5533			Q J ECON	Q. J. Econ.	NOV	1955	69	4					619	625		10.2307/1881998	http://dx.doi.org/10.2307/1881998			7	Economics	Social Science Citation Index (SSCI)	Business & Economics	V76JV					2022-12-18	WOS:000205163100008
J	Baster, J				Baster, James			RECENT LITERATURE ON THE ECONOMIC DEVELOPMENT OF BACKWARD AREAS	QUARTERLY JOURNAL OF ECONOMICS			English	Article																		Frankel Sally Herbert, 1953, EC IMPACT UNDERDEVEL; FURNIVALL JS, 1948, COLONIAL POLICY PRAC, P29; HAYEK FA, 1954, CAPITALISM HIS; LEVY MJ, 1953, COMMUNICATION; NURKSE R, 1952, EC DEV IRAQ; NURKSE R, 1953, PROBLEMS CAPITAL FOR; Rostow W. W., 1952, PROCESS EC GROWTH; SEERS D, 1952, REV EC STUDIES, V53; SPENGLER JJ, 1949, PROBLEMS STUDY EC GR; Staley E., 1954, FUTURE UNDERDEVELOPE; STOLPER WF, 1949, READINGS THEORY INT; *U CHIC RES CTR EC, EC DEV CULTURAL CHAN; VINER J, STUDIES THEORY INT T, P71; Viner Jacob, 1952, INT TRADE EC THEORY; 1946, S AFRICAN J EC   SEP; 1836, PRINCIPLES POLITICAL, pCH1; 1928, EC J             DEC; 1930, WEALTH NATIONS, pR35; PRINCIPLES POLITICAL, pCH1; 1944, S AFRICA J EC    JUN	20	2	2	0	0	M I T PRESS	CAMBRIDGE	238 MAIN STREET, STE 500, CAMBRIDGE, MA 02142-1046 USA	0033-5533			Q J ECON	Q. J. Econ.	NOV	1954	68	4					585	602		10.2307/1881878	http://dx.doi.org/10.2307/1881878			18	Economics	Social Science Citation Index (SSCI)	Business & Economics	V76JM					2022-12-18	WOS:000205162200005
J	Brockie, MD				Brockie, Melvin D.			DEBT MANAGEMENT AND ECONOMIC STABILIZATION	QUARTERLY JOURNAL OF ECONOMICS			English	Article																		ABBOTT CC, 1947, AM ECON REV, V37, P274; Alhadeff DA, 1952, AM ECON REV, V42, P326; Bach GL, 1949, AM ECON REV, V39, P1173; Bach GL, 1947, AM ECON REV, V37, P228; BASTABLE CF, PUBLIC FINANCE, P657; Bernstein PL, 1949, AM ECON REV, V39, P1278; Brockie MD, 1950, ECON J, V60, P292, DOI 10.2307/2227056; Carr HC, 1946, AM ECON REV, V36, P833; Chandler LV, 1949, AM ECON REV, V39, P405; Domar ED, 1944, AM ECON REV, V34, P798; *FED RES SYST BOAR, 24 FED RES SYST BOAR, P6; Friedman M, 1948, AM ECON REV, V38, P245; GOLDENWEISER EA, 1950, AM ECON REV, V40, P396; GOLDENWEISER EA, 1950, AM ECON REV, V40, P392; Hardy CO, 1948, AM ECON REV, V38, P395; HARRIS SE, NATL DEBT NEW EC, P234; KUZNETS S, 1942, AM EC REV 2, V32, P38; LELAND SE, 1944, AM EC REV 2, V34, P121; Lutz FA, 1945, AM ECON REV, V35, P811; MARCUS E, 1948, REV ECON STAT, V30, P226; Mints LW, 1946, REV ECON STATISTICS, V28, P60, DOI 10.2307/1927350; MINTS LW, 1951, AM ECON REV, V41, P191; MITNITZKY M, 1943, AM ECON REV, V33, P35; MOULTON HG, 1943, NEW PHILOS PUBLIC DE, P1; MURPHY HC, 1950, NATL DEBT WAR TRANSI, P285; MUSGRAVE RA, 1949, REV ECON STAT, V31, P27; Musgrave RA, 1953, AM ECON REV, V43, P504; Musgrave RA, 1948, AM ECON REV, V38, P383; PAISH FW, ECONOMICA, V8, P239; PAUL RE, 1947, TAXATION PROSPERITY, P237; PIGOU AC, STUDY PUBLIC FINANCE, P287; Ratchford BU, 1942, AM ECON REV, V32, P451; RATCHFORD BU, 1952, SO EC J, V19, P177; ROBINSON ME, 1922, PUBLIC FINANC, P126; Rosa RV, 1951, REV ECON STAT, V33, P29, DOI 10.2307/1925994; Shoup C, 1943, AM ECON REV, V33, P74; Simmons EC, 1951, SO EC J, V17, P409; Simmons EC, 1951, AM ECON REV, V41, P123; SIMONS HC, 1944, J POLITICAL EC, V52, P358; SPROUL A, 1947, AM ECON REV, V37, P344; STEIN H, 1952, AM ECON REV, V42, P870; SUITER WO, 1946, SO EC J, V13, P53; THOMAS W, 1947, AM ECON REV, V37, P210; WALLICH, 1944, Q J ECON, V59, P78; WALLICH HC, 1946, AM ECON REV, V36, P305; WALLICH HC, 1946, AM ECON REV, V36, P786; Wallich HC, 1953, AM ECON REV, V43, P27; Whittlesey CR, 1946, Q J ECON, V60, P340, DOI 10.2307/1880676; WHITTLESEY CR, 1944, Q J ECON, V58, P559; Willis JB, 1947, AM ECON REV, V37, P216; Woodward DB, 1947, AM ECON REV, V37, P157; 1938, DEBTS RECOVERY, P255; 1946, REV EC STAT, V28, P85	53	2	2	0	0	M I T PRESS	CAMBRIDGE	238 MAIN STREET, STE 500, CAMBRIDGE, MA 02142-1046 USA	0033-5533			Q J ECON	Q. J. Econ.	NOV	1954	68	4					613	628		10.2307/1881880	http://dx.doi.org/10.2307/1881880			16	Economics	Social Science Citation Index (SSCI)	Business & Economics	V76JM					2022-12-18	WOS:000205162200007
J	Karsh, B; London, J				Karsh, Bernard; London, Jack			THE COAL MINERS: A STUDY OF UNION CONTROL	QUARTERLY JOURNAL OF ECONOMICS			English	Article																		Baldwin GB, 1953, Q J ECON, V67, P576, DOI 10.2307/1883603; COLEMAN M, MEN COAL; FISHER WE, COLLECTIVE BARGAININ, pCH5; HERBERG W, 1943, ANTIOCH REV       FA, V3; HUDSON HD, 1952, PROGR MINE WORKERS A; KOPALD S, 1938, REBELLION LABOR UNIO; LILIENTHAL DM, 1952 M SOC SOC UNPUB; MICHELS R, 1948, POLITICAL PARTIES; ROE W, 1948, JUGGERNAUT AM LABOR; SEIDMAN J, 1952, PUBLIC OPINION Q, V15; WARNE FJ, TRADE UNIONISM LABOR, P14; Wechsler James A., 1944, LABOR BARON PORTRAIT; P 35 CONST CONV, V1, P71; 1948, P 40 CONV, P301; 1936, P 34 CONV, P122; 1944, P 38 CONV, P301	16	2	2	0	0	M I T PRESS	CAMBRIDGE	238 MAIN STREET, STE 500, CAMBRIDGE, MA 02142-1046 USA	0033-5533			Q J ECON	Q. J. Econ.	AUG	1954	68	3					415	436		10.2307/1881971	http://dx.doi.org/10.2307/1881971			22	Economics	Social Science Citation Index (SSCI)	Business & Economics	V76JL					2022-12-18	WOS:000205162100005
J	Keyes, LS				Keyes, Lucile Sheppard			THE SHOE MACHINERY CASE AND THE PROBLEM OF THE GOOD TRUST	QUARTERLY JOURNAL OF ECONOMICS			English	Article																		CHAMBERLIN E, 1954, MONOPOLY COMPETITION; EDWARDS CD, MAINTAINING COMPETIT, P123; Handler M, 1932, COLUMBIA LAW REV, V32, P179, DOI 10.2307/1114745; KEYES LS, 1951, FEDERAL CONTROL ENTR; Mason ES, 1937, YALE LAW J, V47, P34, DOI 10.2307/791816; Mason ES, 1949, HARVARD LAW REV, V62, P1265, DOI 10.2307/1336466; MASON ES, 1937, YALE LAW J, V47, P26; Mason ES, 1949, HARVARD LAW REV, V62, P1267; Rostow EV, 1947, U CHICAGO LAW REV, V14, P567, DOI 10.2307/1597208; ROSTOW EV, 1947, U CHICAGO LAW REV, V14, P574; TRIFFIN R, MONOPOLISTIC COMPETI	11	2	2	0	0	M I T PRESS	CAMBRIDGE	238 MAIN STREET, STE 500, CAMBRIDGE, MA 02142-1046 USA	0033-5533			Q J ECON	Q. J. Econ.	MAY	1954	68	2					287	304		10.2307/1884451	http://dx.doi.org/10.2307/1884451			18	Economics	Social Science Citation Index (SSCI)	Business & Economics	V76JI					2022-12-18	WOS:000205161800008
J	Oxenfeldt, AR; van den Haag, E				Oxenfeldt, Alfred R.; van den Haag, Ernest			UNEMPLOYMENT IN PLANNED AND CAPITALIST ECONOMIES	QUARTERLY JOURNAL OF ECONOMICS			English	Article									New York Univ, W Hempstead, NY USA									BAYKOV A, 1947, DEV SOVIET EC SYSTEM, P166; BIENSTOCK, 1944, MANAGEMENT RUSSIAN I, P64; DOBB M, 1948, SOVIET EC DEV SINCE, P237; HOOVER CB, 1948, J POLITICAL EC   OCT, P392; MALENKOV, 1953, NY TIMES        0810, P6; MALENKOV, COMMUNICATION; SCHWARTZ H, 1952, NY TIMES        0804; 1952, CURRENT DIGEST  1108, P5; 1953, NY TIMES        0327; 1953, NY TIMES        0418; 1953, PRAVDA          0416; 1953, CURRENT DIGEST  0523, P33	12	2	2	0	0	M I T PRESS	CAMBRIDGE	238 MAIN STREET, STE 500, CAMBRIDGE, MA 02142-1046 USA	0033-5533			Q J ECON	Q. J. Econ.	FEB	1954	68	1					43	60		10.2307/1881917	http://dx.doi.org/10.2307/1881917			18	Economics	Social Science Citation Index (SSCI)	Business & Economics	V76JH					2022-12-18	WOS:000205161700003
