PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	RALLINGS, CS				RALLINGS, CS			CORRELATES OF INFLUENCE IN LOCAL-GOVERNMENT - EXPLORATORY INVESTIGATION	BRITISH JOURNAL OF POLITICAL SCIENCE			English	Note									UNIV ESSEX,DEPT GOVT,COLCHESTER CO4 3SQ,ESSEX,ENGLAND	University of Essex								[Anonymous], 1950, AM SOCIOL REV; BARBER JD, 1967, POWER COMMITTEES; BARBER JD, 1965, LAWMAKERS; BEALEY F, 1965, CONSTITUENCY POLITIC, pCH17; BLONDEL J, 1969, VOTERS PARTIES LEADE, P133; GIBB CA, 1969, LEADERSHIP; Heclo H., 1969, PUBLIC ADM, V47, P185, DOI DOI 10.1111/J.1467-9299.1969.TB01146.X; HOLLANDER EP, 1964, LEADERS GROUPS INFLU, P91; JACKSON RM, 1965, MACHINERY LOCAL GOVE, P76; Matthews David R., 1954, SOCIAL BACKGROUND PO; Prewitt Kenneth, 1970, RECRUITMENT POLITICA; REES AM, 1964, TOWN COUNCILLORS STU; ROSE R, 1970, PEOPLE POLITICS, P112; SHARPE LJ, 1962, BRIT J SOCIOL, V13, P189, DOI 10.2307/587265; SPENCER P, 1971, COUNCILS ACTION CAMB, V6, P179; *UK OFF POP CENS S, 1970, CLASS OCC 1970; Verba S, 1961, SMALL GROUPS POLITIC	17	0	0	0	0	CAMBRIDGE UNIV PRESS	NEW YORK	40 WEST 20TH STREET, NEW YORK, NY 10011-4211	0007-1234			BRIT J POLIT SCI	Br. J. Polit. Sci.		1976	6	JUL					356	364		10.1017/S0007123400000752	http://dx.doi.org/10.1017/S0007123400000752			9	Political Science	Social Science Citation Index (SSCI)	Government & Law	BZ686					2022-12-18	WOS:A1976BZ68600007
J	WILSON, DJ; PINTODUSCHINSKY, M				WILSON, DJ; PINTODUSCHINSKY, M			CONSERVATIVE CITY MACHINES - END OF AN ERA	BRITISH JOURNAL OF POLITICAL SCIENCE			English	Note									CITY LEICESTER POLYTECH,LEICESTER LE1 9BH,ENGLAND; BRUNEL UNIV,LONDON,ENGLAND; PEMBROKE COLL,OXFORD,ENGLAND	De Montfort University; Brunel University								BEER SH, 1965, MODERN BRIT PARTIES; BUTLER DE, 1971, BRIT GENERAL ELECTIO, P285; CANN ED, 1966, COMMUNICATION    DEC; Crossman RHS., 1963, ENGLISH CONSTITUTION; HOWARD A, 1964, NEW STATESMAN   0731, P138; LLOYD S, 1963, SELWYN LLOYD REPORT, P9; McKenzie R., 1963, BRIT POLITICAL PARTI; NICHOLAS HG, 1951, BRIT GENERAL ELECTIO, P25; PINTODUSCHINSKY M, 1972, POLIT STUD-LONDON, V20, P1, DOI 10.1111/j.1467-9248.1972.tb00693.x; Ranney Austin, 1965, PATHWAYS PARLIAMENT; Rush M., 1969, SELECTION PARLIAMENT; TRETHOWAN, 1967, CONSERVATIVE AGE SEP; TRETHOWAN I, 1967, TIMES           0729; WILSON DJ, 1975, POWER PARTY BUREAUCR, pCH6	14	0	0	0	1	CAMBRIDGE UNIV PRESS	NEW YORK	40 WEST 20TH STREET, NEW YORK, NY 10011-4211	0007-1234			BRIT J POLIT SCI	Br. J. Polit. Sci.		1976	6	APR					239	244		10.1017/S000712340000065X	http://dx.doi.org/10.1017/S000712340000065X			6	Political Science	Social Science Citation Index (SSCI)	Government & Law	BR973					2022-12-18	WOS:A1976BR97300007
J	ALEXANDE.A				ALEXANDE.A			LOCAL POLITICS AND DECISION-MAKING - HYPOTHESIS-GENERATING CASE STUDY	BRITISH JOURNAL OF POLITICAL SCIENCE			English	Note									UNIV READING,DEPT POLITICS,READING,ENGLAND	University of Reading								ALEXANDER A, 1970, ANNUAL M CANADIAN PO; Alexander Alan, 1972, LAKEHEAD U REV, V5, P38; ARTHUR E, 1968, LAKEHEAD U REV, V1, P1; BELKNAP G, 1965, PUBLIC OPINION QUART, V20, P72; BUDGE I, 1972, POLITICAL STRATIFICA; BUDGE I, 1972, BELFAST APPROACH CRI; Crain Robert L, 1969, POLITICS COMMUNITY C; Dahl R.A., 1961, WHO GOVERNS; FELDMAN LD, 1972, POLITICS GOVERNMENT, P139; FRIEDRICH CJ, 1937, CONSTITUTIONAL GOVER; GREGORY R, 1968, POLITICAL STUDIES, V17, P31; Jennings M. Kent, 1964, COMMUNITY INFLUENTIA; LIJPHART A, 1971, AM POLIT SCI REV, V65, P682, DOI 10.2307/1955513; MILBRATH L, 1965, POLITICAL PARTICIPAT, pCH5; PITKIN HF, 1967, CONCEPT REPRESENTATI, P168; PRESTHUS R, 1964, MEN TOP; PREWITT K, 1969, WESTERN POLIT QUART, V22, P298, DOI 10.2307/446999; PREWITT K, 1971, J POLIT, V33, P293, DOI 10.2307/2128727; Prewitt Kenneth, 1970, RECRUITMENT POLITICA; SHARPE LJ, 1962, BRIT J SOCIOL, V13, P189, DOI 10.2307/587265; SIGEL RS, 1965, WESTERN POLIT QUART, V18, P881, DOI 10.2307/445892; STEWART FA, 1949, SOCIOMETRY, V10, P11; WILDAVSKY, 1964, LEADERSHIP SMALL TOW, P49	23	0	0	0	3	CAMBRIDGE UNIV PRESS	NEW YORK	40 WEST 20TH STREET, NEW YORK, NY 10011-4211	0007-1234			BRIT J POLIT SCI	Br. J. Polit. Sci.		1975	5	JAN					112	123		10.1017/S0007123400008073	http://dx.doi.org/10.1017/S0007123400008073			12	Political Science	Social Science Citation Index (SSCI)	Government & Law	V5037					2022-12-18	WOS:A1975V503700006
J	CORNFORD, J				CORNFORD, J			FIERY CHARIOT	BRITISH JOURNAL OF POLITICAL SCIENCE			English	Note									UNIV EDINBURGH,EDINBURGH,SCOTLAND	University of Edinburgh								BERRINGTON, 1974, BRIT J POLIT SCI, V4, P345	1	0	0	0	0	CAMBRIDGE UNIV PRESS	NEW YORK	40 WEST 20TH STREET, NEW YORK, NY 10011-4211	0007-1234			BRIT J POLIT SCI	Br. J. Polit. Sci.		1975	5	OCT					509	509		10.1017/S0007123400008346	http://dx.doi.org/10.1017/S0007123400008346			1	Political Science	Social Science Citation Index (SSCI)	Government & Law	AU920					2022-12-18	WOS:A1975AU92000006
J	DOWSE, RE				DOWSE, RE			REFLECTIONS ON A FIERY CHARIOT	BRITISH JOURNAL OF POLITICAL SCIENCE			English	Note									UNIV EXETER,EXETER,ENGLAND	University of Exeter								BERRINGTON, 1974, BRIT J POLIT SCI, V4, P345; IREMONGER L, FIERY CHARIOT STUDY	2	0	0	1	1	CAMBRIDGE UNIV PRESS	NEW YORK	40 WEST 20TH STREET, NEW YORK, NY 10011-4211	0007-1234			BRIT J POLIT SCI	Br. J. Polit. Sci.		1975	5	OCT					507	509						3	Political Science	Social Science Citation Index (SSCI)	Government & Law	AU920					2022-12-18	WOS:A1975AU92000005
J	GREENSTEIN, FI				GREENSTEIN, FI			CORRECTION	BRITISH JOURNAL OF POLITICAL SCIENCE			English	Correction, Addition																		GREENSTEIN FI, 1974, BRIT J POLIT SCI, V4, P257, DOI 10.1017/S0007123400009558	1	0	0	0	0	CAMBRIDGE UNIV PRESS	NEW YORK	40 WEST 20TH STREET, NEW YORK, NY 10011-4211	0007-1234			BRIT J POLIT SCI	Br. J. Polit. Sci.		1975	5	OCT					519	520		10.1017/S0007123400008371	http://dx.doi.org/10.1017/S0007123400008371			2	Political Science	Social Science Citation Index (SSCI)	Government & Law	AU920					2022-12-18	WOS:A1975AU92000009
J	HOPE, K				HOPE, K			CREWES TEST OF EMBOURGEOISEMENT THESIS	BRITISH JOURNAL OF POLITICAL SCIENCE			English	Note									NUFFIELD COLL,OXFORD,ENGLAND	University of Oxford									0	0	0	0	0	CAMBRIDGE UNIV PRESS	NEW YORK	40 WEST 20TH STREET, NEW YORK, NY 10011-4211	0007-1234			BRIT J POLIT SCI	Br. J. Polit. Sci.		1975	5	APR					256	258		10.1017/S0007123400008164	http://dx.doi.org/10.1017/S0007123400008164			3	Political Science	Social Science Citation Index (SSCI)	Government & Law	AA711					2022-12-18	WOS:A1975AA71100006
J	MINNS, R				MINNS, R			POLICY ANALYSIS - NOTE OF DISBELIEF	BRITISH JOURNAL OF POLITICAL SCIENCE			English	Note									CTR ENVIRONM STUDIES,LONDON,ENGLAND									ALFORD RR, 1973, COMP URBAN RES, V3, P5; Dye Th., 1972, UNDERSTANDING PUBLIC; GLYN A, 1972, BRIT WORKERS CAPITAL; Hall P., 1973, CONTAINMENT URBAN EN, V2; Hall P., 1973, CONTAINMENT URBAN EN, V1; KING A, 1972, STUDYING IMPACTS PUB; SCARROW HA, 1972, BRIT J POLIT SCI, V2, P261, DOI 10.1017/S000712340000867X; SCHAEFER GF, 1974, POLICY POLIT, V2, P331, DOI 10.1332/030557374783219790	8	0	0	0	0	CAMBRIDGE UNIV PRESS	NEW YORK	40 WEST 20TH STREET, NEW YORK, NY 10011-4211	0007-1234			BRIT J POLIT SCI	Br. J. Polit. Sci.		1975	5	JUL					389	390		10.1017/S0007123400008255	http://dx.doi.org/10.1017/S0007123400008255			2	Political Science	Social Science Citation Index (SSCI)	Government & Law	AL307					2022-12-18	WOS:A1975AL30700006
J	NEWTON, K				NEWTON, K			AMERICAN DEMOCRACY RECONSIDERED - SOME COMMENTS	BRITISH JOURNAL OF POLITICAL SCIENCE			English	Note									NUFFIELD COLL,OXFORD,ENGLAND	University of Oxford								Adrian CR, 1952, AM POLIT SCI REV, V46, P766, DOI 10.2307/1952283; ANTON TJ, 1963, ADMIN SCI Q, V7, P448; BANFIELD EC, 1963, CITY POLITICS, P110; BANFIELD EC, 1966, BIG CITY POLITICS, P84; DAHL RA, 1961, WHO GOVERNS, P229; DYE TR, 1969, POLITICS STATES COMM, P276; KAPLAN H, 1967, URBAN POLITICAL SYST, P32; LINEBERRY RL, 1967, AM POLIT SCI REV, V61, P701, DOI 10.2307/1976089; LOCKARD D, 1970, POLITICS STATE LOCAL, pR7; Lowi Theodore J., 1969, END LIBERALISM; MCCONNELL G, 1967, PRIVATE POWER AM DEM; PRESTHUS R, 1964, MEN TOP; SALISBURY R, 1963, AM POLITICAL SCIENCE, V62, P587; Sayre W.S., 1960, GOVERNING NEW YORK C; SMITH C, 1972, VOLUNTARY ASSOCIATIO, pR7; STEPHENS GR, 1971, FUTURE DIRECTIONS CO, P135; WILLIAMS OP, 1971, METROPOLITAN POLITIC, P51; WILLIAMS OP, 1959, AM POLITICAL SCIENCE, V53, P587	18	0	0	0	0	CAMBRIDGE UNIV PRESS	NEW YORK	40 WEST 20TH STREET, NEW YORK, NY 10011-4211	0007-1234			BRIT J POLIT SCI	Br. J. Polit. Sci.		1975	5	JAN					123	128		10.1017/S0007123400008085	http://dx.doi.org/10.1017/S0007123400008085			6	Political Science	Social Science Citation Index (SSCI)	Government & Law	V5037					2022-12-18	WOS:A1975V503700007
J	WAGSTAFF, P				WAGSTAFF, P			REMARK ON SIMILARITY CONDITIONS	BRITISH JOURNAL OF POLITICAL SCIENCE			English	Note									UNIV SOUTHAMPTON,DEPT ECON,SOUTHAMPTON,ENGLAND	University of Southampton								Buck R., 1965, ADV CALCULUS; KRAMER GH, 1973, ECONOMETRICA, V41, P285, DOI 10.2307/1913490; WAGSTAFF P, TO BE PUBLISHED	3	0	0	0	0	CAMBRIDGE UNIV PRESS	NEW YORK	40 WEST 20TH STREET, NEW YORK, NY 10011-4211	0007-1234			BRIT J POLIT SCI	Br. J. Polit. Sci.		1975	5	JUL					391	392		10.1017/S0007123400008267	http://dx.doi.org/10.1017/S0007123400008267			2	Political Science	Social Science Citation Index (SSCI)	Government & Law	AL307					2022-12-18	WOS:A1975AL30700007
