PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Mecklin, JM				Mecklin, John M.			Psychology and Sacraments	AMERICAN JOURNAL OF SOCIOLOGY			English	Book Review																		CARTER FC, 1934, PSYCHOL SACRAMENTS	1	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9602			AM J SOCIOL	Am. J. Sociol.	MAR	1937	42	5					754	754		10.1086/217557	http://dx.doi.org/10.1086/217557			1	Sociology	Social Science Citation Index (SSCI)	Sociology	V73YQ					2022-12-18	WOS:000204998800023
J	Petrovic, A				Petrovic, Alexander			THE GYPSY IN A NON-GYPSY ECONOMY	AMERICAN JOURNAL OF SOCIOLOGY			English	Letter									Cent Inst Hyg, Belgrad, Yugoslavia									PETROVIC A, 1935, J GIPSY LORE SOC, V14, P21; PETROVIC A, 1936, J GIPSY LORE SOC, V15, P21; 1936, AM J SOCIOLOGY, V42, P358; 1937, J GIPSY LORE SOC, V16	4	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9602	1537-5390		AM J SOCIOL	Am. J. Sociol.	MAR	1937	42	5					710	713		10.1086/217548	http://dx.doi.org/10.1086/217548			4	Sociology	Social Science Citation Index (SSCI)	Sociology	V73YQ					2022-12-18	WOS:000204998800008
J	Pierson, D				Pierson, Donald			Brazil: A Study of Economic Types	AMERICAN JOURNAL OF SOCIOLOGY			English	Book Review																		Normano J, 1935, BRAZIL STUDY EC TYPE	1	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9602			AM J SOCIOL	Am. J. Sociol.	MAR	1937	42	5					763	763		10.1086/217562	http://dx.doi.org/10.1086/217562			1	Sociology	Social Science Citation Index (SSCI)	Sociology	V73YQ					2022-12-18	WOS:000204998800028
J	Redfield, MP				Redfield, Margaret Park			Woman's Mysteries, Ancient and Modern	AMERICAN JOURNAL OF SOCIOLOGY			English	Book Review																		Harding Mary Esther, 1935, WOMANS MYSTERIES ANC	1	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9602			AM J SOCIOL	Am. J. Sociol.	MAR	1937	42	5					763	763		10.1086/217563	http://dx.doi.org/10.1086/217563			1	Sociology	Social Science Citation Index (SSCI)	Sociology	V73YQ					2022-12-18	WOS:000204998800029
J	Redfield, R				Redfield, Robert			Manus Religion: An Ethnological Study of the Manus Natives of the Admiralty Islands	AMERICAN JOURNAL OF SOCIOLOGY			English	Book Review																		Fortune Reo, 1965, MANUS RELIG	1	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9602			AM J SOCIOL	Am. J. Sociol.	MAR	1937	42	5					760	761		10.1086/217560	http://dx.doi.org/10.1086/217560			2	Sociology	Social Science Citation Index (SSCI)	Sociology	V73YQ					2022-12-18	WOS:000204998800026
J	Reed, JP				Reed, J. Paul			Militarism in Japan	AMERICAN JOURNAL OF SOCIOLOGY			English	Book Review																		COLEGROVE KW, 1936, MILITARISM JAPAN	1	0	0	0	1	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9602			AM J SOCIOL	Am. J. Sociol.	MAR	1937	42	5					771	771		10.1086/217576	http://dx.doi.org/10.1086/217576			1	Sociology	Social Science Citation Index (SSCI)	Sociology	V73YQ					2022-12-18	WOS:000204998800043
J	Reuter, EB				Reuter, E. B.			Principles and Laws of Sociology	AMERICAN JOURNAL OF SOCIOLOGY			English	Book Review																		PHELPS HA, 1936, PRINCIPLES LAWS SOCI	1	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9602			AM J SOCIOL	Am. J. Sociol.	MAR	1937	42	5					743	744		10.1086/217550	http://dx.doi.org/10.1086/217550			2	Sociology	Social Science Citation Index (SSCI)	Sociology	V73YQ					2022-12-18	WOS:000204998800015
J	Reuter, EB				Reuter, E. B.			Sex and Personality	AMERICAN JOURNAL OF SOCIOLOGY			English	Book Review																		Terman L. M., 1936, SEX PERSONALITY	1	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9602			AM J SOCIOL	Am. J. Sociol.	MAR	1937	42	5					753	754		10.1086/217556	http://dx.doi.org/10.1086/217556			2	Sociology	Social Science Citation Index (SSCI)	Sociology	V73YQ					2022-12-18	WOS:000204998800022
J	Taylor, PS				Taylor, Paul S.			The Russians in Hollywood: A Study in Culture Conflict	AMERICAN JOURNAL OF SOCIOLOGY			English	Book Review																		DAY GM, 1934, RUSSIANS HOLLYWOOD S	1	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9602			AM J SOCIOL	Am. J. Sociol.	MAR	1937	42	5					762	762		10.1086/217561	http://dx.doi.org/10.1086/217561			1	Sociology	Social Science Citation Index (SSCI)	Sociology	V73YQ					2022-12-18	WOS:000204998800027
J	Wallis, WD				Wallis, W. D.			Culture Element Distributions, vol 1, The Structure of California Indian Culture	AMERICAN JOURNAL OF SOCIOLOGY			English	Book Review																		KLIMEK S, 1935, CULTURE ELEMENT DIST, V1	1	0	0	0	0	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0002-9602			AM J SOCIOL	Am. J. Sociol.	MAR	1937	42	5					756	760		10.1086/217559	http://dx.doi.org/10.1086/217559			5	Sociology	Social Science Citation Index (SSCI)	Sociology	V73YQ					2022-12-18	WOS:000204998800025
