PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Gendler, N; Haley, D; Thomson, L; Stansbury, K				Gendler, N; Haley, D; Thomson, L; Stansbury, K			Effects of stress, cortisol, and gender on spatial learning in toddlers	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract									Univ New Mexico, Albuquerque, NM 87131 USA	University of New Mexico									0	0	0	0	0	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2000				S		68B	55	55						1	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Neurosciences & Neurology; Psychology	292UQ					2022-12-17	WOS:000085813800215
J	Genkinger, B; Pulvermuller, F; Ehlert, C; Elbert, T				Genkinger, B; Pulvermuller, F; Ehlert, C; Elbert, T			Evidence for contributions of the right frontal lobe to action verb processing: Single case and group data	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract									Univ Konstanz, D-7750 Constance, Germany	University of Konstanz			Elbert, Thomas/C-8556-2009	Elbert, Thomas/0000-0003-1332-4939					0	0	0	0	0	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2000				S		48E	116	116						1	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Neurosciences & Neurology; Psychology	292UQ					2022-12-17	WOS:000085813800535
J	Georgopoulos, AP				Georgopoulos, AP			Brain mechanisms of praxis	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract									Univ Minnesota, Sch Med, Minneapolis, MN 55455 USA	University of Minnesota System; University of Minnesota Twin Cities									0	0	0	0	0	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2000				S			13	13						1	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Neurosciences & Neurology; Psychology	292UQ					2022-12-17	WOS:000085813800016
J	Girasa, K; Sitnikova, T; Holcomb, PJ				Girasa, K; Sitnikova, T; Holcomb, PJ			Early occurrence of the N400 under conditions of limited target-word range	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract									Tufts Univ, Medford, MA 02155 USA	Tufts University									0	0	0	0	0	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2000				S		78E	122	122						1	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Neurosciences & Neurology; Psychology	292UQ					2022-12-17	WOS:000085813800565
J	Glucroft, B; McCloskey, M				Glucroft, B; McCloskey, M			A dissociation between integrating and remembering visuo-spatial information	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract									Johns Hopkins Univ, Baltimore, MD USA	Johns Hopkins University									0	0	0	0	0	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2000				S		20C	69	69						1	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Neurosciences & Neurology; Psychology	292UQ					2022-12-17	WOS:000085813800282
J	Godbout, L; Fortin, S				Godbout, L; Fortin, S			The scripting of activities of daily living in traumatic brain-injured patients: Shallice's model revisited	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract									Univ Quebec, Trois Rivieres, PQ GA9 5H7, Canada	University of Quebec; University of Quebec Trois Rivieres									0	0	0	0	0	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2000				S		14E	110	110						1	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Neurosciences & Neurology; Psychology	292UQ					2022-12-17	WOS:000085813800501
J	Goffaux, V; Schiltz, C; Collard, A; Bruyer, R; Crommelinck, M				Goffaux, V; Schiltz, C; Collard, A; Bruyer, R; Crommelinck, M			Fast perceptual learning in orientation discrimination: An ERP study.	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract									Catholic Univ Louvain, B-3000 Louvain, Belgium	Universite Catholique Louvain									0	0	0	0	2	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2000				S		85A	35	35						1	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Neurosciences & Neurology; Psychology	292UQ					2022-12-17	WOS:000085813800114
J	Goldberg, MC; Landa, R				Goldberg, MC; Landa, R			Language and memory impairment in autism	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract									Johns Hopkins Univ, Sch Med, Baltimore, MD 21218 USA	Johns Hopkins University									0	0	0	0	2	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2000				S		69D	99	99						1	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Neurosciences & Neurology; Psychology	292UQ					2022-12-17	WOS:000085813800449
J	Gonsalves, B; Paller, KA				Gonsalves, B; Paller, KA			Memories can deceive: Brain potentials distinguish between true and false memories.	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract									Northwestern Univ, Evanston, IL 60208 USA	Northwestern University			Paller, Ken/M-2676-2019						0	0	0	0	3	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2000				S		48F	138	138						1	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Neurosciences & Neurology; Psychology	292UQ					2022-12-17	WOS:000085813800650
J	Gore, CL; Rodriguez, DD; Baylis, GC				Gore, CL; Rodriguez, DD; Baylis, GC			Effect of lesions of the parietal lobe on attention and intention	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract									Univ S Carolina, Columbia, SC 29208 USA; Univ Georgia, Athens, GA 30602 USA	University of South Carolina; University of South Carolina System; University of South Carolina Columbia; University System of Georgia; University of Georgia				BAYLIS, Gordon/0000-0002-4223-9074					0	0	0	0	0	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2000				S		98C	83	83						1	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Neurosciences & Neurology; Psychology	292UQ					2022-12-17	WOS:000085813800360
