PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	HOCHMUTH, MS				HOCHMUTH, MS			INTERNATIONAL PRODUCTION AND THE MULTINATIONAL-ENTERPRISE - DUNNING,JH	JOURNAL OF INTERNATIONAL BUSINESS STUDIES			English	Book Review																		Dunning J., 1981, INT PRODUCTION MULTI	1	0	0	0	5	JOURNAL INT BUSINESS STUDIES	LONDON	UNIV WESTERN ONTARIO, RICHARD IVEY SCHOOL BUSINESS, LONDON ON N6A 3K7, CANADA	0047-2506			J INT BUS STUD	J. Int. Bus. Stud.		1985	16	1					171	173		10.1057/jibs.1985.12	http://dx.doi.org/10.1057/jibs.1985.12			3	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	ANV17					2022-12-18	WOS:A1985ANV1700010
J	VIKSNINS, GJ				VIKSNINS, GJ			BUSINESS TECHNOLOGICAL DYNAMICS IN NEWLY INDUSTRIALIZING ASIA - TING,WL	JOURNAL OF INTERNATIONAL BUSINESS STUDIES			English	Book Review											VIKSNINS, GJ (corresponding author), GEORGETOWN UNIV,WASHINGTON,DC 20057, USA.							TING W, 1985, BUSINESS TECHNOLOGIC	1	0	0	0	2	JOURNAL INT BUSINESS STUDIES	LONDON	UNIV WESTERN ONTARIO, RICHARD IVEY SCHOOL BUSINESS, LONDON ON N6A 3K7, CANADA	0047-2506			J INT BUS STUD	J. Int. Bus. Stud.		1985	16	2					163	165		10.1057/jibs.1985.30	http://dx.doi.org/10.1057/jibs.1985.30			3	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	ARN97					2022-12-18	WOS:A1985ARN9700012
J	WELLS, LT				WELLS, LT			INDUSTRIAL-POLICIES - INTERNATIONAL RESTRUCTURING AND TRANS-NATIONAL - BEHRMAN,JN	JOURNAL OF INTERNATIONAL BUSINESS STUDIES			English	Book Review											WELLS, LT (corresponding author), HARVARD UNIV,GRAD SCH BUSINESS ADM,CAMBRIDGE,MA 02138, USA.							BEHRMAN JN, 1984, IND POLICIES INT RES	1	0	0	0	3	JOURNAL INT BUSINESS STUDIES	LONDON	UNIV WESTERN ONTARIO, RICHARD IVEY SCHOOL BUSINESS, LONDON ON N6A 3K7, CANADA	0047-2506			J INT BUS STUD	J. Int. Bus. Stud.		1985	16	1					179	180		10.1057/jibs.1985.16	http://dx.doi.org/10.1057/jibs.1985.16			2	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	ANV17					2022-12-18	WOS:A1985ANV1700014
J	BODDEWYN, JJ				BODDEWYN, JJ			THE MULTINATIONAL-CORPORATION IN THE 1980S - KINDLEBERGER,CP, AUDRETSCH,DB	JOURNAL OF INTERNATIONAL BUSINESS STUDIES			English	Book Review											BODDEWYN, JJ (corresponding author), CUNY BERNARD M BARUCH COLL,NEW YORK,NY 10010, USA.							KINDLEBERGER CP, 1983, MULTINATIONAL CORPOR	1	0	0	0	2	JOURNAL INT BUSINESS STUDIES	LONDON	UNIV WESTERN ONTARIO, RICHARD IVEY SCHOOL BUSINESS, LONDON ON N6A 3K7, CANADA	0047-2506			J INT BUS STUD	J. Int. Bus. Stud.		1984	15	3					205	206		10.1057/jibs.1984.63	http://dx.doi.org/10.1057/jibs.1984.63			2	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	ALQ03					2022-12-18	WOS:A1984ALQ0300017
J	BURGHER, RS				BURGHER, RS			BUSINESS NEGOTIATIONS WITH THE JAPANESE - TUNG,RL	JOURNAL OF INTERNATIONAL BUSINESS STUDIES			English	Book Review											BURGHER, RS (corresponding author), UNIV GEORGIA,ATHENS,GA 30602, USA.							TUNG RL, 1984, BUSINESS NEGOTIATION	1	0	0	0	3	JOURNAL INT BUSINESS STUDIES	LONDON	UNIV WESTERN ONTARIO, RICHARD IVEY SCHOOL BUSINESS, LONDON ON N6A 3K7, CANADA	0047-2506			J INT BUS STUD	J. Int. Bus. Stud.		1984	15	2					215	216						2	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	ABN95					2022-12-18	WOS:A1984ABN9500026
J	CALDERONROSSELL, JR				CALDERONROSSELL, JR			EXCHANGE-RATE AND TRADE INSTABILITY - CAUSES, CONSEQUENCES, AND REMEDIES - BIGMAN,D, TAYA,T	JOURNAL OF INTERNATIONAL BUSINESS STUDIES			English	Book Review											CALDERONROSSELL, JR (corresponding author), WORLD BANK GRP,WASHINGTON,DC 20433, USA.							BIGMAN D, 1983, EXCHANGE RATE TRADE; BIGMAN D, 1980, FUNCTIONING FLOATING; Giddy, 1978, INT MONEY MARKET; ISARD P, 1978, PRINCETON STUDIES IN, V42; LEVICH RM, 1981, 4 GROUP 30 OCC PAP	5	0	0	1	3	JOURNAL INT BUSINESS STUDIES	LONDON	UNIV WESTERN ONTARIO, RICHARD IVEY SCHOOL BUSINESS, LONDON ON N6A 3K7, CANADA	0047-2506			J INT BUS STUD	J. Int. Bus. Stud.		1984	15	1					185	187		10.1057/jibs.1984.19	http://dx.doi.org/10.1057/jibs.1984.19			3	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	TG139					2022-12-18	WOS:A1984TG13900018
J	GARRETT, JM				GARRETT, JM			WHO AUDITS THE WORLD - TRENDS IN THE WORLDWIDE AUDITING PROFESSION - BAVISHI,VB, WYMAN,HE	JOURNAL OF INTERNATIONAL BUSINESS STUDIES			English	Book Review											GARRETT, JM (corresponding author), INST NUCL POWER OPERAT INC,ATLANTA,GA 30339, USA.							BAVISHI VB, 1983, WHO AUDITS WORLD TRE	1	0	0	0	2	JOURNAL INT BUSINESS STUDIES	LONDON	UNIV WESTERN ONTARIO, RICHARD IVEY SCHOOL BUSINESS, LONDON ON N6A 3K7, CANADA	0047-2506			J INT BUS STUD	J. Int. Bus. Stud.		1984	15	1					192	193		10.1057/jibs.1984.23	http://dx.doi.org/10.1057/jibs.1984.23			2	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	TG139					2022-12-18	WOS:A1984TG13900022
J	GOLDSTUCKER, JL				GOLDSTUCKER, JL			A THEORY OF MULTINATIONAL-ENTERPRISE - HENNART,JF	JOURNAL OF INTERNATIONAL BUSINESS STUDIES			English	Book Review											GOLDSTUCKER, JL (corresponding author), GEORGIA STATE UNIV,ATLANTA,GA 30303, USA.							Hennart J.F.M.A, 1982, THEORY MULTINATIONAL	1	0	0	0	2	JOURNAL INT BUSINESS STUDIES	LONDON	UNIV WESTERN ONTARIO, RICHARD IVEY SCHOOL BUSINESS, LONDON ON N6A 3K7, CANADA	0047-2506			J INT BUS STUD	J. Int. Bus. Stud.		1984	15	3					201	202		10.1057/jibs.1984.61	http://dx.doi.org/10.1057/jibs.1984.61			2	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	ALQ03					2022-12-18	WOS:A1984ALQ0300015
J	HOCHMUTH, MS				HOCHMUTH, MS			ROBOTS IN MANUFACTURING - KEY TO INTERNATIONAL COMPETITIVENESS - BARANSON,J	JOURNAL OF INTERNATIONAL BUSINESS STUDIES			English	Book Review											HOCHMUTH, MS (corresponding author), ECOLE SUPER COMMERCE PARIS,PARIS,FRANCE.							BARANSON J, 1983, ROBOTS MANUFACTURING	1	0	0	0	3	JOURNAL INT BUSINESS STUDIES	LONDON	UNIV WESTERN ONTARIO, RICHARD IVEY SCHOOL BUSINESS, LONDON ON N6A 3K7, CANADA	0047-2506			J INT BUS STUD	J. Int. Bus. Stud.		1984	15	1					190	192		10.1057/jibs.1984.22	http://dx.doi.org/10.1057/jibs.1984.22			3	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	TG139					2022-12-18	WOS:A1984TG13900021
J	KENDALL, CL				KENDALL, CL			THE FALSE PROMISE OF THE JAPANESE MIRACLE - SETHI,SP, NAMIKI,N, SWANSON,CL	JOURNAL OF INTERNATIONAL BUSINESS STUDIES			English	Book Review											KENDALL, CL (corresponding author), UNIV N CAROLINA, CHAPEL HILL, NC 27514 USA.							Sethi S. P., 1984, FALSE PROMISE JAPANE	1	0	0	0	2	PALGRAVE MACMILLAN LTD	BASINGSTOKE	BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE RG21 6XS, HANTS, ENGLAND	0047-2506	1478-6990		J INT BUS STUD	J. Int. Bus. Stud.		1984	15	3					203	204		10.1057/jibs.1984.62	http://dx.doi.org/10.1057/jibs.1984.62			2	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	ALQ03					2022-12-18	WOS:A1984ALQ0300016
