PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Hathaway, A; Reinke, K				Hathaway, Andrew; Reinke, Karen			NEURAL PROCESSING OF MALE AND FEMALE FEARFUL FACES IN A SPATIAL ATTENTION MODULATION TASK	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract	20th Annual Meeting of the Cognitive-Neuroscience-Society	APR 13-16, 2013	San Francisco, CA	Cognit Neuroscience Soc					[Hathaway, Andrew; Reinke, Karen] Univ Illinois, Springfield, IL USA	University of Illinois System; University of Illinois Springfield									0	0	0	0	2	MIT PRESS	CAMBRIDGE	55 HAYWARD STREET, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2013				S			211	212						2	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI); Conference Proceedings Citation Index - Science (CPCI-S)	Neurosciences & Neurology; Psychology	118MV					2022-12-17	WOS:000317030501182
J	Hawco, C; Armony, J; Berlim, M; Pike, B; Lepage, M				Hawco, Colin; Armony, Jorge; Berlim, Marcelo; Pike, Bruce; Lepage, Martin			TIME-VARYING THE ONSET OF TMS STIMULATION DURING CONCURRENT TMS-FMRI: A METHOD FOR HIGH TEMPORAL RESOLUTION EXPLORATIONS OF THE INTERACTIONS BETWEEN BRAIN REGIONS	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract	20th Annual Meeting of the Cognitive-Neuroscience-Society	APR 13-16, 2013	San Francisco, CA	Cognit Neuroscience Soc					[Hawco, Colin; Armony, Jorge; Berlim, Marcelo; Lepage, Martin] McGill Univ, Douglas Mental Hlth Univ Inst, Montreal, PQ H3A 2T5, Canada; [Pike, Bruce] McGill Univ, Montreal Neurol Inst, Montreal, PQ H3A 2T5, Canada	McGill University; McGill University			Pike, Bruce/K-5562-2014	Pike, Bruce/0000-0001-8924-683X					0	0	0	0	2	MIT PRESS	CAMBRIDGE	55 HAYWARD STREET, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2013				S			230	230						1	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI); Conference Proceedings Citation Index - Science (CPCI-S)	Neurosciences & Neurology; Psychology	118MV					2022-12-17	WOS:000317030501272
J	Hawkins, CA; Rendon, LC; Westerberg, CE				Hawkins, Chris A.; Rendon, Lauren C.; Westerberg, Carmen E.			CONTRIBUTIONS OF SLEEP-DEPENDENT MEMORY CONSOLIDATION TO REALITY MONITORING	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract	20th Annual Meeting of the Cognitive-Neuroscience-Society	APR 13-16, 2013	San Francisco, CA	Cognit Neuroscience Soc					[Hawkins, Chris A.; Rendon, Lauren C.; Westerberg, Carmen E.] Texas State Univ, San Marcos, TX 78666 USA	Texas State University System; Texas State University San Marcos									0	0	0	0	0	MIT PRESS	CAMBRIDGE	55 HAYWARD STREET, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2013				S			110	111						2	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI); Conference Proceedings Citation Index - Science (CPCI-S)	Neurosciences & Neurology; Psychology	118MV					2022-12-17	WOS:000317030500418
J	Haxby, J				Haxby, James			DISTRIBUTED REPRESENTATION IN THE HUMAN VISUAL SYSTEM	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract	20th Annual Meeting of the Cognitive-Neuroscience-Society	APR 13-16, 2013	San Francisco, CA	Cognit Neuroscience Soc					[Haxby, James] Dartmouth Coll, Hanover, NH 03755 USA	Dartmouth College									0	0	0	0	4	MIT PRESS	CAMBRIDGE	55 HAYWARD STREET, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2013				S			19	20						2	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI); Conference Proceedings Citation Index - Science (CPCI-S)	Neurosciences & Neurology; Psychology	118MV					2022-12-17	WOS:000317030500014
J	Hayward, D; Ristic, J				Hayward, Dana; Ristic, Jelena			EFFECTS OF ALERTNESS AND TEMPORAL PREPARATION ON INHIBITION OF RETURN	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract	20th Annual Meeting of the Cognitive-Neuroscience-Society	APR 13-16, 2013	San Francisco, CA	Cognit Neuroscience Soc					[Hayward, Dana; Ristic, Jelena] McGill Univ, Montreal, PQ H3A 2T5, Canada	McGill University									0	0	0	0	2	MIT PRESS	CAMBRIDGE	55 HAYWARD STREET, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2013				S			181	181						1	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI); Conference Proceedings Citation Index - Science (CPCI-S)	Neurosciences & Neurology; Psychology	118MV					2022-12-17	WOS:000317030501038
J	Hegarty, JP; Ferguson, BJ; Zamzow, RM; Christ, SE; Mazurek, MO; Beversdorf, DQ				Hegarty, John P., II; Ferguson, Brad J.; Zamzow, Rachel M.; Christ, Shawn E.; Mazurek, Micah O.; Beversdorf, David Q.			CORTICAL NETWORK FLEXIBILITY DURING ADMINISTRATION OF BETA-ADRENERGIC ANTAGONISTS: AN AUTISM SPECTRUM DISORDER STUDY	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract	20th Annual Meeting of the Cognitive-Neuroscience-Society	APR 13-16, 2013	San Francisco, CA	Cognit Neuroscience Soc					[Hegarty, John P., II; Ferguson, Brad J.; Zamzow, Rachel M.; Christ, Shawn E.; Mazurek, Micah O.; Beversdorf, David Q.] Univ Missouri, Columbia, MO 65211 USA	University of Missouri System; University of Missouri Columbia			Mazurek, Micah/ABE-8748-2020; Ferguson, Bradley/AAD-2704-2020; Beversdorf, David Q./M-2786-2016; Mazurek, Micah/AAR-6192-2020; Ferguson, Bradley/AAB-7478-2020	Ferguson, Bradley/0000-0002-1636-7849; Beversdorf, David Q./0000-0002-0298-0634; Mazurek, Micah/0000-0001-7715-6538; Ferguson, Bradley/0000-0002-1636-7849					0	0	0	0	0	MIT PRESS	CAMBRIDGE	55 HAYWARD STREET, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2013				S			97	98						2	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI); Conference Proceedings Citation Index - Science (CPCI-S)	Neurosciences & Neurology; Psychology	118MV					2022-12-17	WOS:000317030500355
J	Heinks, T; Steinlin, M; Leibundgut, K				Heinks, Theda; Steinlin, Maja; Leibundgut, Kurt			ATTENTION AND LONG-TERM MEMORY PROBLEMS IN CHILDREN WITH BRAIN TUMORS BEFORE AND AFTER MEDICAL INTERVENTION	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract	20th Annual Meeting of the Cognitive-Neuroscience-Society	APR 13-16, 2013	San Francisco, CA	Cognit Neuroscience Soc					[Heinks, Theda; Steinlin, Maja; Leibundgut, Kurt] Univ Childrens Hosp Berne, Bern, Switzerland; [Heinks, Theda; Steinlin, Maja] Univ Bern, Ctr Cognit Learning & Memory, CH-3012 Bern, Switzerland	University of Bern; University Hospital of Bern; University of Bern									0	0	0	0	1	MIT PRESS	CAMBRIDGE	55 HAYWARD STREET, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2013				S			34	34						1	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI); Conference Proceedings Citation Index - Science (CPCI-S)	Neurosciences & Neurology; Psychology	118MV					2022-12-17	WOS:000317030500056
J	Heisz, J; McIntosh, AR				Heisz, Jennifer; McIntosh, Anthony R.			ADAPTIVE CHANGE IN THE NEURAL DYNAMICS OF OLDER ADULTS IS RELATED TO PHYSICAL EXERCISE	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract	20th Annual Meeting of the Cognitive-Neuroscience-Society	APR 13-16, 2013	San Francisco, CA	Cognit Neuroscience Soc					[Heisz, Jennifer; McIntosh, Anthony R.] Baycrest, Rotman Res Inst, Toronto, ON, Canada; [Heisz, Jennifer; McIntosh, Anthony R.] Univ Toronto, Toronto, ON M5S 1A1, Canada	University of Toronto; University Toronto Affiliates; Baycrest; University of Toronto			Heisz, Jennifer/AAD-9608-2022						0	0	0	0	0	MIT PRESS	CAMBRIDGE	55 HAYWARD STREET, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2013				S			130	130						1	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI); Conference Proceedings Citation Index - Science (CPCI-S)	Neurosciences & Neurology; Psychology	118MV					2022-12-17	WOS:000317030500511
J	Helie, S; Eli, SW; Filoteo, JV; Glass, BD; Maddox, WT				Helie, Sebastien; Eli, Shawn W.; Filoteo, J. Vincent; Glass, Brian D.; Maddox, W. Todd			A COMPUTATIONAL COGNITIVE NEUROSCIENCE MODEL OF CRITERION LEARNING IN RULE-GUIDED BEHAVIOR	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract	20th Annual Meeting of the Cognitive-Neuroscience-Society	APR 13-16, 2013	San Francisco, CA	Cognit Neuroscience Soc					[Helie, Sebastien] Purdue Univ, W Lafayette, IN 47907 USA; [Eli, Shawn W.] Univ Maine, Orono, ME 04469 USA; [Filoteo, J. Vincent] VA San Diego Healthcare Syst, San Diego, CA USA; [Filoteo, J. Vincent] Univ Calif San Diego, San Diego, CA 92103 USA; [Glass, Brian D.] Queen Mary Univ London, London, England; [Maddox, W. Todd] Univ Texas Austin, Austin, TX 78712 USA	Purdue University System; Purdue University; Purdue University West Lafayette Campus; University of Maine System; University of Maine Orono; US Department of Veterans Affairs; Veterans Health Administration (VHA); VA San Diego Healthcare System; University of California System; University of California San Diego; University of London; Queen Mary University London; University of Texas System; University of Texas Austin									0	0	0	0	1	MIT PRESS	CAMBRIDGE	55 HAYWARD STREET, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2013				S			230	230						1	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI); Conference Proceedings Citation Index - Science (CPCI-S)	Neurosciences & Neurology; Psychology	118MV					2022-12-17	WOS:000317030501270
J	Henderson, S; Norris, C				Henderson, Sarah; Norris, Catherine			CUE-REACTIVITY PREDICTS CHANGES IN SMOKERS' DESIRE TO QUIT	JOURNAL OF COGNITIVE NEUROSCIENCE			English	Meeting Abstract	20th Annual Meeting of the Cognitive-Neuroscience-Society	APR 13-16, 2013	San Francisco, CA	Cognit Neuroscience Soc					[Henderson, Sarah; Norris, Catherine] Dartmouth Coll, Hanover, NH 03755 USA	Dartmouth College									0	0	0	0	2	MIT PRESS	CAMBRIDGE	55 HAYWARD STREET, CAMBRIDGE, MA 02142 USA	0898-929X			J COGNITIVE NEUROSCI	J. Cogn. Neurosci.		2013				S			98	98						1	Neurosciences; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI); Conference Proceedings Citation Index - Science (CPCI-S)	Neurosciences & Neurology; Psychology	118MV					2022-12-17	WOS:000317030500356
