PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	JENSEN, MC				JENSEN, MC			AGENCY COSTS OF FREE CASH FLOW, CORPORATE-FINANCE, AND TAKEOVERS	AMERICAN ECONOMIC REVIEW			English	Article									HARVARD UNIV,SCH BUSINESS,CAMBRIDGE,MA 02138	Harvard University	JENSEN, MC (corresponding author), UNIV ROCHESTER,GRAD SCH MANAGEMENT,MANAGERIAL ECON RES CTR,ROCHESTER,NY 14627, USA.		Jensen, Michael/B-6798-2008	Jensen, Michael/0000-0003-4051-1449				Baker G., 1986, COMPENSATION HIERARC; BRUNER RE, 1985, USE EXCESS CASH DEBT; DEANGELO H, 1984, J LAW ECON, V27, P367, DOI 10.1086/467070; DONALDSON G, 1984, MANAGING CORPORATE W; EASTERBROOK FH, 1984, AM ECON REV, V74, P650; GRIMM WT, 1985, MERGERSTAT REV; JACOBS EA, 1986, AGENCY COST CORPORAT; Jensen M., 1985, RECENT ADV CORPORATE, P93; Jensen M., 1986, 8601 U ROCH MAN EC R; Jensen Michael C., 1985, FINANCIER, V9, P50; LOWENSTEIN L, 1985, COLUMBIA LAW REV, V85, P730, DOI 10.2307/1122333; MCCONNELL JJ, 1986, UNPUB J FINANCIAL EC; Mueller D., 1980, DETERMINANTS EFFECTS; MURPHY KJ, 1985, J ACCOUNT ECON, V7, P11, DOI 10.1016/0165-4101(85)90026-6; Picchi B. J., 1985, STRUCTURE US OIL IND; Rozeff M. S., 1982, J FINANC RES, V3, P249; SMITH CW, 1986, UNPUB J FINANCIAL EC, V15; 1985, I OWNERSHIP TENDER O; 1985, DUNS BUSINESS MO JUL, P44	19	8731	9126	24	562	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203	0002-8282			AM ECON REV	Am. Econ. Rev.	MAY	1986	76	2					323	329						7	Economics	Social Science Citation Index (SSCI)	Business & Economics	C1255					2022-12-18	WOS:A1986C125500066
J	MODIGLIANI, F; MILLER, MH				MODIGLIANI, F; MILLER, MH			THE COST OF CAPITAL, CORPORATION FINANCE AND THE THEORY OF INVESTMENT	AMERICAN ECONOMIC REVIEW			English	Review													Hartveit, Arild/J-1169-2017					ALLEN FB, 1954, ANAL J, V10, P57; Dean J., 1951, CAPITAL BUDGETING; DURAND D, 1952, C RES BUSINESS FINAN, P215; EITEMAN WJ, 1952, ESSAYS BUSINESS FINA, P1; *FED COMM COMM, 1938, PROBL RAT RET PUB UT; GORDON MJ, 1956, MANAGE SCI, V3, P102, DOI 10.1287/mnsc.3.1.102; Graham B., 2009, SECURITY ANAL, V6th ed.,; GUTHMANN G, 1955, CORPORATE FINANCIAL; Hicks J.R., 1946, VALUE CAPITAL; HUNT P, 1954, CASE PROBLEMS FINANC; KEYNES JM, 1936, GENERAL THEORY EMPLO; Lange O., 1944, PRICE FLEXIBILITY EM; LINTNER J, 1956, AM ECON REV, V46, P97; Lutz F., 1951, THEORY INVESTMENT FI; MODIGLIANI F, 1952, C RESEARCH BUSINESS, P263; Morton WA, 1954, AM ECON REV, V44, P440; ROBBINS SM, 1954, MANAGING SECURITIES; ROBERTS HV, 1957, J BUS, V30, P12, DOI 10.1086/294127; SMITH DT, 1952, EFFECTS TAXATION COR; SMITH R, 1955, COST CAPITAL OIL IND; SOMERS HM, 1955, BUFFALO LAW REV, V4, P1; Williams JohnBurr., 1938, THEORY INVESTMENT VA	22	5592	5946	41	403	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203	0002-8282			AM ECON REV	Am. Econ. Rev.		1958	48	3					261	297						37	Economics	Social Science Citation Index (SSCI)	Business & Economics	CAG72					2022-12-18	WOS:A1958CAG7200001
J	Hayek, FA				Hayek, F. A.			THE USE OF KNOWLEDGE IN SOCIETY	AMERICAN ECONOMIC REVIEW			English	Article																		SCHUMPETER J, 1942, CAPITALISM SOCIALISM, P175; 1927, MANUEL EC PURE, P233; 1940, ECONOMICA, V8, P125	3	4792	4896	12	121	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA	0002-8282			AM ECON REV	Am. Econ. Rev.	SEP	1945	35	4					519	530						12	Economics	Social Science Citation Index (SSCI)	Business & Economics	V48MM					2022-12-18	WOS:000203277200001
J	STIGLITZ, JE; WEISS, A				STIGLITZ, JE; WEISS, A			CREDIT RATIONING IN MARKETS WITH IMPERFECT INFORMATION	AMERICAN ECONOMIC REVIEW			English	Article									PRINCETON UNIV,PRINCETON,NJ 08540	Princeton University	STIGLITZ, JE (corresponding author), BELL TEL LABS INC,MURRAY HILL,NJ 07974, USA.							DIAMOND PA, 1974, J ECON THEORY, V8, P337, DOI 10.1016/0022-0531(74)90090-8; FREIMER M, 1965, Q J ECON, V79, P397, DOI 10.2307/1882705; GREENWALD B, 1979, ADVERSE SELECTION LA; GUASCH JL, 1980, REV ECON STUD, V47, P653, DOI 10.2307/2296934; GUASCH JL, UNPUBLISHED; JAFFEE DM, 1976, Q J ECON, V90, P651, DOI 10.2307/1885327; JAFFEE DM, 1971, CREDIT RATIONING COM; Keeton W.R., 1979, EQUILIBRIUM CREDIT R; ORDOVER J, 1981, AM ECON REV, V71, P399; ROTHSCHILD M, 1970, J ECON THEORY, V2, P225, DOI 10.1016/0022-0531(70)90038-4; SHAVELL S, 1979, BELL J ECON, V10, P55, DOI 10.2307/3003319; STIGLER G, 1967, J POLIT EC, V85, P287; STIGLITZ JE, 1972, BELL J ECON, V3, P458, DOI 10.2307/3003033; STIGLITZ JE, 1976, OXFORD ECON PAP, V28, P185, DOI 10.1093/oxfordjournals.oep.a041340; STIGLITZ JE, 1974, REV ECON STUD, V41, P219, DOI 10.2307/2296714; STIGLITZ JE, 1975, BELL J ECON, V6, P552, DOI 10.2307/3003243; STIGLITZ JE, 1980, CREDIT RATIONING M 2; STIGLITZ JE, 1970, DEC NEW ORL M EC SOC; STIGLITZ JE, IMSSS212 STANF U TEC; WEISS A, 1980, J POLIT ECON, V88, P526, DOI 10.1086/260884; WEISS AM, 1976, THESIS STANFORD U; WILSON C, 1980, BELL J ECON, V11, P108, DOI 10.2307/3003403	22	4772	4996	30	320	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203	0002-8282			AM ECON REV	Am. Econ. Rev.		1981	71	3					393	410						18	Economics	Social Science Citation Index (SSCI)	Business & Economics	LU031					2022-12-18	WOS:A1981LU03100011
J	ALCHIAN, AA; DEMSETZ, H				ALCHIAN, AA; DEMSETZ, H			PRODUCTION, INFORMATION COSTS, AND ECONOMIC ORGANIZATION	AMERICAN ECONOMIC REVIEW			English	Article									UNIV CALIF,LOS ANGELES,CA 90024	University of California System; University of California Los Angeles			Cardoso, André L. J./E-1841-2012; Henrich, Joseph/A-2403-2009	Cardoso, André L. J./0000-0002-6213-8123; 				CANES M, 1970, THESIS UCLA; Cheung S.N., 1969, THEORY SHARE TENANCY; Coase RH, 1937, ECONOMICA-NEW SER, V4, P386, DOI 10.1111/j.1468-0335.1937.tb00002.x; FUROBOTN E, 1970, Z NATIONALOKONOMIE, V30, P431; Knight F. H., 1965, RISK UNCERTAINTY PRO; MACAULAY S, 1968, AM SOCIOLOGICAL REV, V28, P55; MALMGREN HB, 1961, QUART J ECON, V75; PEJOVICH S, 1969, WESTERN ECON J, V7, P193; SILVER M, 1969, J BUS, V42, P277, DOI 10.1086/295195; Stigler G.J., 1952, READINGS PRICE THEOR; THOMPSON EA, 1970, REV ECON STAT, V52, P395, DOI 10.2307/1926316	11	4682	4812	10	234	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203	0002-8282			AM ECON REV	Am. Econ. Rev.		1972	62	5					777	795						19	Economics	Social Science Citation Index (SSCI)	Business & Economics	O2957					2022-12-18	WOS:A1972O295700001
J	Kuznets, S				Kuznets, Simon			ECONOMIC GROWTH AND INCOME INEQUALITY	AMERICAN ECONOMIC REVIEW			English	Article																		Bowley A.L, 1920, ELEMENTS STAT, V4th; CLARK C, 1951, CONDITIONS EC PROGR, P316; Clark Colin, 1937, NATL INCOME OUTLAY, P109; Goldsmith S, 1954, REV ECON STAT, V36, P1, DOI 10.2307/1924874; KUZNETS S, 1953, SHARES UPPER GROUPS, P220; MUKHERJEE M, 1951, INT STAT C 3, P49; *NW HARR FDN I U C, 1954, REG EC TREN IN PRESS; PROKOPOVICH, 1926, ECON J, V36, P69; PROKOPOVICH S, 1920, NATL INCOME W EUROPE; SEERS D, 1951, LEVELLING INCOME 193, P39; *UN, 1951, NAT INC ITS DISTR E, P19; WOYTINSKY ES, 1953, WORLD POPULATION PRO, P709; 1952, AM EC REV P, V42, P507; 1932, EINZELSCHRIFT STAT D; 1953, INCOME DISTRIBUTION	15	4548	4770	15	240	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA	0002-8282			AM ECON REV	Am. Econ. Rev.	MAR	1955	45	1					1	28						28	Economics	Social Science Citation Index (SSCI)	Business & Economics	V48QG					2022-12-18	WOS:000203287000001
J	Acemoglu, D; Johnson, S; Robinson, JA				Acemoglu, D; Johnson, S; Robinson, JA			The colonial origins of comparative development: An empirical investigation	AMERICAN ECONOMIC REVIEW			English	Article							PROPERTY-RIGHTS; ECONOMIC-GROWTH; CORRUPTION; ALLOCATION; TALENT	We exploit differences in European mortality rates to estimate the effect of institutions on economic performance. Europeans adopted very different colonization policies in different colonies, with different associated institutions. In places where Europeans faced high mortality rates, they, could not settle and were more likely to set up extractive institutions. These institutions persisted to the present. Exploiting differences in European mortality rates as an instrument for current institutions, we estimate large effects of institutions on income per capita. Once the effect of institutions is controlled for, countries in Africa or those closer to the equator do not have lower incomes.	MIT, Dept Econ, Cambridge, MA 02319 USA; MIT, Alfred P Sloan Sch Management, Cambridge, MA 02139 USA; Univ Calif Berkeley, Dept Polit Sci, Berkeley, CA 94720 USA; Univ Calif Berkeley, Dept Econ, Berkeley, CA 94720 USA	Massachusetts Institute of Technology (MIT); Massachusetts Institute of Technology (MIT); University of California System; University of California Berkeley; University of California System; University of California Berkeley	Acemoglu, D (corresponding author), MIT, Dept Econ, ES-380B, Cambridge, MA 02319 USA.							Acemoglu D, 1998, ECON J, V108, P1381, DOI 10.1111/1468-0297.00347; ACEMOGLU D, 1995, EUR ECON REV, V39, P17, DOI 10.1016/0014-2921(94)00014-Q; Acemoglu D., 2000, NATL BUREAU EC RES W, V7771; ACEMOGLU D, 2001, NATL BUREAU EC RES W, V8460; ALTONJI J, 2000, UNPUB SELECTION OBSE; Anderson Kevin B, 2010, MARX MARGINS NATIONA; [Anonymous], 1980, ESSENTIAL MALARIOLOG; [Anonymous], 1984, STATE SOC STRUGGLE Z; Bates R.H., 1983, ESSAYS POLITICAL EC; BERTOCCHI G, 1996, 1444 CTR EC RES; BESLEY T, 1995, J POLIT ECON, V103, P903, DOI 10.1086/262008; Bloom DE, 1998, BROOKINGS PAP ECO AC, P207, DOI 10.2307/2534695; Boone Catherine, 1992, MERCHANT CAPITAL ROO; BOUND J, 1995, J AM STAT ASSOC, V90, P443, DOI 10.2307/2291055; Cain Peter J., 1993, BRIT IMPERIALISM 168; COATSWORTH J, 1982, ESSAYS POLITICAL EC, P25; Coatsworth J.H., 1999, LATIN AM WORLD EC 18, P23; COATSWORTH JH, 1978, AM HIST REV, V83, P80, DOI 10.2307/1865903; COPLIN WD, 1991, BUSINESS GUIDE POLIT; Crosby Alfred., 1986, ECOLOGICAL IMPERIALI, DOI DOI 10.1017/CBO9780511805554; Crowder M., 1968, W AFRICA COLONIAL RU; Curtin P, 1995, AFRICAN HIST EARLIES; CURTIN PD, 1968, POLITICAL SCI Q, V83, P181; Curtin Philip, 1964, IMAGE AFRICA; Curtin Philip D., 1989, DEATH MIGRATION EURO; Curtin Philip D., 1998, DIS EMPIRE HLTH EURO; Davis L., 1987, MAMMON PURSUIT EMPIR; Denoon Donald, 1983, SETTLER CAPITALISM D; Diamond J., 1997, RUZHYA MIKROBY STALI; Dunn RichardS., 1972, SUGAR SLAVES RISE PL; Easterly W, 1997, Q J ECON, V112, P1203, DOI 10.1162/003355300555466; Eltis David, 2000, RISE AFRICAN SLAVERY; Engerman S. L., 1997, LATIN AM FELL ESSAYS, P260; ENGERMAN SL, 1998, UNPUB SCH SUFFRAGE P; GALENSON D, 1996, CAMBRIDGE EC HIST US, V1, P135; GALLUP J, 1998, NATL BUREAU EC RES W, V6849; GALLUP JL, 1998, UNPUB EC BURDEN MALA; Gann L, 1962, WHITE SETTLERS TROPI; Gann L. H., 1979, RULERS BELGIAN AFRIC; Gilles HM, 1993, BRUCE CHWATTS ESSENT; Grier RM, 1999, PUBLIC CHOICE, V98, P317, DOI 10.1023/A:1018322908007; GURR TR, 1997, UNPUB POLITY 2 POLIT; Gutierrez H, 1986, Ann Demogr Hist (Paris), P29; Hall RE, 1999, Q J ECON, V114, P83, DOI 10.1162/003355399555954; Hughes R, 1987, THE FATAL SHORE; JEWSIEWICKI B, 1983, HIST CENTRAL AFRICA, V2, P95; JOHNSON S, 1999, UNPUB PROPERTY RIGHT; Jones Eric L, 1981, EUROPEAN MIRACLE ENV, V3rd; Knack S., 1995, ECON POLIT-OXFORD, V7, P207, DOI [10.1111/j.1468-0343.1995.tb00111.x, DOI 10.1111/J.1468-0343.1995.TB00111.X]; La Porta R, 1999, J LAW ECON ORGAN, V15, P222, DOI 10.1093/jleo/15.1.222; La Porta R, 1998, J POLIT ECON, V106, P1113, DOI 10.1086/250042; Landes D., 1998, WEALTH POVERTY NATIO; Lang J, 1988, CONQUEST COMMERCE SP; LIPSET SM, 1994, AM SOCIOL REV, V59, P1, DOI 10.2307/2096130; Lockhart James, 1983, EARLY LATIN AM; Lynch J, 1986, SPANISH AM REVOLUTIO, V2nd; MANNING P, 1982, SLAVER COLONIALISM E; Manning Patrick, 1988, FRANCOPHONE SUBSAHAR; MAURO P, 1995, Q J ECON, V110, P681, DOI 10.2307/2946696; MAZINGO C, 1999, UNPUB EFFECTS PROPER; MCARTHUR JW, 2001, NATL BUREAU EC RES W, V8114; McCullough David, 1977, PATH SEAS CREATION P, P12; MCEVEDY C, 1975, ATLAS WORLD POPULATI; McNeill William H, 1976, PLAGUES PEOPLES; Montesquieu C., 1989, SPIRIT LAWS; NAJERA JA, 1996, BURDEN MALARIA; North D.C., 1981, STRUCTURE CHANGE EC; North D.C., 1973, NEW EC HIST; NORTH DC, 1998, UNPUB ORDER DISORDER; Oldstone M.B.A., 1998, VIRUSES PLAGUES HIST; PARKER PM, 1997, CROSS CULTURAL STAT, V4; Peemans Jean-Philippe, 1975, COLONIALISM AFRICA 1, V4, P165; Reno William, 1995, CORRUPTION STATE POL; Roberts, 1976, HIST ZAMBIA; Robinson R., 1961, AFRICA VICTORIANS CL; Rodrik D, 1999, J ECON GROWTH, V4, P385, DOI 10.1023/A:1009863208706; Shorter E., 1996, CAMBRIDGE ILLUSTRATE, P118; Turner Thomas, 1985, RISE DECLINE ZAIRIAN; VANHAYEK FA, 1960, CONSTITUTION LIBERTY; Weber E., 1976, PEASANTS FRENCHMEN; Wittfogel Karl, 1957, ORIENTAL DESPOTISM C; Young Crawford, 1994, AFRICAN COLONIAL STA	82	4401	4502	32	904	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA	0002-8282			AM ECON REV	Am. Econ. Rev.	DEC	2001	91	5					1369	1401		10.1257/aer.91.5.1369	http://dx.doi.org/10.1257/aer.91.5.1369			33	Economics	Social Science Citation Index (SSCI)	Business & Economics	502ZN		Bronze			2022-12-18	WOS:000172772800010
J	DIXIT, AK; STIGLITZ, JE				DIXIT, AK; STIGLITZ, JE			MONOPOLISTIC COMPETITION AND OPTIMUM PRODUCT DIVERSITY	AMERICAN ECONOMIC REVIEW			English	Article									UNIV WARWICK,COVENTRY CV4 7AL,WARWICKSHIRE,ENGLAND; STANFORD UNIV,STANFORD,CA 94305	University of Warwick; Stanford University								Bishop Robert L., 1967, MONOPOLISTIC COMPETI; Chamberlin EH, 1950, AM ECON REV, V40, P85; DIAMOND PA, 1974, J PUBL ECON, V82, P1; DIXIT AK, 1975, 64 U WARW EC RES PAP; Green H. A. John., 1964, AGGREGATION EC ANAL; Hotelling H, 1929, ECON J, V39, P41, DOI 10.2307/2224214; KALDOR N, 1934, ECONOMICA, V2, P33; LANCASTER K, 1975, AM ECON REV, V65, P567; SPENCE AM, 1976, REV ECON STUD, V43, P217; STARRETT DA, 1974, J ECON THEORY, V9, P418, DOI 10.1016/0022-0531(74)90044-1; STERN NH, 1972, J ECON THEORY, V4, P159; STIGLITZ JE, 1975, IMSS161 STANF U TECH	12	3341	3470	11	187	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203	0002-8282			AM ECON REV	Am. Econ. Rev.		1977	67	3					297	308						12	Economics	Social Science Citation Index (SSCI)	Business & Economics	DQ795					2022-12-18	WOS:A1977DQ79500003
J	Rajan, RG; Zingales, L				Rajan, RG; Zingales, L			Financial dependence and growth	AMERICAN ECONOMIC REVIEW			English	Article							MARKETS; DIVERSIFICATION	This paper examines whether financial development facilitates economic growth by scrutinizing one rationale for such a relationship: that financial development reduces the costs of external finance to firms. Specifically, we ask whether industrial sectors that are relatively more in need of external finance develop disproportionately faster in countries with more-developed financial markets. We find this to be true in a large sample of countries over the 1980's. We show this result is unlikely to be driven by omitted variables, outliers, or reverse causality.	Univ Chicago, Grad Sch Business, Chicago, IL 60637 USA	University of Chicago	Rajan, RG (corresponding author), Univ Chicago, Grad Sch Business, 1101 E 58th St, Chicago, IL 60637 USA.		Zingales, Luigi/AAY-8081-2020	Zingales, Luigi/0000-0002-6804-1883				BARRO RJ, 1991, Q J ECON, V106, P407, DOI 10.2307/2937943; BARRO RJ, 1993, J MONETARY ECON, V32, P363, DOI 10.1016/0304-3932(93)90023-9; BEKAERT G, 1995, J FINANC, V50, P403, DOI 10.2307/2329414; BENCIVENGA VR, 1991, REV ECON STUD, V58, P195, DOI 10.2307/2297964; Boyd J, 1996, WORLD BANK ECON REV, V10, P371, DOI 10.1093/wber/10.2.371; Cameron R. E., 1967, BANKING EARLY STAGES; Chandler Jr Alfred, 1977, VISIBLE HAND; Demirguc-Kunt A., 1996, FINANCIAL CONSTRAINT; DIAMOND DW, 1989, J POLIT ECON, V97, P828, DOI 10.1086/261630; DORNBUSCH R, 1977, AM ECON REV, V67, P823; EASTERLY W, 1993, J MONETARY ECON, V32, P459, DOI 10.1016/0304-3932(93)90026-C; FELDSTEIN M, 1980, ECON J, V90, P314, DOI 10.2307/2231790; FRENCH KR, 1991, AM ECON REV, V81, P222; Goldsmith R. W., 1985, COMP NATL BALANCE SH; Goldsmith R.W., 1969, FINANCIAL STRUCTURE; GREENWOOD J, 1990, J POLIT ECON, V98, P1076, DOI 10.1086/261720; *INT FIN CORP, EM STOCK MARK FB; *INT MON FUND, INT FIN STAT; Jayaratne J, 1996, Q J ECON, V111, P639, DOI 10.2307/2946668; JENSEN MC, 1976, J FINANC ECON, V3, P305, DOI 10.1016/0304-405X(76)90026-X; KING RG, 1993, J MONETARY ECON, V32, P513, DOI 10.1016/0304-3932(93)90028-E; KLENOW P, 1995, IDEAS RIVAL HUMAN CA; KORMENDI RC, 1985, J MONETARY ECON, V16, P141, DOI 10.1016/0304-3932(85)90027-3; La Porta R., 1996, 5661 NAT BUR EC RES; LEVINE R, 1992, AM ECON REV, V82, P942; Levine R, 1998, AM ECON REV, V88, P537; Levine R, 1997, J ECON LIT, V35, P688; Levine R., 1993, Q J ECON, V108, P713; MANKIW NG, 1992, Q J ECON, V107, P407, DOI 10.2307/2118477; MANKIW NG, 1995, BROOKINGS PAPERS EC, V1, P275, DOI DOI 10.2307/2534576; Mayer C, 1990, ASYMMETRIC INFORM CO, P307; MYERS SC, 1984, J FINANC ECON, V13, P187, DOI 10.1016/0304-405X(84)90023-0; OBSTFELD M, 1994, AM ECON REV, V84, P1310; Petersen MA, 1997, REV FINANC STUD, V10, P661, DOI 10.1093/rfs/10.3.661; RAJAN RG, 1995, J FINANC, V50, P1421, DOI 10.2307/2329322; Robinson J., 1952, RATE INTEREST OTHER; SAINTPAUL G, 1992, EUR ECON REV, V36, P763, DOI 10.1016/0014-2921(92)90056-3; Schumpeter Joseph Alois, 1911, THEORY EC DEV; *STAND POORS, 1994, COMP SERV; *STAND POORS, GLOB VANT; STIGLITZ JE, 1981, AM ECON REV, V71, P393; *UN, 1993, IND STAT YB, V1	42	3012	3083	35	314	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA	0002-8282			AM ECON REV	Am. Econ. Rev.	JUN	1998	88	3					559	586						28	Economics	Social Science Citation Index (SSCI)	Business & Economics	ZW840					2022-12-18	WOS:000074453600013
J	KATZ, ML; SHAPIRO, C				KATZ, ML; SHAPIRO, C			NETWORK EXTERNALITIES, COMPETITION, AND COMPATIBILITY	AMERICAN ECONOMIC REVIEW			English	Article									PRINCETON UNIV,WOODROW WILSON SCH,PRINCETON,NJ 08544	Princeton University	KATZ, ML (corresponding author), PRINCETON UNIV,DEPT ECON,PRINCETON,NJ 08544, USA.		Tavares, António JV/A-7115-2008; Cardoso, André L. J./E-1841-2012	Cardoso, André L. J./0000-0002-6213-8123				Brock G., 1975, REGULATING PRODUCT Q; KATZ ML, 1985, PUBLIC FINANC QUART, V13, P3, DOI 10.1177/109114218501300101; KURDLE RT, 1975, REGULATING PRICE QUA; OREN SS, 1981, BELL J ECON, V12, P467, DOI 10.2307/3003567; SALOP SC, 1983, AM ECON REV, V73, P267; SEADE J, 1983, UNPUB PRICES PROFITS; SPENCE AM, 1975, BELL J ECON, V6, P417, DOI 10.2307/3003237	7	2987	3129	18	280	AMER ECONOMIC ASSOC	NASHVILLE	2014 BROADWAY, STE 305, NASHVILLE, TN 37203	0002-8282			AM ECON REV	Am. Econ. Rev.		1985	75	3					424	440						17	Economics	Social Science Citation Index (SSCI)	Business & Economics	AJH81					2022-12-18	WOS:A1985AJH8100011
