PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	CALKINS, FJ				CALKINS, FJ			CORPORATE FINANCIAL POLICY - GUTHMANN,HG, DOUGALL,HE	JOURNAL OF FINANCE			English	Book Review																		Guthmann H., 1955, CORPORATE FINANCIAL	1	0	0	0	0	BLACKWELL PUBLISHERS	MALDEN	350 MAIN STREET, STE 6, MALDEN, MA 02148	0022-1082			J FINANC	J. Financ.		1956	11	1					90	91		10.2307/2976537	http://dx.doi.org/10.2307/2976537			2	Business, Finance; Economics	Social Science Citation Index (SSCI)	Business & Economics	CGE80					2022-12-18	WOS:A1956CGE8000006
J	CARTER, WA				CARTER, WA			PRINCIPLES OF PUBLIC-FINANCE - DALTON,H	JOURNAL OF FINANCE			English	Book Review																		DALTON H, 1955, PRINCIPLES PUBLIC FI	1	0	0	0	0	BLACKWELL PUBLISHERS	MALDEN	350 MAIN STREET, STE 6, MALDEN, MA 02148	0022-1082			J FINANC	J. Financ.		1956	11	1					108	109		10.2307/2976553	http://dx.doi.org/10.2307/2976553			2	Business, Finance; Economics	Social Science Citation Index (SSCI)	Business & Economics	CGE80		Green Submitted			2022-12-18	WOS:A1956CGE8000022
J	CARTER, WA				CARTER, WA			MODERN LIFE-INSURANCE - A TEXTBOOK OF INCOME INSURANCE - MEHR,RI, OSLER,RW	JOURNAL OF FINANCE			English	Book Review																		Mehr R., 1956, MODERN LIFE INSURANC	1	0	0	0	0	BLACKWELL PUBLISHERS	MALDEN	350 MAIN STREET, STE 6, MALDEN, MA 02148	0022-1082			J FINANC	J. Financ.		1956	11	4					509	510		10.2307/2976672	http://dx.doi.org/10.2307/2976672			2	Business, Finance; Economics	Social Science Citation Index (SSCI)	Business & Economics	CGE83		Green Submitted			2022-12-18	WOS:A1956CGE8300011
J	CASE, FE				CASE, FE			HOUSING TAXATION - MORTON,WA	JOURNAL OF FINANCE			English	Book Review																		MORTON W, 1955, HOUSING TAXATION	1	0	0	0	0	BLACKWELL PUBLISHERS	MALDEN	350 MAIN STREET, STE 6, MALDEN, MA 02148	0022-1082			J FINANC	J. Financ.		1956	11	3					406	407		10.2307/2976615	http://dx.doi.org/10.2307/2976615			2	Business, Finance; Economics	Social Science Citation Index (SSCI)	Business & Economics	CGE82					2022-12-18	WOS:A1956CGE8200022
J	CASE, FE				CASE, FE			LIFE-INSURANCE INVESTMENT IN COMMERCIAL REAL-ESTATE - SNIDER,HW	JOURNAL OF FINANCE			English	Book Review																		SNIDER HW, 1956, LIFE INSURANCE INVES	1	0	0	0	3	BLACKWELL PUBLISHERS	MALDEN	350 MAIN STREET, STE 6, MALDEN, MA 02148	0022-1082			J FINANC	J. Financ.		1956	11	4					515	516		10.2307/2976677	http://dx.doi.org/10.2307/2976677			2	Business, Finance; Economics	Social Science Citation Index (SSCI)	Business & Economics	CGE83		Green Submitted			2022-12-18	WOS:A1956CGE8300017
J	COHEN, JB				COHEN, JB			FLOW OF FUNDS IN THE UNITED-STATES, 1939-1953 - BOARD-GOVERNORS-FED-RESERVE-SYST	JOURNAL OF FINANCE			English	Book Review																		Board of Governors of the Federal Reserve System, 1955, FLOW FUNDS US 1939 1	1	0	0	0	0	BLACKWELL PUBLISHERS	MALDEN	350 MAIN STREET, STE 6, MALDEN, MA 02148	0022-1082			J FINANC	J. Financ.		1956	11	3					401	402		10.2307/2976611	http://dx.doi.org/10.2307/2976611			2	Business, Finance; Economics	Social Science Citation Index (SSCI)	Business & Economics	CGE82					2022-12-18	WOS:A1956CGE8200018
J	COOK, LD				COOK, LD			THE GREAT CRASH 1929 - GALBRAITH,JK	JOURNAL OF FINANCE			English	Book Review																		Galbraith JK, 1955, GREAT CRASH 1929	1	0	0	0	0	BLACKWELL PUBLISHERS	MALDEN	350 MAIN STREET, STE 6, MALDEN, MA 02148	0022-1082			J FINANC	J. Financ.		1956	11	1					100	101		10.2307/2976547	http://dx.doi.org/10.2307/2976547			2	Business, Finance; Economics	Social Science Citation Index (SSCI)	Business & Economics	CGE80					2022-12-18	WOS:A1956CGE8000016
J	DERNBURG, HJ				DERNBURG, HJ			FOREIGN-CAPITAL IN LATIN-AMERICA - UNITED-NATIONS-DEPT-ECON-SOCIAL-AFFAIRS	JOURNAL OF FINANCE			English	Book Review																		*NAT IND C BOARD, 1951, OBST DIR FOR INV; *UN DEP EC SOC AFF, 1955, FOR CAP LAT AM	2	0	0	0	0	BLACKWELL PUBLISHERS	MALDEN	350 MAIN STREET, STE 6, MALDEN, MA 02148	0022-1082			J FINANC	J. Financ.		1956	11	1					94	95		10.2307/2976541	http://dx.doi.org/10.2307/2976541			2	Business, Finance; Economics	Social Science Citation Index (SSCI)	Business & Economics	CGE80					2022-12-18	WOS:A1956CGE8000010
J	DEWEY, LE				DEWEY, LE			FINANCING BUSINESS FIRMS - PRATHER,CL	JOURNAL OF FINANCE			English	Book Review																		PRATHER CL, 1955, FINANCING BUSINESS F	1	0	0	0	0	BLACKWELL PUBLISHERS	MALDEN	350 MAIN STREET, STE 6, MALDEN, MA 02148	0022-1082			J FINANC	J. Financ.		1956	11	1					91	92		10.2307/2976538	http://dx.doi.org/10.2307/2976538			2	Business, Finance; Economics	Social Science Citation Index (SSCI)	Business & Economics	CGE80		Green Submitted			2022-12-18	WOS:A1956CGE8000007
J	DOCKERAY, JC				DOCKERAY, JC			CASES AND PROBLEMS IN INVESTMENTS - CALKINS,FJ	JOURNAL OF FINANCE			English	Book Review																		CALKINS FJ, 1955, CASES PROBLEMS INVES	1	0	0	0	0	BLACKWELL PUBLISHERS	MALDEN	350 MAIN STREET, STE 6, MALDEN, MA 02148	0022-1082			J FINANC	J. Financ.		1956	11	1					96	96		10.2307/2976542	http://dx.doi.org/10.2307/2976542			1	Business, Finance; Economics	Social Science Citation Index (SSCI)	Business & Economics	CGE80					2022-12-18	WOS:A1956CGE8000011
