PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Collins, PH				Collins, Patricia Hill			We Who Are Dark: The Philosophical Foundations of Black Solidarity	SOCIAL FORCES			English	Book Review									[Collins, Patricia Hill] Univ Maryland, College Pk, MD 20742 USA	University System of Maryland; University of Maryland College Park	Collins, PH (corresponding author), Univ Maryland, College Pk, MD 20742 USA.							Shelby Tommie, 2005, WE WHO ARE DARK PHIL	1	0	0	0	2	UNIV NORTH CAROLINA PRESS	CHAPEL HILL	BOX 2288, JOURNALS DEPT, CHAPEL HILL, NC 27515-2288 USA	0037-7732			SOC FORCES	Soc. Forces	SEP	2009	88	1					473	475						3	Sociology	Social Science Citation Index (SSCI)	Sociology	529NB					2022-12-18	WOS:000272523000024
J	Deflem, M				Deflem, Mathieu			Punishment and Culture	SOCIAL FORCES			English	Book Review									[Deflem, Mathieu] Univ S Carolina, Columbia, SC 29208 USA	University of South Carolina; University of South Carolina System; University of South Carolina Columbia	Deflem, M (corresponding author), Univ S Carolina, Columbia, SC 29208 USA.							Smith Philip, 2008, PUNISHMENT CULTURE	1	0	0	0	0	UNIV NORTH CAROLINA PRESS	CHAPEL HILL	BOX 2288, JOURNALS DEPT, CHAPEL HILL, NC 27515-2288 USA	0037-7732			SOC FORCES	Soc. Forces	SEP	2009	88	1					481	482						2	Sociology	Social Science Citation Index (SSCI)	Sociology	529NB					2022-12-18	WOS:000272523000028
J	Desai, S; Ecklund, EH				Desai, Sarah; Ecklund, Elaine Howard			Reason to Believe: Cultural Agency in Latin American Evangelicalism	SOCIAL FORCES			English	Book Review									[Desai, Sarah] SUNY Buffalo, Buffalo, NY 14260 USA; [Ecklund, Elaine Howard] Rice Univ, Houston, TX 77251 USA	State University of New York (SUNY) System; State University of New York (SUNY) Buffalo; Rice University	Desai, S (corresponding author), SUNY Buffalo, Buffalo, NY 14260 USA.							Smilde David, 2007, REASON BELIEVE CULTU	1	0	0	0	1	UNIV NORTH CAROLINA PRESS	CHAPEL HILL	BOX 2288, JOURNALS DEPT, CHAPEL HILL, NC 27515-2288 USA	0037-7732			SOC FORCES	Soc. Forces	SEP	2009	88	1					464	465						2	Sociology	Social Science Citation Index (SSCI)	Sociology	529NB					2022-12-18	WOS:000272523000019
J	Hondagneu-Sotelo, P				Hondagneu-Sotelo, Pierrette			God Needs No Passport: Immigrants and the Changing American Religious Landscape	SOCIAL FORCES			English	Book Review									[Hondagneu-Sotelo, Pierrette] Univ So Calif, Los Angeles, CA 90089 USA	University of Southern California	Hondagneu-Sotelo, P (corresponding author), Univ So Calif, Los Angeles, CA 90089 USA.							LEVITT P, 2007, GOD NEEDS PASSPORT I	1	0	0	0	1	UNIV NORTH CAROLINA PRESS	CHAPEL HILL	BOX 2288, JOURNALS DEPT, CHAPEL HILL, NC 27515-2288 USA	0037-7732			SOC FORCES	Soc. Forces	SEP	2009	88	1					482	484						3	Sociology	Social Science Citation Index (SSCI)	Sociology	529NB					2022-12-18	WOS:000272523000029
J	Hunter, AK				Hunter, Anne K.			Regionalism and the Reading Class	SOCIAL FORCES			English	Book Review									[Hunter, Anne K.] Univ N Carolina, Chapel Hill, NC 27515 USA	University of North Carolina Chapel Hill	Hunter, AK (corresponding author), Univ N Carolina, Chapel Hill, NC 27515 USA.							Griswold Wendy, 2008, REGIONALISM READING	1	0	0	0	0	UNIV NORTH CAROLINA PRESS	CHAPEL HILL	BOX 2288, JOURNALS DEPT, CHAPEL HILL, NC 27515-2288 USA	0037-7732			SOC FORCES	Soc. Forces	SEP	2009	88	1					477	479		10.1353/sof.0.0230	http://dx.doi.org/10.1353/sof.0.0230			3	Sociology	Social Science Citation Index (SSCI)	Sociology	529NB					2022-12-18	WOS:000272523000026
J	Negoita, M				Negoita, Marian			Market Dreams: Gender, Class, and Capitalism in the Czech Republic	SOCIAL FORCES			English	Book Review									[Negoita, Marian] Univ Calif Davis, Davis, CA 95616 USA	University of California System; University of California Davis	Negoita, M (corresponding author), Univ Calif Davis, Davis, CA 95616 USA.							Weiner E., 2007, MARKET DREAMS GENDER	1	0	0	0	0	UNIV NORTH CAROLINA PRESS	CHAPEL HILL	BOX 2288, JOURNALS DEPT, CHAPEL HILL, NC 27515-2288 USA	0037-7732			SOC FORCES	Soc. Forces	SEP	2009	88	1					467	469						3	Sociology	Social Science Citation Index (SSCI)	Sociology	529NB					2022-12-18	WOS:000272523000021
J	Sandefur, RL				Sandefur, Rebecca L.			Judging Juveniles: Prosecuting Adolescents in Adult and Juvenile Courts	SOCIAL FORCES			English	Book Review									[Sandefur, Rebecca L.] Stanford Univ, Stanford, CA 94305 USA	Stanford University	Sandefur, RL (corresponding author), Stanford Univ, Stanford, CA 94305 USA.							*EQ JUST IN, 2007, CRUEL UN SENT 13 14; Kupchik A., 2006, JUDGING JUVENILES PR	2	0	0	0	0	UNIV NORTH CAROLINA PRESS	CHAPEL HILL	BOX 2288, JOURNALS DEPT, CHAPEL HILL, NC 27515-2288 USA	0037-7732			SOC FORCES	Soc. Forces	SEP	2009	88	1					461	462		10.1353/sof.0.0249	http://dx.doi.org/10.1353/sof.0.0249			2	Sociology	Social Science Citation Index (SSCI)	Sociology	529NB					2022-12-18	WOS:000272523000017
J	Scott, JC				Scott, John C.			The Difference: How the Power of Diversity Creates Better Groups, Firms, Schools and Societies	SOCIAL FORCES			English	Book Review									[Scott, John C.] Univ N Carolina, Chapel Hill, NC 27515 USA	University of North Carolina; University of North Carolina Chapel Hill	Scott, JC (corresponding author), Univ N Carolina, Chapel Hill, NC 27515 USA.							Page S., 2007, DIFFERENCE POWER DIV	1	0	0	0	5	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	0037-7732	1534-7605		SOC FORCES	Soc. Forces	SEP	2009	88	1					471	473		10.1353/sof.0.0247	http://dx.doi.org/10.1353/sof.0.0247			3	Sociology	Social Science Citation Index (SSCI)	Sociology	529NB					2022-12-18	WOS:000272523000023
J	Squires, GD				Squires, Gregory D.			Citizens and Paupers: Relief, Rights, and Race, from the Freedman's Bureau to Workfare	SOCIAL FORCES			English	Book Review									[Squires, Gregory D.] George Washington Univ, Washington, DC 20052 USA	George Washington University	Squires, GD (corresponding author), George Washington Univ, Washington, DC 20052 USA.							Goldberg Chad Alan, 2007, CITIZENS PAUPERS REL	1	0	0	0	3	UNIV NORTH CAROLINA PRESS	CHAPEL HILL	BOX 2288, JOURNALS DEPT, CHAPEL HILL, NC 27515-2288 USA	0037-7732			SOC FORCES	Soc. Forces	SEP	2009	88	1					479	481		10.1353/sof.0.0235	http://dx.doi.org/10.1353/sof.0.0235			3	Sociology	Social Science Citation Index (SSCI)	Sociology	529NB					2022-12-18	WOS:000272523000027
J	Ward, J				Ward, Jane			Dude You're a Fag: Masculinity and Sexuality in High School	SOCIAL FORCES			English	Book Review									[Ward, Jane] Univ Calif Riverside, Riverside, CA 92521 USA	University of California System; University of California Riverside	Ward, J (corresponding author), Univ Calif Riverside, Riverside, CA 92521 USA.							Pascoe C., 2007, DUDE YOURE FAG MASCU	1	0	0	0	8	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	0037-7732	1534-7605		SOC FORCES	Soc. Forces	SEP	2009	88	1					484	486						3	Sociology	Social Science Citation Index (SSCI)	Sociology	529NB					2022-12-18	WOS:000272523000030
