PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Sherman, CP				Sherman, Charles P.			The Evolution of the Civil Law	YALE LAW JOURNAL			English	Book Review																		LOBINGIER CS, 1915, EVOLUTION CIVIL LAW	1	0	0	0	0	YALE LAW J CO INC	NEW HAVEN	401-A YALE STATION, NEW HAVEN, CT 06520 USA	0044-0094			YALE LAW J	Yale Law J.	JAN	1917	26	3					254	254		10.2307/786723	http://dx.doi.org/10.2307/786723			1	Law	Social Science Citation Index (SSCI)	Government & Law	V80DK					2022-12-18	WOS:000205416800007
J	Abbot, EV				Abbot, Everett V.			THE JUDICIAL CORRECTION OF JUDICIAL ERRORS	YALE LAW JOURNAL			English	Article																			0	0	0	0	0	YALE LAW J CO INC	NEW HAVEN	401-A YALE STATION, NEW HAVEN, CT 06520 USA	0044-0094			YALE LAW J	Yale Law J.	DEC	1916	26	2					94	104		10.2307/786313	http://dx.doi.org/10.2307/786313			11	Law	Social Science Citation Index (SSCI)	Government & Law	V80DJ		Green Submitted			2022-12-18	WOS:000205416700002
J	Baldwin, SE				Baldwin, Simeon E.			Woma's Suffrage by Constitutional Amendment	YALE LAW JOURNAL			English	Book Review																		TUCKER HS, 1916, WOMAS SUFFRAGE CONST	1	0	0	0	0	YALE LAW J CO INC	NEW HAVEN	401-A YALE STATION, NEW HAVEN, CT 06520 USA	0044-0094			YALE LAW J	Yale Law J.	DEC	1916	26	2					164	166		10.2307/786335	http://dx.doi.org/10.2307/786335			3	Law	Social Science Citation Index (SSCI)	Government & Law	V80DJ		Green Submitted			2022-12-18	WOS:000205416700009
J	Bloomer, AB				Bloomer, Asa B.			APPLICABILITY OF LEX LOCI CONTRACTUS TO DETERMINE STOCKHOLDERS' LIABILITY FOR CORPORATION DEBTS	YALE LAW JOURNAL			English	Article																		BEALE, FOREIGN CORPORATION; HOHFELD WN, COL L REV, V10, P520; HOHFELD WN, COL L REV, V10, P294; HOHFELD WN, COL L REV, V9, P442; HOHFELD WN, COL L REV, V9, P285; HOHFELD WN, COL L REV, V10, P283; COL L REV, V10, P532	7	0	0	0	0	YALE LAW J CO INC	NEW HAVEN	401-A YALE STATION, NEW HAVEN, CT 06520 USA	0044-0094			YALE LAW J	Yale Law J.	DEC	1916	26	2					143	145						3	Law	Social Science Citation Index (SSCI)	Government & Law	V80DJ					2022-12-18	WOS:000205416700005
J	Clark, CE				Clark, Charles E.			Connecticut Compensation Decisions, vol 1	YALE LAW JOURNAL			English	Book Review																		CONNECTICUT COMPENSA, V1	1	0	0	0	0	YALE LAW J CO INC	NEW HAVEN	401-A YALE STATION, NEW HAVEN, CT 06520 USA	0044-0094			YALE LAW J	Yale Law J.	DEC	1916	26	2					167	168		10.2307/786338	http://dx.doi.org/10.2307/786338			2	Law	Social Science Citation Index (SSCI)	Government & Law	V80DJ					2022-12-18	WOS:000205416700012
J	Wurts, J				Wurts, John			A Treatise on Federal Criminal Law Procedure with Forms of Indictment and Writ of Error and the Federal Penal Code, 2nd edition	YALE LAW JOURNAL			English	Book Review																		ATWELL WH, 1916, TREATISE FEDERAL CRI	1	0	0	0	0	YALE LAW J CO INC	NEW HAVEN	401-A YALE STATION, NEW HAVEN, CT 06520 USA	0044-0094			YALE LAW J	Yale Law J.	DEC	1916	26	2					167	167		10.2307/786337	http://dx.doi.org/10.2307/786337			1	Law	Social Science Citation Index (SSCI)	Government & Law	V80DJ		Green Submitted			2022-12-18	WOS:000205416700011
J	[Anonymous]				[Anonymous]			DELIMITATION OF THE STATE POLICE POWER AS TO BUILDING RESTRICTIONS	YALE LAW JOURNAL			English	Article																			0	0	0	0	0	YALE LAW J CO INC	NEW HAVEN	401-A YALE STATION, NEW HAVEN, CT 06520 USA	0044-0094			YALE LAW J	Yale Law J.	DEC	1916	26	2					151	152						2	Law	Social Science Citation Index (SSCI)	Government & Law	V80DJ					2022-12-18	WOS:000205416700008
J	Adams, GB				Adams, George Burton			Magna Carta and Other Addresses	YALE LAW JOURNAL			English	Book Review																		Guthrie William D., 1916, MAGNA CARTA OTHER AD	1	0	0	0	0	YALE LAW J CO INC	NEW HAVEN	401-A YALE STATION, NEW HAVEN, CT 06520 USA	0044-0094			YALE LAW J	Yale Law J.	NOV	1916	26	1					79	80		10.2307/787339	http://dx.doi.org/10.2307/787339			2	Law	Social Science Citation Index (SSCI)	Government & Law	V80DI		Green Submitted			2022-12-18	WOS:000205416600006
J	Clark, CE				Clark, Charles E.			The American Plan of Government	YALE LAW JOURNAL			English	Book Review																		BACON CW, 1916, AM PLAN GOVT	1	0	0	0	0	YALE LAW J CO INC	NEW HAVEN	401-A YALE STATION, NEW HAVEN, CT 06520 USA	0044-0094			YALE LAW J	Yale Law J.	NOV	1916	26	1					82	84		10.2307/787343	http://dx.doi.org/10.2307/787343			3	Law	Social Science Citation Index (SSCI)	Government & Law	V80DI					2022-12-18	WOS:000205416600010
J	Gager, WW				Gager, W. W.			Huddy on Automobiles, 4th edition	YALE LAW JOURNAL			English	Book Review																		JOYCE HC, 1916, HUDDY AUTOMOBILES	1	0	0	0	0	YALE LAW J CO INC	NEW HAVEN	401-A YALE STATION, NEW HAVEN, CT 06520 USA	0044-0094			YALE LAW J	Yale Law J.	NOV	1916	26	1					81	81		10.2307/787341	http://dx.doi.org/10.2307/787341			1	Law	Social Science Citation Index (SSCI)	Government & Law	V80DI					2022-12-18	WOS:000205416600008
