PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Kelly, T; Kurup, VP; Banerjee, B; Choi, H; Xia, JQ; Murali, PS; Kelly, KJ; Fink, JN				Kelly, T; Kurup, VP; Banerjee, B; Choi, H; Xia, JQ; Murali, PS; Kelly, KJ; Fink, JN			Immune response to recombinant Aspergillus fumigatus antigen Asp f 2 in mice	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY			English	Meeting Abstract									Med Coll Wisconsin, VAMC, Milwaukee, WI 53226 USA	Medical College of Wisconsin									0	0	0	0	0	MOSBY-ELSEVIER	NEW YORK	360 PARK AVENUE SOUTH, NEW YORK, NY 10010-1710 USA	0091-6749	1097-6825		J ALLERGY CLIN IMMUN	J. Allergy Clin. Immunol.	JAN	1998	101	1	2			358	S85	S85						1	Allergy; Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Allergy; Immunology	YW339					2022-12-18	WOS:000071924800358
J	Kelso, JM; Helm, RM; Burks, AW				Kelso, JM; Helm, RM; Burks, AW			Common allergens in avian meats.	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY			English	Meeting Abstract									USN, Med Ctr, San Diego, CA 92152 USA; UAMS, Arkansas Childrens Hosp, Little Rock, AR USA	United States Department of Defense; United States Navy; Arkansas Children's Hospital; University of Arkansas System; University of Arkansas Little Rock									0	0	0	0	0	MOSBY-ELSEVIER	NEW YORK	360 PARK AVENUE SOUTH, NEW YORK, NY 10010-1710 USA	0091-6749	1097-6825		J ALLERGY CLIN IMMUN	J. Allergy Clin. Immunol.	JAN	1998	101	1	2			386	S92	S92						1	Allergy; Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Allergy; Immunology	YW339					2022-12-18	WOS:000071924800386
J	Kemp, AS; Hill, DJ; Campbell, DE				Kemp, AS; Hill, DJ; Campbell, DE			Enhanced IL-4 but normal interferon-gamma production in children with isolated IgE-mediated food hypersensitivity.	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY			English	Meeting Abstract									Royal Childrens Hosp, Dept Immunol, Melbourne, Vic, Australia; Royal Childrens Hosp, Dept Allergy, Melbourne, Vic, Australia	Royal Children's Hospital Melbourne; Royal Children's Hospital Melbourne									0	0	0	0	0	MOSBY-ELSEVIER	NEW YORK	360 PARK AVENUE SOUTH, NEW YORK, NY 10010-1710 USA	0091-6749	1097-6825		J ALLERGY CLIN IMMUN	J. Allergy Clin. Immunol.	JAN	1998	101	1	2			1000	S241	S241						1	Allergy; Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Allergy; Immunology	YW339					2022-12-18	WOS:000071924800996
J	Kemp, J; Nelson, H; Bieler, S; Vaughan, L; Hill, M				Kemp, J; Nelson, H; Bieler, S; Vaughan, L; Hill, M			Safety of albuterol sulfate (AS) via spiros (TM) dry powder inhaler (DPI) compared to albuterol (A) via ventolin (TM) metered dose inhaler (MDI) and to placebo over 12 weeks in patients with asthma.	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY			English	Meeting Abstract									Allergy & Asthma Res Ctr, San Diego, CA USA; Natl Jewish Med & Res Ctr, Denver, CO USA; Dura Pharmaceut Inc, San Diego, CA USA	National Jewish Health									0	0	0	0	0	MOSBY-ELSEVIER	NEW YORK	360 PARK AVENUE SOUTH, NEW YORK, NY 10010-1710 USA	0091-6749	1097-6825		J ALLERGY CLIN IMMUN	J. Allergy Clin. Immunol.	JAN	1998	101	1	2			30	S7	S7						1	Allergy; Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Allergy; Immunology	YW339					2022-12-18	WOS:000071924800031
J	Kepley, CL; Pfeiffer, JR; Schwartz, LB; Wilson, BS; Oliver, JM				Kepley, CL; Pfeiffer, JR; Schwartz, LB; Wilson, BS; Oliver, JM			The identification and characterization of umbilical cord blood-derived human basophils.	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY			English	Meeting Abstract									Univ New Mexico, Dept Pathol, Asthma Res Ctr, Albuquerque, NM 87131 USA; Virginia Commonwealth Univ, Med Coll Virginia, Dept Allergy & Rheumatol, Richmond, VA 23298 USA	University of New Mexico; Virginia Commonwealth University									0	0	0	0	0	MOSBY-ELSEVIER	NEW YORK	360 PARK AVENUE SOUTH, NEW YORK, NY 10010-1710 USA	0091-6749	1097-6825		J ALLERGY CLIN IMMUN	J. Allergy Clin. Immunol.	JAN	1998	101	1	2			880	S212	S212						1	Allergy; Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Allergy; Immunology	YW339					2022-12-18	WOS:000071924800879
J	Khalid, V; Chu, CM; Frieri, M				Khalid, V; Chu, CM; Frieri, M			Serum nitric oxide and interleukin-4 levels in patients with rheumatoid arthritis (RA)	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY			English	Meeting Abstract									Nassau Cty Med Ctr, E Meadow, NY 11554 USA										0	0	0	0	0	MOSBY-ELSEVIER	NEW YORK	360 PARK AVENUE SOUTH, NEW YORK, NY 10010-1710 USA	0091-6749	1097-6825		J ALLERGY CLIN IMMUN	J. Allergy Clin. Immunol.	JAN	1998	101	1	2			510	S123	S123						1	Allergy; Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Allergy; Immunology	YW339					2022-12-18	WOS:000071924800510
J	Kharitonov, SA; Sapienza, MA; Barnes, PJ; Chung, KF				Kharitonov, SA; Sapienza, MA; Barnes, PJ; Chung, KF			Prostaglandins E-2 and F-2 alpha reduce exhaled nitric oxide in normal and asthmatic subjects regardless of airway calibre changes	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY			English	Meeting Abstract									Univ London Imperial Coll Sci Technol & Med, Sch Med, London, England; Natl Heart & Lung Inst, London, England	Imperial College London; Imperial College London			Chung, Kian Fan/B-1872-2012	Chung, Kian Fan/0000-0001-7101-1426; Barnes, Peter/0000-0002-5122-4018					0	0	0	0	0	MOSBY-ELSEVIER	NEW YORK	360 PARK AVENUE SOUTH, NEW YORK, NY 10010-1710 USA	0091-6749	1097-6825		J ALLERGY CLIN IMMUN	J. Allergy Clin. Immunol.	JAN	1998	101	1	2			146	S34	S34						1	Allergy; Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Allergy; Immunology	YW339					2022-12-18	WOS:000071924800147
J	Kikuchi, M; Sakai, A; Fushimi, K; Hashimoto, K; Narita, H				Kikuchi, M; Sakai, A; Fushimi, K; Hashimoto, K; Narita, H			Allergen-induced murine skin inflammation using skin chamber: Time course of eosinophil infiltration and cytokine levels.	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY			English	Meeting Abstract									Tanabe Seiyaku Co Ltd, Toda, Saitama, Japan	Mitsubishi Tanabe Pharma Corporation									0	0	0	0	0	MOSBY-ELSEVIER	NEW YORK	360 PARK AVENUE SOUTH, NEW YORK, NY 10010-1710 USA	0091-6749	1097-6825		J ALLERGY CLIN IMMUN	J. Allergy Clin. Immunol.	JAN	1998	101	1	2			152	S35	S35						1	Allergy; Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Allergy; Immunology	YW339					2022-12-18	WOS:000071924800153
J	Kim, HY; Lee, HH; Jeoung, BJ; Kim, KE; Lee, KY				Kim, HY; Lee, HH; Jeoung, BJ; Kim, KE; Lee, KY			Clinical studies of Buckwheat Flour allergy diagnosed by oral challenge test.	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY			English	Meeting Abstract									Yonsei Univ, Coll Med, Seoul, South Korea	Yonsei University; Yonsei University Health System									0	0	0	0	1	MOSBY-ELSEVIER	NEW YORK	360 PARK AVENUE SOUTH, NEW YORK, NY 10010-1710 USA	0091-6749	1097-6825		J ALLERGY CLIN IMMUN	J. Allergy Clin. Immunol.	JAN	1998	101	1	2			370	S88	S88						1	Allergy; Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Allergy; Immunology	YW339					2022-12-18	WOS:000071924800370
J	Kim, KM; Park, BK; Lee, JW; Lee, HS; Noh, GW				Kim, KM; Park, BK; Lee, JW; Lee, HS; Noh, GW			Histamine prick test as a direct indicator of clinical severity in atopic dermatitis	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY			English	Meeting Abstract									Sungkyunkwan Univ, Samsung Cheil Hosp, Coll Med, Seoul, South Korea	Sungkyunkwan University (SKKU)									0	0	0	0	0	MOSBY-ELSEVIER	NEW YORK	360 PARK AVENUE SOUTH, NEW YORK, NY 10010-1710 USA	0091-6749	1097-6825		J ALLERGY CLIN IMMUN	J. Allergy Clin. Immunol.	JAN	1998	101	1	2			819	S199	S199						1	Allergy; Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Allergy; Immunology	YW339					2022-12-18	WOS:000071924800818
