PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Blum, WJ				Blum, Walter J.			Taxation for Prosperity	UNIVERSITY OF CHICAGO LAW REVIEW			English	Book Review																		PAUL RE, 1947, TAXATION PROSPERITY	1	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	JUN	1947	14	4					730	733		10.2307/1597230	http://dx.doi.org/10.2307/1597230			4	Law	Social Science Citation Index (SSCI)	Government & Law	V83WA					2022-12-18	WOS:000205668000011
J	Bogert, GG				Bogert, George G.			Spendthrift Trusts, 2nd edition	UNIVERSITY OF CHICAGO LAW REVIEW			English	Book Review																		GRISWOLD E, 1947, SPENDTHRIFT TRUSTS	1	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	JUN	1947	14	4					726	727		10.2307/1597226	http://dx.doi.org/10.2307/1597226			2	Law	Social Science Citation Index (SSCI)	Government & Law	V83WA					2022-12-18	WOS:000205668000007
J	Bursler, N				Bursler, Norman			There Is No Mystery about Patents	UNIVERSITY OF CHICAGO LAW REVIEW			English	Book Review																		BALLARD WR, 1946, THERE IS MYSTERY PAT; LADAS SP, 1933, ENCY SOC SCI, V12, P24; *NAT ASS MAN, 1946, NAT ASS MAN REV PROP, P45; Petro S, 1944, U CHICAGO LAW REV, V12, P80, DOI 10.2307/1597179; *TNEC, 1941, TNEC MON, V31; *TNEC, 1941, TNEC MON, V31, P136; 1923, ENCY SOC SCI, V12, P24; 1944, U CHI L REV, V12, P352; 1923, ENCY SOC SCI, V12, P23	9	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	JUN	1947	14	4					733	738		10.2307/1597231	http://dx.doi.org/10.2307/1597231			6	Law	Social Science Citation Index (SSCI)	Government & Law	V83WA					2022-12-18	WOS:000205668000012
J	Cohen, MH				Cohen, Milton H.			Corporations	UNIVERSITY OF CHICAGO LAW REVIEW			English	Book Review																		BALLANTINE H, 1946, CORPORATIONS	1	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	JUN	1947	14	4					728	729		10.2307/1597228	http://dx.doi.org/10.2307/1597228			2	Law	Social Science Citation Index (SSCI)	Government & Law	V83WA					2022-12-18	WOS:000205668000009
J	Elson, A				Elson, Alex			Guide to National Labor Relations Act	UNIVERSITY OF CHICAGO LAW REVIEW			English	Book Review																		TUCKER BF, 1947, GUIDE NATL LAB RELAT	1	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	JUN	1947	14	4					727	727		10.2307/1597227	http://dx.doi.org/10.2307/1597227			1	Law	Social Science Citation Index (SSCI)	Government & Law	V83WA		Green Submitted			2022-12-18	WOS:000205668000008
J	Morgenthau, HJ				Morgenthau, Hans J.			The Process of International Arbitration	UNIVERSITY OF CHICAGO LAW REVIEW			English	Book Review																		CARLSTON KENNETH S., 1946, PROCESS INT ARBITRAT	1	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	JUN	1947	14	4					729	730		10.2307/1597229	http://dx.doi.org/10.2307/1597229			2	Law	Social Science Citation Index (SSCI)	Government & Law	V83WA					2022-12-18	WOS:000205668000010
J	Overton, GW				Overton, George W.			Concept of the Corporation	UNIVERSITY OF CHICAGO LAW REVIEW			English	Book Review																		Drucker P.F., 1946, CONCEPT CORPORATION	1	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	JUN	1947	14	4					738	739		10.2307/1597232	http://dx.doi.org/10.2307/1597232			2	Law	Social Science Citation Index (SSCI)	Government & Law	V83WA					2022-12-18	WOS:000205668000013
J	[Anonymous]				[Anonymous]			PROPOSED ILLINOIS STATUTE ON POSSIBILITIES OF REVERTER AND RIGHTS OF ENTRY AS AFFECTING LAND USE POLICY	UNIVERSITY OF CHICAGO LAW REVIEW			English	Article																		BRAKE, 1940, KY LJ, V28, P424; CAREY, 1941, ILLINOIS LAW FUTURE; CLARK, 1941, ABAJ, V27, P737; GOLDSTEIN, 1940, HARV L REV, V54, P248; GOLDSTEIN, 1940, HARVARD LAW REV, V54, P250; GRAY, 1915, RULE PERPETUITIES; MONCHOW, 1928, USE DEED RESTRICTION, P5; SIMES, 1936, LAW FUTURE INTERESTS, V1; SIMES, 1936, LAW FUTURE INTERESTS, V2; TIFFANY, 1939, LAW REAL PROPERTY, V3; TURRENTINE, 1932, CALIF LAW REV, V21, P7; TURRENTINE, 1932, CALIF LAW REV, V21, P1; WALSH, 1937, N Y L Q REV, V14, P162; WALSH, 1930, EQUITY	14	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	JUN	1947	14	4					638	647						10	Law	Social Science Citation Index (SSCI)	Government & Law	V83WA					2022-12-18	WOS:000205668000005
J	[Anonymous]				[Anonymous]			THE LIQUIDATION OF CORPORATE OWNERSHIP INTERESTS - A FEDERAL TAX PROBLEM	UNIVERSITY OF CHICAGO LAW REVIEW			English	Article																		BALLANTINE, 1946, CORPORATIONS; FAHEY, 1939, COL L REV, V39, P933; FLETCHER, 1933, CYC CORP, V19; SIMONS, 1938, PERSONAL INCOME TRAX; 1947, YALE LJ, V56, P379; 1947, YALE LJ, V56, P382; 1939, ILL L REV, V34, P303; 1946, ABAJ, V32, P516	8	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	JUN	1947	14	4					647	657						11	Law	Social Science Citation Index (SSCI)	Government & Law	V83WA					2022-12-18	WOS:000205668000006
J	Douglas, PH				Douglas, Paul H.			A POSSIBLE METHOD OF DEALING WITH THE CLOSED SHOP ISSUE	UNIVERSITY OF CHICAGO LAW REVIEW			English	Article																		MASON, 1946, BRANDEIS FREE MANS L, P301	1	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	APR	1947	14	3					386	398		10.2307/1597096	http://dx.doi.org/10.2307/1597096			13	Law	Social Science Citation Index (SSCI)	Government & Law	V83VY		Green Submitted			2022-12-18	WOS:000205667800006
J	Eaton, C				Eaton, Cyrus			A CAPITALIST LOOKA AT LABOR	UNIVERSITY OF CHICAGO LAW REVIEW			English	Article																			0	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	APR	1947	14	3					332	336		10.2307/1597091	http://dx.doi.org/10.2307/1597091			5	Law	Social Science Citation Index (SSCI)	Government & Law	V83VY					2022-12-18	WOS:000205667800001
J	Goodhart, AL				Goodhart, A. L.			Annual Survey of American Law, 1944	UNIVERSITY OF CHICAGO LAW REVIEW			English	Book Review																		1946, ANN SURVEY AM LAW 19	1	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	APR	1947	14	3					522	524		10.2307/1597109	http://dx.doi.org/10.2307/1597109			3	Law	Social Science Citation Index (SSCI)	Government & Law	V83VY					2022-12-18	WOS:000205667800013
J	Grerory, CO				Grerory, Charles O.			GOVERNMENT BY INJUNCTION AGAIN	UNIVERSITY OF CHICAGO LAW REVIEW			English	Article																			0	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	APR	1947	14	3					363	369						7	Law	Social Science Citation Index (SSCI)	Government & Law	V83VY					2022-12-18	WOS:000205667800004
J	Grodzins, M				Grodzins, Morton			The Alien and the Asiatic in American Law	UNIVERSITY OF CHICAGO LAW REVIEW			English	Book Review																		Konvitz M. R., 1946, ALIEN ASIATIC AM LAW	1	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	APR	1947	14	3					524	526		10.2307/1597110	http://dx.doi.org/10.2307/1597110			3	Law	Social Science Citation Index (SSCI)	Government & Law	V83VY					2022-12-18	WOS:000205667800014
J	Jaffe, LL				Jaffe, Louis L.			Brandeis: A Free Man's Life	UNIVERSITY OF CHICAGO LAW REVIEW			English	Book Review																		COHEN, 1946, FAITH LIBERAL, P33; LASKI, 1946, HARVARD LAW REV, V59, P816; LASKI, 1946, HARVARD LAW REV, V59, P819; MASON AT, 1946, BRANDEIS FREE MANS L	4	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	APR	1947	14	3					526	529		10.2307/1597111	http://dx.doi.org/10.2307/1597111			4	Law	Social Science Citation Index (SSCI)	Government & Law	V83VY					2022-12-18	WOS:000205667800015
J	Kennedy, WPM				Kennedy, W. P. M.			Interpretations of Modern Legal Philosophies	UNIVERSITY OF CHICAGO LAW REVIEW			English	Book Review																		SAYRE P, 1947, INTERPRETATIONS MODE	1	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	APR	1947	14	3					519	521		10.2307/1597108	http://dx.doi.org/10.2307/1597108			3	Law	Social Science Citation Index (SSCI)	Government & Law	V83VY					2022-12-18	WOS:000205667800012
J	Pressman, L				Pressman, Lee			FREEDOM AND REACTION: SOME OBSERVATIONS ON THE CURRENT ANTI-LABOR DRIVE	UNIVERSITY OF CHICAGO LAW REVIEW			English	Article																		BROOKS, 1938, LABOR ORG, P68; CATLIN, 1935, LABOR PROBLEMS, P420; HOXIE, 1936, TRADE UNIONISM US, P190	3	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	APR	1947	14	3					370	385		10.2307/1597095	http://dx.doi.org/10.2307/1597095			16	Law	Social Science Citation Index (SSCI)	Government & Law	V83VY		Green Submitted			2022-12-18	WOS:000205667800005
J	Rostow, EV				Rostow, Eugene V.			The Concentration of Economic Power	UNIVERSITY OF CHICAGO LAW REVIEW			English	Book Review																		KREPS TJ, 1946, AM ECON REV, V36, P941; KREPS TJ, 1946, AM EC REV, V36, P938; Lynch David., 1946, CONCENTRATION EC POW	3	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	APR	1947	14	3					533	536		10.2307/1597113	http://dx.doi.org/10.2307/1597113			4	Law	Social Science Citation Index (SSCI)	Government & Law	V83VY					2022-12-18	WOS:000205667800017
J	Wirth, L				Wirth, Louis			Cities Are Abnormal	UNIVERSITY OF CHICAGO LAW REVIEW			English	Book Review																		Peterson Elmer T., 1946, CITIES ARE ABNORMAL	1	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	APR	1947	14	3					530	533		10.2307/1597112	http://dx.doi.org/10.2307/1597112			4	Law	Social Science Citation Index (SSCI)	Government & Law	V83VY					2022-12-18	WOS:000205667800016
J	[Anonymous]				[Anonymous]			NEW CIVIL LIABILITIES UNDER SECURITIES AND EXCHANGE ACT RULES	UNIVERSITY OF CHICAGO LAW REVIEW			English	Article																		BALLANTINE, 1946, CORPORATIONS, P212; BERLE, 1932, MODERN CORPORATIONS, P224; BONBRIGHT, 1937, VALUATION PROPERTY, V2, P808; HARPER, 1933, TORTS; LOWNDES, 1932, MINN LAW REV, V16, P361; LOWNDES, 1932, COL L REV, V32, P712; PROSSER, 1941, TORTS; PURCELL, 1946, VA LAW REV, V32, P551; PURCELL, 1946, VA LAW REV, V32, P497; *SEC EXCH COMM, 1945, 10 SEC EXCH COMM, P82; 1946, U CHI L REV, V14, P75; 1946, HARV L REV, V59, P779; 1947, U CHI L REV, V14, P66; 1934, TORTS; 1946, HARV L REV, V59, P769; 1942, U CHI L REV, V10, P70	16	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	APR	1947	14	3					471	479						9	Law	Social Science Citation Index (SSCI)	Government & Law	V83VY					2022-12-18	WOS:000205667800010
J	[Anonymous]				[Anonymous]			JUDICIAL INTERVENTION IN INTERNAL AFFAIRS OF LABOR UNIONS	UNIVERSITY OF CHICAGO LAW REVIEW			English	Article																		*AM CIV LIB UN, 1946, DEM TRAD UN, P17; ARNOLD, 1932, HARVARD LAW REV, V45, P617; STEEVER, 1931, CORN L Q, V16, P212; SUMMERS, 1947, COL L REV, V47, P33; TELLER, 1940, LABOR DISPUTES COLLE, V1, P159; WRIGHTINGTON, 1923, UNINCORPORATED ASS B, P320; 1946, MONTHLY LAB REV, V62, P567; 1942, YALE LJ, V51, P1372; 1947, U CHI L REV, V14, P292; 1937, YALE LJ, V47, P73; 1938, U PA L REV, V86, P885; 1938, YALE LJ, V47, P483	12	0	0	0	0	UNIV CHICAGO LAW SCH	CHICAGO	1111 E 60TH ST, CHICAGO, IL 60637 USA	0041-9494			U CHICAGO LAW REV	Univ. Chic. Law Rev.	APR	1947	14	3					479	483						5	Law	Social Science Citation Index (SSCI)	Government & Law	V83VY					2022-12-18	WOS:000205667800011
